Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,source_file,Comp
9,Leandro Brey,ar ARG,GK,Boca Juniors,22-226,2002,2.0,1,0,0,1,0,1.0,0.26,0.0,+0.02,6,20,30.0,44,10,29.5,31.2,16,43.8,44.9,40,0,0.0,2,1.00,16.8,player_advanced_goalkeeping_argentina.csv,
10,Jorge Broun,ar ARG,GK,Rosario Central,38-344,1986,14.0,8,0,0,0,1,8.9,0.20,+1.9,+0.14,78,165,47.3,251,62,39.8,35.7,139,46.8,39.6,246,6,2.4,2,0.14,11.8,player_advanced_goalkeeping_argentina.csv,
11,Javier Burrai,ec ECU,GK,Talleres,34-208,1990,1.5,1,0,0,1,0,0.2,0.04,-0.8,-0.55,10,22,45.5,45,4,33.3,32.0,15,46.7,39.7,34,1,2.9,2,1.33,15.7,player_advanced_goalkeeping_argentina.csv,
12,Facundo Cambeses,ar ARG,GK,Racing Club,28-026,1997,4.7,7,0,0,1,0,5.7,0.21,-1.3,-0.28,18,66,27.3,78,13,39.7,37.0,50,70.0,53.8,83,1,1.2,3,0.64,15.1,player_advanced_goalkeeping_argentina.csv,
13,Thiago Cardozo,uy URU,GK,Unión,28-278,1996,14.0,16,2,0,4,0,16.5,0.30,+0.5,+0.03,47,136,34.6,248,66,37.1,36.3,98,44.9,41.4,180,7,3.9,6,0.43,12.6,player_advanced_goalkeeping_argentina.csv,
14,Jorge Carranza,ar ARG,GK,Aldosivi,43-363,1981,12.0,20,3,0,1,0,13.9,0.21,-6.1,-0.51,61,146,41.8,223,51,43.0,38.0,79,63.3,45.3,199,9,4.5,6,0.50,11.3,player_advanced_goalkeeping_argentina.csv,
15,Ezequiel Centurión,ar ARG,GK,Ind. Rivadavia,27-350,1997,16.0,17,3,0,1,1,18.2,0.23,+2.2,+0.14,90,286,31.5,322,56,50.3,42.1,146,84.9,60.4,299,17,5.7,6,0.38,10.8,player_advanced_goalkeeping_argentina.csv,
16,Juan Cozzani,ar ARG,GK,Platense,26-208,1998,16.0,11,2,0,3,2,16.5,0.27,+7.5,+0.47,84,322,26.1,305,24,70.5,49.7,112,95.5,67.2,249,12,4.8,19,1.19,16.3,player_advanced_goalkeeping_argentina.csv,
17,Tomás Durso,ar ARG,GK,Atlé Tucumán,26-068,1999,11.0,17,1,1,1,1,17.2,0.34,+1.2,+0.11,63,177,35.6,245,46,49.4,41.2,87,64.4,51.4,128,8,6.3,16,1.45,17.3,player_advanced_goalkeeping_argentina.csv,
18,Juan Espínola,py PAR,GK,Belgrano,30-184,1994,11.0,18,1,2,4,0,12.0,0.27,-6.0,-0.54,65,204,31.9,289,39,52.2,40.3,71,74.6,58.2,182,13,7.1,8,0.73,12.4,player_advanced_goalkeeping_argentina.csv,
19,Hernán Galíndez,ec ECU,GK,Huracán,38-036,1987,16.0,12,2,1,2,1,14.8,0.28,+3.8,+0.24,72,218,33.0,345,43,42.0,39.2,109,67.0,52.3,225,13,5.8,6,0.38,10.2,player_advanced_goalkeeping_argentina.csv,
20,Orlando Gil,py PAR,GK,San Lorenzo,24-328,2000,16.0,10,0,0,0,1,12.0,0.24,+3.0,+0.19,84,254,33.1,275,39,58.9,44.8,138,66.7,51.5,238,9,3.8,1,0.06,9.5,player_advanced_goalkeeping_argentina.csv,
21,Juan González,uy URU,GK,Atlé Tucumán,31-299,1993,5.0,4,1,1,1,0,4.7,0.21,+0.7,+0.13,29,73,39.7,119,14,45.4,38.6,36,52.8,43.2,64,5,7.8,6,1.20,17.7,player_advanced_goalkeeping_argentina.csv,
22,Guido Herrera,ar ARG,GK,Talleres,33-065,1992,14.5,14,1,0,0,1,14.1,0.30,+1.1,+0.08,84,211,39.8,396,45,46.0,39.1,73,39.7,39.6,184,11,6.0,6,0.41,11.3,player_advanced_goalkeeping_argentina.csv,
23,Marcos Ignacio Ledesma,ar ARG,GK,Barracas Central,28-232,1996,16.0,18,0,1,2,2,15.8,0.24,-0.2,-0.01,92,250,36.8,268,57,64.9,46.7,95,80.0,55.7,291,25,8.6,7,0.44,10.1,player_advanced_goalkeeping_argentina.csv,
24,Luis Ingolotti,ar ARG,GK,Gimnasia–LP,25-111,2000,3.0,7,2,0,0,0,7.1,0.37,+0.1,+0.02,11,31,35.5,55,12,43.6,36.5,21,33.3,36.5,54,1,1.9,0,0.00,10.5,player_advanced_goalkeeping_argentina.csv,
25,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,29-346,1995,13.0,11,1,0,1,0,14.9,0.26,+3.9,+0.30,76,209,36.4,289,36,52.6,42.8,87,65.5,52.0,217,13,6.0,2,0.15,10.8,player_advanced_goalkeeping_argentina.csv,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,player_advanced_goalkeeping_argentina.csv,
26,Nahuel Losada,ar ARG,GK,Lanús,32-018,1993,15.0,10,1,1,0,0,14.7,0.25,+4.7,+0.31,61,171,35.7,375,85,34.9,34.4,70,57.1,47.9,225,24,10.7,18,1.20,13.5,player_advanced_goalkeeping_argentina.csv,
27,Matías Mansilla,ar ARG,GK,Estudiantes–LP,29-079,1996,16.0,19,1,0,1,0,16.1,0.28,-2.9,-0.18,67,186,36.0,274,69,38.0,35.6,131,62.6,48.6,237,9,3.8,20,1.25,16.8,player_advanced_goalkeeping_argentina.csv,
28,Agustín Marchesín,ar ARG,GK,Boca Juniors,37-050,1988,14.0,10,0,1,1,0,11.5,0.27,+1.5,+0.11,46,118,39.0,271,59,31.4,31.2,120,27.5,31.0,198,10,5.1,4,0.29,10.6,player_advanced_goalkeeping_argentina.csv,
29,Tomás Marchiori,ar ARG,GK,Vélez Sarsfield,29-319,1995,15.0,18,0,0,2,1,14.7,0.31,-2.3,-0.16,38,128,29.7,275,50,29.5,32.1,122,38.5,36.0,180,10,5.6,6,0.40,13.4,player_advanced_goalkeeping_argentina.csv,
30,Diego Matías Rodríguez,ar ARG,GK,Arg Juniors,35-314,1989,16.0,9,0,0,2,1,10.0,0.23,+2.0,+0.13,97,213,45.5,432,31,37.5,36.6,93,54.8,45.3,177,5,2.8,2,0.13,8.6,player_advanced_goalkeeping_argentina.csv,
31,Lautaro Morales,ar ARG,GK,Lanús,25-140,1999,1.0,1,0,0,0,0,1.0,0.52,0.0,+0.04,3,6,50.0,16,2,31.3,30.3,6,16.7,29.5,7,0,0.0,0,0.00,3.0,player_advanced_goalkeeping_argentina.csv,
32,Keylor Navas,cr CRC,GK,Newell's OB,38-141,1986,14.0,11,0,0,3,1,16.7,0.26,+6.7,+0.48,106,222,47.7,247,48,51.0,41.1,132,72.7,52.5,272,10,3.7,3,0.21,9.6,player_advanced_goalkeeping_argentina.csv,
33,Franco Petroli,ar ARG,GK,Godoy Cruz,26-328,1998,16.0,18,0,0,3,1,18.2,0.28,+1.2,+0.08,131,323,40.6,471,62,54.8,42.4,101,64.4,51.3,257,27,10.5,16,1.00,13.5,player_advanced_goalkeeping_argentina.csv,
34,Josue Reinatti,ar ARG,GK,Newell's OB,21-337,2003,2.0,4,1,0,1,0,4.6,0.26,+0.6,+0.30,7,11,63.6,55,20,20.0,29.4,6,0.0,18.2,33,3,9.1,1,0.50,11.4,player_advanced_goalkeeping_argentina.csv,
35,Rodrigo Rey,ar ARG,GK,Independiente,34-058,1991,16.0,12,3,0,1,3,14.1,0.26,+5.1,+0.32,85,202,42.1,393,67,42.7,36.4,101,33.7,34.2,200,8,4.0,4,0.25,10.8,player_advanced_goalkeeping_argentina.csv,
36,Randall Rodríguez,uy URU,GK,Vélez Sarsfield,21-157,2003,1.0,4,1,0,0,0,2.7,0.23,-1.3,-1.28,4,16,25.0,23,5,56.5,37.7,7,42.9,36.0,10,1,10.0,0,0.00,12.4,player_advanced_goalkeeping_argentina.csv,
37,Manuel Roffo,ar ARG,GK,Instituto,25-031,2000,16.0,20,2,0,1,0,17.8,0.30,-2.2,-0.14,83,207,40.1,310,45,43.9,39.3,113,62.8,49.7,210,15,7.1,10,0.63,13.1,player_advanced_goalkeeping_argentina.csv,
38,Facundo Sanguinetti,ar ARG,GK,Banfield,24-065,2001,16.0,19,3,0,1,0,21.8,0.26,+2.8,+0.17,87,250,34.8,304,46,53.3,42.2,119,73.9,54.8,249,9,3.6,11,0.69,14.0,player_advanced_goalkeeping_argentina.csv,
39,Matías Tagliamonte,ar ARG,GK,Unión,27-075,1998,2.0,1,0,0,0,0,1.7,0.11,+0.7,+0.35,5,22,22.7,39,10,43.6,37.8,13,38.5,35.1,32,3,9.4,0,0.00,4.2,player_advanced_goalkeeping_argentina.csv,
40,Manuel Vicentini,ar ARG,GK,Belgrano,35-016,1990,5.0,5,0,0,1,0,7.6,0.39,+2.6,+0.52,25,93,26.9,113,18,57.5,42.8,41,68.3,48.5,107,3,2.8,14,2.80,17.6,player_advanced_goalkeeping_argentina.csv,
41,Axel Werner,ar ARG,GK,Rosario Central,29-066,1996,2.0,0,0,0,0,0,1.5,0.50,+1.5,+0.75,6,19,31.6,28,7,35.7,37.8,15,60.0,47.2,30,1,3.3,0,0.00,7.0,player_advanced_goalkeeping_argentina.csv,
42,Felipe Zenobio,ar ARG,GK,Tigre,24-348,2000,16.0,12,2,0,1,0,14.7,0.25,+2.7,+0.17,66,184,35.9,285,60,48.1,40.8,108,43.5,41.4,243,20,8.2,6,0.38,9.5,player_advanced_goalkeeping_argentina.csv,
43,Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,23-328,2001,2.0,3,0,0,1,0,3.9,0.48,+0.9,+0.43,6,14,42.9,28,6,21.4,27.1,12,66.7,54.2,29,0,0.0,0,0.00,7.3,player_advanced_goalkeeping_argentina.csv,
1,Andrew,br BRA,GK,Gil Vicente FC,23-308,2001,32.0,45,6,1,11,1,41.9,0.32,-2.1,-0.06,124,346,35.8,932,149,25.4,31.7,270,40.4,39.2,479,35,7.3,33,1.03,13.5,player_advanced_goalkeeping_ligaportugal.csv,
2,Gabriel Batista,br BRA,GK,Santa Clara,26-336,1998,32.0,30,3,1,5,0,27.4,0.22,-2.6,-0.08,157,493,31.8,715,116,47.1,39.3,262,59.5,48.2,434,37,8.5,28,0.88,13.0,player_advanced_goalkeeping_ligaportugal.csv,
3,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1.0,1,1,0,0,0,0.8,0.02,-0.2,-0.23,1,2,50.0,31,3,6.5,24.7,3,0.0,18.7,10,0,0.0,2,2.00,14.7,player_advanced_goalkeeping_ligaportugal.csv,
4,Simão Bertelli,br BRA,GK,AVS Futebol,31-337,1993,11.0,15,2,0,1,0,21.1,0.34,+6.1,+0.55,60,154,39.0,295,45,36.3,35.0,82,57.3,45.0,150,8,5.3,8,0.73,13.8,player_advanced_goalkeeping_ligaportugal.csv,
5,Bruno Brigido,br BRA,GK,Estrela,34-057,1991,17.5,30,2,1,6,1,27.3,0.33,-1.7,-0.09,66,243,27.2,425,90,36.9,36.3,132,65.2,51.0,257,9,3.5,15,0.86,13.3,player_advanced_goalkeeping_ligaportugal.csv,
6,Lazar Carević,me MNE,GK,Famalicão,26-050,1999,18.0,21,3,0,1,1,23.3,0.27,+3.3,+0.18,71,183,38.8,429,71,31.5,32.6,97,49.5,39.5,248,6,2.4,18,1.00,14.6,player_advanced_goalkeeping_ligaportugal.csv,
7,César,br BRA,GK,Boavista,33-098,1992,16.0,30,3,0,3,2,28.6,0.34,+0.6,+0.04,75,219,34.2,251,60,54.6,41.2,125,65.6,46.2,213,18,8.5,10,0.63,12.7,player_advanced_goalkeeping_ligaportugal.csv,
8,Kevin Chamorro,cr CRC,GK,Estoril,25-027,2000,3.0,3,1,0,0,0,3.3,0.30,+0.3,+0.09,9,41,22.0,61,9,45.9,37.7,13,100.0,68.5,32,3,9.4,12,4.00,18.9,player_advanced_goalkeeping_ligaportugal.csv,
9,Diogo Costa,pt POR,GK,Porto,25-228,1999,30.0,26,4,1,4,1,25.7,0.28,+0.7,+0.02,120,282,42.6,1002,131,23.1,29.1,138,37.0,36.8,281,17,6.0,47,1.57,18.8,player_advanced_goalkeeping_ligaportugal.csv,
10,João Paulo Santos Costa,pt POR,GK,Estrela,29-092,1996,11.0,10,2,0,2,0,12.9,0.27,+2.9,+0.27,69,185,37.3,240,29,50.8,39.1,87,72.4,52.8,141,2,1.4,9,0.82,15.3,player_advanced_goalkeeping_ligaportugal.csv,
11,Rui Encarnação,pt POR,GK,Nacional,27-030,1998,0.5,1,1,0,0,0,1.1,0.05,+0.1,+0.22,3,4,75.0,6,0,33.3,39.2,2,100.0,60.0,7,0,0.0,0,0.00,10.0,player_advanced_goalkeeping_ligaportugal.csv,
12,Daniel Figueira,pt POR,GK,Estoril,26-289,1998,1.0,4,1,0,0,0,2.4,0.23,-1.6,-1.55,2,6,33.3,19,6,21.1,27.2,5,40.0,26.6,16,1,6.3,0,0.00,9.4,player_advanced_goalkeeping_ligaportugal.csv,
13,Lucas França,br BRA,GK,Nacional,29-106,1996,31.5,43,7,0,7,0,47.0,0.29,+4.0,+0.13,163,475,34.3,646,106,42.0,37.0,302,67.5,48.3,501,33,6.6,23,0.73,11.3,player_advanced_goalkeeping_ligaportugal.csv,
14,João Gonçalves,pt POR,GK,Boavista,24-181,2000,4.0,2,0,0,0,0,3.3,0.41,+1.3,+0.33,31,88,35.2,74,3,70.3,48.7,36,100.0,64.3,59,1,1.7,1,0.25,14.0,player_advanced_goalkeeping_ligaportugal.csv,
15,Marko Gudžulić,rs SRB,GK,Estrela,22-304,2002,2.0,3,0,0,1,1,2.5,0.19,+0.5,+0.27,15,48,31.3,54,7,55.6,44.3,19,94.7,61.3,37,4,10.8,1,0.50,9.7,player_advanced_goalkeeping_ligaportugal.csv,
16,Lukáš Horníček,cz CZE,GK,Braga,22-296,2002,15.0,8,1,1,1,0,12.2,0.22,+4.2,+0.28,58,182,31.9,480,77,30.4,31.8,78,46.2,40.1,177,14,7.9,30,2.00,17.3,player_advanced_goalkeeping_ligaportugal.csv,
17,Franco Israel,uy URU,GK,Sporting CP,25-013,2000,11.0,9,0,1,0,0,7.0,0.30,-2.0,-0.18,13,33,39.4,214,45,10.3,23.3,50,22.0,27.4,99,2,2.0,4,0.36,11.3,player_advanced_goalkeeping_ligaportugal.csv,
18,Jhonatan,br BRA,GK,Rio Ave,33-362,1991,8.0,13,0,0,0,0,12.3,0.29,-0.7,-0.09,30,102,29.4,231,40,26.4,32.3,78,52.6,42.2,126,3,2.4,5,0.63,12.0,player_advanced_goalkeeping_ligaportugal.csv,
19,Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,24-111,2001,1.0,0,0,0,0,0,0.3,0.17,+0.3,+0.35,11,24,45.8,32,7,59.4,44.6,6,83.3,57.8,17,3,17.6,2,2.00,10.7,player_advanced_goalkeeping_ligaportugal.csv,
20,Kaique,br BRA,GK,Farense,22-019,2003,4.0,3,0,0,1,0,3.1,0.20,+0.1,+0.02,23,65,35.4,127,24,36.2,35.0,27,70.4,53.1,60,3,5.0,1,0.25,14.6,player_advanced_goalkeeping_ligaportugal.csv,
21,Kewin,br BRA,GK,Moreirense,29-192,1995,29.0,42,3,1,6,0,39.3,0.33,-2.7,-0.09,154,440,35.0,789,126,38.7,35.0,229,59.0,43.8,472,36,7.6,19,0.66,10.6,player_advanced_goalkeeping_ligaportugal.csv,
22,Vladen Kovačević,ba BIH,GK,Sporting CP,27-024,1998,6.0,5,0,0,0,0,3.7,0.23,-1.3,-0.21,6,16,37.5,98,20,13.3,22.6,14,21.4,28.5,52,3,5.8,4,0.67,14.5,player_advanced_goalkeeping_ligaportugal.csv,
23,Nico Mantl,de GER,GK,Arouca,25-088,2000,29.0,43,8,1,8,2,40.6,0.29,-0.4,-0.01,115,284,40.5,746,127,26.3,29.0,202,43.6,37.2,445,22,4.9,42,1.45,15.1,player_advanced_goalkeeping_ligaportugal.csv,
24,Matheus,br BRA,GK,Braga,32-290,1992,17.0,19,2,0,2,1,17.6,0.24,-0.4,-0.02,42,167,25.1,478,72,28.5,31.9,106,29.2,31.6,183,9,4.9,25,1.47,17.4,player_advanced_goalkeeping_ligaportugal.csv,
25,Francisco Meixedo,pt POR,GK,Estrela,23-351,2001,0.5,0,0,0,0,0,0.2,0.07,+0.2,+0.41,4,9,44.4,14,4,35.7,35.6,7,57.1,44.4,6,0,0.0,0,0.00,9.0,player_advanced_goalkeeping_ligaportugal.csv,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,player_advanced_goalkeeping_ligaportugal.csv,
26,Cezary Miszta,pl POL,GK,Rio Ave,23-187,2001,23.0,38,3,0,4,4,37.0,0.31,+3.0,+0.13,94,301,31.2,595,105,33.8,33.7,209,47.8,43.1,361,19,5.3,21,0.91,13.0,player_advanced_goalkeeping_ligaportugal.csv,
27,Guillermo Ochoa,mx MEX,GK,AVS Futebol,39-296,1985,20.0,40,1,1,6,1,36.2,0.35,-2.8,-0.14,111,259,42.9,434,79,40.6,35.9,188,44.1,38.1,343,7,2.0,16,0.80,14.3,player_advanced_goalkeeping_ligaportugal.csv,
28,Cláudio Ramos,pt POR,GK,Porto,33-170,1991,2.0,3,1,0,0,0,3.3,0.30,+0.3,+0.14,4,10,40.0,44,6,18.2,24.7,7,28.6,32.7,14,2,14.3,2,1.00,15.1,player_advanced_goalkeeping_ligaportugal.csv,
29,Joel Robles,es ESP,GK,Estoril,34-322,1990,28.0,44,5,0,2,0,47.1,0.34,+3.1,+0.11,148,494,30.0,635,107,52.8,40.4,216,73.6,52.7,394,17,4.3,38,1.36,14.5,player_advanced_goalkeeping_ligaportugal.csv,
30,Caio Secco,br BRA,GK,Moreirense,34-134,1990,3.0,6,2,0,0,0,5.1,0.24,-0.9,-0.32,3,34,8.8,69,14,36.2,35.4,21,42.9,41.3,50,2,4.0,3,1.00,16.6,player_advanced_goalkeeping_ligaportugal.csv,
31,Patrick Sequeira,cr CRC,GK,Casa Pia,26-065,1999,31.0,40,6,0,3,1,41.3,0.25,+2.3,+0.07,111,418,26.6,874,153,35.4,33.5,177,61.6,47.1,447,35,7.8,23,0.74,11.8,player_advanced_goalkeeping_ligaportugal.csv,
32,Rui Silva,pt POR,GK,Sporting CP,31-087,1994,15.0,12,4,0,1,2,12.5,0.29,+2.5,+0.17,37,97,38.1,262,49,24.8,29.4,78,41.0,36.8,164,10,6.1,19,1.27,19.4,player_advanced_goalkeeping_ligaportugal.csv,
33,Samuel Soares,pt POR,GK,Benfica,22-324,2002,2.0,0,0,0,0,0,1.0,0.04,+1.0,+0.51,2,6,33.3,28,11,7.1,24.1,10,40.0,37.7,13,2,15.4,1,0.50,11.9,player_advanced_goalkeeping_ligaportugal.csv,
34,Tomé,pt POR,GK,Boavista,18-140,2006,2.0,5,0,0,0,0,2.3,0.24,-2.7,-1.36,13,44,29.5,21,0,85.7,55.2,26,100.0,62.1,33,0,0.0,2,1.00,14.0,player_advanced_goalkeeping_ligaportugal.csv,
35,Anatolii Trubin,ua UKR,GK,Benfica,23-277,2001,30.0,26,1,1,2,0,29.2,0.31,+3.2,+0.11,69,189,36.5,645,123,19.4,27.3,150,42.7,39.7,266,18,6.8,18,0.60,12.4,player_advanced_goalkeeping_ligaportugal.csv,
36,Tomáš Vaclík,cz CZE,GK,Boavista,36-037,1989,9.0,15,3,0,2,1,17.4,0.27,+3.4,+0.38,57,159,35.8,185,48,49.7,40.1,101,66.3,48.1,166,10,6.0,4,0.44,11.1,player_advanced_goalkeeping_ligaportugal.csv,
37,João Valido,pt POR,GK,Arouca,25-063,2000,3.0,4,1,0,1,0,2.7,0.20,-1.3,-0.43,7,14,50.0,53,12,20.8,27.2,28,10.7,20.9,31,5,16.1,3,1.00,12.4,player_advanced_goalkeeping_ligaportugal.csv,
38,Bruno Varela,cv CPV,GK,Vitória,30-182,1994,32.0,33,5,0,5,0,29.3,0.29,-3.7,-0.12,108,297,36.4,832,107,24.5,30.6,221,42.1,38.0,365,21,5.8,34,1.06,14.8,player_advanced_goalkeeping_ligaportugal.csv,
39,Ricardo Velho,pt POR,GK,Farense,26-258,1998,28.0,40,6,0,2,2,40.1,0.29,+2.1,+0.08,155,463,33.5,636,109,45.4,40.4,254,68.5,52.0,453,31,6.8,24,0.86,11.9,player_advanced_goalkeeping_ligaportugal.csv,
40,Ivan Zlobin,ru RUS,GK,Famalicão,28-059,1997,13.0,15,1,0,2,0,20.7,0.35,+5.7,+0.44,43,147,29.3,311,52,32.5,31.8,77,59.7,45.6,189,15,7.9,6,0.46,10.8,player_advanced_goalkeeping_ligaportugal.csv,
1,Anthoni,br BRA,GK,Internacional,23-102,2002,6.5,8,1,0,1,1,6.6,0.29,-0.4,-0.06,18,55,32.7,98,12,39.8,35.4,48,33.3,30.5,75,1,1.3,12,1.85,16.3,player_advanced_goalkeeping_brasil.csv,
2,Lucas Arcanjo,br BRA,GK,Vitória,26-270,1998,6.0,8,0,0,4,0,11.4,0.27,+3.4,+0.56,23,71,32.4,167,31,28.7,31.9,46,50.0,44.6,107,8,7.5,0,0.00,7.7,player_advanced_goalkeeping_brasil.csv,
3,Gabriel Brazão,br BRA,GK,Santos,24-212,2000,7.0,10,0,0,0,0,8.4,0.30,-1.6,-0.23,25,71,35.2,117,19,41.9,35.3,54,40.7,35.7,87,2,2.3,5,0.71,14.0,player_advanced_goalkeeping_brasil.csv,
4,Cássio,br BRA,GK,Cruzeiro,37-333,1987,7.0,7,0,0,2,0,8.0,0.22,+1.0,+0.14,19,56,33.9,95,19,37.9,35.6,52,38.5,35.9,103,3,2.9,6,0.86,15.8,player_advanced_goalkeeping_brasil.csv,
5,Matheus Donelli,br BRA,GK,Corinthians,22-353,2002,5.0,6,1,0,0,0,5.7,0.26,-0.3,-0.05,13,33,39.4,97,19,25.8,29.2,35,22.9,27.8,53,3,5.7,2,0.40,11.6,player_advanced_goalkeeping_brasil.csv,
6,Éverson,br BRA,GK,Atlético Mineiro,34-287,1990,6.0,8,0,0,2,0,9.3,0.37,+1.3,+0.22,21,51,41.2,184,25,26.1,30.2,21,14.3,29.0,55,2,3.6,13,2.17,23.0,player_advanced_goalkeeping_brasil.csv,
7,Fábio,br BRA,GK,Fluminense,44-217,1980,7.0,7,0,0,1,0,7.0,0.27,0.0,0.00,10,34,29.4,111,32,20.7,27.6,43,25.6,27.2,83,3,3.6,4,0.57,14.2,player_advanced_goalkeeping_brasil.csv,
8,Marcos Felipe,br BRA,GK,Bahia,29-022,1996,3.8,3,0,0,0,0,4.5,0.34,+1.5,+0.38,18,40,45.0,112,21,19.6,26.8,38,47.4,31.8,69,2,2.9,8,2.11,17.0,player_advanced_goalkeeping_brasil.csv,
9,Bruno Ferreira,br BRA,GK,Ceará,31-050,1994,3.7,4,0,0,0,0,4.6,0.36,+0.6,+0.16,21,78,26.9,76,10,64.5,47.0,40,72.5,53.1,71,4,5.6,3,0.81,13.1,player_advanced_goalkeeping_brasil.csv,
10,Caíque França,br BRA,GK,Sport Recife,29-336,1995,7.0,10,2,0,1,0,11.0,0.28,+1.0,+0.15,21,66,31.8,138,26,26.8,31.8,61,47.5,39.4,101,7,6.9,6,0.86,13.6,player_advanced_goalkeeping_brasil.csv,
11,Gabriel,br BRA,GK,Vitória,32-220,1992,1.0,2,0,0,0,0,1.2,0.31,-0.8,-0.77,1,10,10.0,28,4,35.7,34.5,6,0.0,22.5,11,0,0.0,0,0.00,4.0,player_advanced_goalkeeping_brasil.csv,
12,Gustavo,br BRA,GK,Juventude,32-056,1993,4.0,12,1,0,3,0,7.8,0.26,-4.2,-1.05,10,28,35.7,98,23,19.4,28.7,19,47.4,33.7,59,4,6.8,0,0.00,5.8,player_advanced_goalkeeping_brasil.csv,
13,Léo Jardim,br BRA,GK,Vasco da Gama,30-046,1995,7.0,9,0,0,0,2,7.3,0.33,+0.3,+0.04,14,60,23.3,146,21,30.1,33.1,59,27.1,31.8,132,6,4.5,5,0.71,10.5,player_advanced_goalkeeping_brasil.csv,
14,John,br BRA,GK,Botafogo (RJ),29-081,1996,7.0,5,0,0,3,0,7.2,0.33,+2.2,+0.31,24,69,34.8,209,20,25.4,31.6,40,40.0,40.4,87,2,2.3,4,0.57,13.8,player_advanced_goalkeeping_brasil.csv,
15,Lucão,br BRA,GK,RB Bragantino,24-068,2001,1.0,0,0,0,0,0,0.5,0.18,+0.5,+0.54,2,4,50.0,26,8,15.4,26.9,10,0.0,13.6,24,1,4.2,0,0.00,4.7,player_advanced_goalkeeping_brasil.csv,
16,Marcão,br BRA,GK,Juventude,33-060,1992,2.0,2,0,0,0,0,1.8,0.16,-0.2,-0.11,4,29,13.8,53,11,50.9,39.9,2,100.0,70.0,34,4,11.8,1,0.50,8.3,player_advanced_goalkeeping_brasil.csv,
17,Fernando Miguel,br BRA,GK,Ceará,40-092,1985,3.3,3,1,0,1,0,3.4,0.19,+0.4,+0.11,19,58,32.8,81,7,56.8,40.8,26,46.2,42.8,68,4,5.9,7,2.12,17.0,player_advanced_goalkeeping_brasil.csv,
18,Alex Muralha,br BRA,GK,Mirassol,35-176,1989,6.0,9,1,0,0,0,7.8,0.28,-1.2,-0.20,13,53,24.5,123,19,34.1,32.4,34,32.4,30.0,113,3,2.7,14,2.33,15.0,player_advanced_goalkeeping_brasil.csv,
19,Rafael Pires,br BRA,GK,São Paulo,35-316,1989,7.0,5,1,0,2,0,7.2,0.30,+2.2,+0.31,25,83,30.1,124,17,46.0,37.9,53,49.1,40.6,134,4,3.0,2,0.29,11.4,player_advanced_goalkeeping_brasil.csv,
20,João Ricardo Riedi,br BRA,GK,Fortaleza,36-241,1988,7.0,5,0,0,1,0,7.8,0.24,+2.8,+0.39,38,98,38.8,152,33,43.4,36.8,59,54.2,43.7,103,7,6.8,6,0.86,13.8,player_advanced_goalkeeping_brasil.csv,
21,Sergio Rochet,uy URU,GK,Internacional,32-043,1993,0.5,,,,,,0.5,0.23,,,4,10,40.0,20,2,,39.2,3,,12.0,9,,,,,9.0,player_advanced_goalkeeping_brasil.csv,
22,Ronaldo,br BRA,GK,Bahia,28-256,1996,3.2,4,0,0,0,0,4.3,0.25,+0.3,+0.09,10,42,23.8,91,13,33.0,31.3,20,60.0,39.4,53,6,11.3,4,1.25,14.2,player_advanced_goalkeeping_brasil.csv,
23,Agustín Rossi,ar ARG,GK,Flamengo,29-257,1995,7.0,4,0,0,0,0,3.0,0.10,-1.0,-0.14,17,37,45.9,153,19,20.3,26.6,24,25.0,29.8,74,2,2.7,6,0.86,15.0,player_advanced_goalkeeping_brasil.csv,
24,Cleiton Schwengber,br BRA,GK,RB Bragantino,27-259,1997,5.0,5,0,0,2,0,5.1,0.24,+0.1,+0.03,17,44,38.6,106,25,28.3,31.2,36,38.9,38.6,86,3,3.5,2,0.40,11.4,player_advanced_goalkeeping_brasil.csv,
25,Hugo Souza,br BRA,GK,Corinthians,26-094,1999,2.0,6,1,0,0,0,4.5,0.35,-1.5,-0.77,6,12,50.0,40,9,27.5,31.3,12,8.3,24.8,24,0,0.0,1,0.50,20.5,player_advanced_goalkeeping_brasil.csv,
