Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,source_file,Comp
155,Frederik Rønnow,dk DEN,GK,Union Berlin,32-273,1992,27.0,34,1,1,1,1,38.0,0.32,+5.0,+0.19,141,392,36.0,716,132,37.3,34.6,155,80.6,55.2,473,40,8.5,29,1.07,12.6,player_advanced_goalkeeping_big5.csv,de Bundesliga
156,José Sá,pt POR,GK,Wolves,32-107,1993,27.0,45,4,1,6,2,39.9,0.34,-3.1,-0.12,87,356,24.4,705,104,39.4,35.3,145,53.8,42.0,411,29,7.1,40,1.48,15.5,player_advanced_goalkeeping_big5.csv,eng Premier League
157,Matvei Safonov,ru RUS,GK,Paris S-G,26-068,1999,9.8,9,2,0,2,1,7.2,0.26,-0.8,-0.08,36,83,43.4,262,46,26.3,29.1,48,29.2,28.8,94,5,5.3,14,1.43,18.0,player_advanced_goalkeeping_big5.csv,fr Ligue 1
158,Brice Samba,fr FRA,GK,Rennes,31-009,1994,15.0,23,0,1,4,0,23.4,0.33,+0.4,+0.03,50,154,32.5,495,59,24.2,29.6,88,38.6,33.8,201,14,7.0,11,0.73,12.6,player_advanced_goalkeeping_big5.csv,fr Ligue 1
159,Brice Samba,fr FRA,GK,Lens,31-009,1994,15.0,14,4,2,3,0,17.5,0.26,+3.5,+0.23,82,163,50.3,435,61,29.7,30.5,76,44.7,36.1,152,17,11.2,22,1.47,16.1,player_advanced_goalkeeping_big5.csv,fr Ligue 1
160,Robert Sánchez,es ESP,GK,Chelsea,27-167,1997,28.0,31,4,0,3,0,33.4,0.26,+2.4,+0.09,84,346,24.3,1020,165,31.0,32.3,70,42.9,38.4,309,39,12.6,51,1.82,14.8,player_advanced_goalkeeping_big5.csv,eng Premier League
161,Kauã Santos,br BRA,GK,Eint Frankfurt,22-023,2003,8.5,12,1,0,4,1,14.3,0.30,+3.3,+0.39,40,116,34.5,248,34,37.1,33.2,44,54.5,42.9,137,16,11.7,18,2.12,14.0,player_advanced_goalkeeping_big5.csv,de Bundesliga
162,Razvan Sava,ro ROU,GK,Udinese,22-317,2002,12.0,16,3,1,4,2,14.5,0.24,+0.5,+0.04,44,148,29.7,337,26,33.2,32.2,55,65.5,47.5,202,4,2.0,13,1.08,14.8,player_advanced_goalkeeping_big5.csv,it Serie A
163,Alexander Schwolow,de GER,GK,Union Berlin,32-336,1992,5.0,12,1,0,0,0,8.2,0.32,-3.8,-0.75,25,53,47.2,133,23,29.3,29.9,26,53.8,42.3,68,0,0.0,4,0.80,15.0,player_advanced_goalkeeping_big5.csv,de Bundesliga
164,Simone Scuffet,it ITA,GK,Cagliari,28-338,1996,13.0,23,5,0,6,0,20.4,0.28,-2.6,-0.20,71,181,39.2,305,50,42.0,35.5,99,53.5,42.3,189,6,3.2,7,0.54,11.8,player_advanced_goalkeeping_big5.csv,it Serie A
165,Simone Scuffet,it ITA,GK,Napoli,28-338,1996,1.0,1,0,0,0,0,1.6,0.40,+0.6,+0.60,3,12,25.0,35,5,25.7,29.3,9,33.3,32.7,29,1,3.4,0,0.00,7.0,player_advanced_goalkeeping_big5.csv,it Serie A
166,Jacopo Seghetti,it ITA,GK,Empoli,20-076,2005,1.0,3,0,0,0,0,1.9,0.31,-1.1,-1.12,3,9,33.3,16,5,37.5,33.8,5,60.0,39.0,4,0,0.0,1,1.00,26.0,player_advanced_goalkeeping_big5.csv,it Serie A
167,Matz Sels,be BEL,GK,Nott'ham Forest,33-067,1992,34.0,41,2,1,4,0,43.9,0.29,+2.9,+0.09,223,645,34.6,638,77,70.7,45.5,249,77.9,54.4,640,17,2.7,8,0.24,8.0,player_advanced_goalkeeping_big5.csv,eng Premier League
168,Alen Sherri,al ALB,GK,Cagliari,27-140,1997,6.0,9,0,0,0,0,8.6,0.35,-0.4,-0.07,25,67,37.3,150,20,32.7,30.9,48,37.5,34.4,64,4,6.3,5,0.83,12.5,player_advanced_goalkeeping_big5.csv,it Serie A
169,Rui Silva,pt POR,GK,Betis,31-086,1994,15.0,18,3,0,3,1,18.4,0.30,+1.4,+0.10,45,144,31.3,446,70,26.0,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9,player_advanced_goalkeeping_big5.csv,es La Liga
170,Marco Silvestri,it ITA,GK,Empoli,34-063,1991,5.0,11,0,0,3,1,8.0,0.32,-2.0,-0.41,35,85,41.2,135,16,60.7,41.8,13,23.1,25.2,62,1,1.6,4,0.80,12.6,player_advanced_goalkeeping_big5.csv,it Serie A
171,Unai Simón,es ESP,GK,Athletic Club,27-327,1997,16.0,11,0,0,1,0,11.9,0.22,+0.9,+0.06,73,203,36.0,389,71,32.4,33.1,93,82.8,61.3,201,14,7.0,23,1.44,15.8,player_advanced_goalkeeping_big5.csv,es La Liga
172,Tobias Sippel,de GER,GK,Gladbach,37-043,1988,0.7,3,0,0,1,0,1.2,0.30,-1.8,-2.72,9,22,40.9,22,2,45.5,39.2,12,100.0,69.2,13,0,0.0,0,0.00,2.0,player_advanced_goalkeeping_big5.csv,de Bundesliga
173,Antonio Sivera,es ESP,GK,Alavés,28-266,1996,27.2,37,9,2,2,1,36.9,0.30,+0.9,+0.03,255,615,41.5,652,63,70.2,47.1,190,82.6,59.2,369,27,7.3,24,0.88,12.6,player_advanced_goalkeeping_big5.csv,es La Liga
174,Łukasz Skorupski,pl POL,GK,Bologna,33-364,1991,23.3,26,1,0,1,2,23.9,0.33,-0.1,0.00,107,293,36.5,879,96,28.1,31.7,87,52.9,45.2,203,15,7.4,20,0.86,12.7,player_advanced_goalkeeping_big5.csv,it Serie A
175,Yann Sommer,ch SUI,GK,Inter,36-138,1988,31.0,30,2,0,3,1,28.9,0.24,-0.1,0.00,90,218,41.3,1106,125,17.6,26.8,119,19.3,28.0,341,13,3.8,13,0.42,13.1,player_advanced_goalkeeping_big5.csv,it Serie A
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,player_advanced_goalkeeping_big5.csv,Comp
176,David Soria,es ESP,GK,Getafe,32-030,1993,34.0,31,6,0,4,0,35.1,0.28,+4.1,+0.12,256,703,36.4,644,62,71.3,48.2,271,90.0,61.0,420,19,4.5,32,0.94,14.1,player_advanced_goalkeeping_big5.csv,es La Liga
177,Juan Soriano,es ESP,GK,Leganés,27-254,1997,6.0,7,0,0,1,1,8.8,0.36,+2.8,+0.47,36,120,30.0,131,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0.00,8.4,player_advanced_goalkeeping_big5.csv,es La Liga
178,Marco Sportiello,it ITA,GK,Milan,32-359,1992,1.4,2,0,0,0,0,2.2,0.36,+0.2,+0.12,5,13,38.5,46,8,21.7,27.8,14,21.4,30.6,15,1,6.7,3,2.14,25.5,player_advanced_goalkeeping_big5.csv,it Serie A
179,Filip Stankovic,rs SRB,GK,Venezia,23-068,2002,15.2,23,4,0,3,1,25.2,0.26,+3.2,+0.21,48,161,29.8,439,51,29.4,31.6,73,43.8,34.3,249,12,4.8,13,0.86,10.8,player_advanced_goalkeeping_big5.csv,it Serie A
180,Jason Steele,eng ENG,GK,Brighton,34-259,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.50,15.4,player_advanced_goalkeeping_big5.csv,eng Premier League
181,Jakub Stolarczyk,pl POL,GK,Leicester City,24-136,2000,7.0,12,0,0,1,0,11.3,0.36,-0.7,-0.10,50,127,39.4,225,27,47.1,33.5,34,61.8,45.0,125,6,4.8,6,0.86,12.2,player_advanced_goalkeeping_big5.csv,eng Premier League
182,Zion Suzuki,jp JPN,GK,Parma,22-256,2002,33.8,49,5,3,4,2,48.0,0.32,+1.0,+0.03,172,584,29.5,1159,177,39.7,36.9,205,60.5,50.8,573,62,10.8,32,0.95,11.6,player_advanced_goalkeeping_big5.csv,it Serie A
183,Mile Svilar,rs SRB,GK,Roma,25-250,1999,34.0,32,4,0,4,1,38.7,0.26,+7.7,+0.23,107,355,30.1,1113,148,23.5,30.1,166,56.0,45.2,435,29,6.7,29,0.85,13.5,player_advanced_goalkeeping_big5.csv,it Serie A
184,Wojciech Szczęsny,pl POL,GK,Barcelona,35-016,1990,13.0,9,0,0,1,0,9.4,0.36,+0.4,+0.03,19,54,35.2,353,54,11.9,24.6,45,26.7,30.7,118,6,5.1,43,3.31,20.0,player_advanced_goalkeeping_big5.csv,es La Liga
185,Marc-André ter Stegen,de GER,GK,Barcelona,33-004,1992,6.5,6,1,0,1,0,5.3,0.24,-0.7,-0.11,15,30,50.0,208,37,12.5,26.8,20,20.0,32.0,75,4,5.3,8,1.23,15.0,player_advanced_goalkeeping_big5.csv,es La Liga
186,Pietro Terracciano,it ITA,GK,Fiorentina,35-057,1990,3.0,3,0,0,0,0,3.1,0.24,+0.1,+0.03,8,25,32.0,78,14,28.2,28.8,11,27.3,26.5,20,1,5.0,3,1.00,17.0,player_advanced_goalkeeping_big5.csv,it Serie A
187,Kevin Trapp,de GER,GK,Eint Frankfurt,34-300,1990,22.5,30,0,0,6,1,32.0,0.29,+3.0,+0.13,71,258,27.5,714,111,29.7,28.9,119,38.7,35.6,349,19,5.4,19,0.84,12.9,player_advanced_goalkeeping_big5.csv,de Bundesliga
188,Mark Travers,ie IRL,GK,Bournemouth,25-351,1999,5.0,5,0,1,1,0,9.5,0.38,+4.5,+0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.00,12.9,player_advanced_goalkeeping_big5.csv,eng Premier League
189,Stefano Turati,it ITA,GK,Monza,23-241,2001,29.7,52,2,1,8,2,47.4,0.31,-2.6,-0.09,177,442,40.0,942,126,38.3,33.7,131,61.8,46.9,414,22,5.3,26,0.87,13.3,player_advanced_goalkeeping_big5.csv,it Serie A
190,Sven Ulreich,de GER,GK,Bayern Munich,36-274,1988,1.0,0,0,0,0,0,0.0,,0.0,0.00,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.00,12.3,player_advanced_goalkeeping_big5.csv,de Bundesliga
191,Jonas Urbig,de GER,GK,Bayern Munich,21-269,2003,8.0,12,0,0,2,0,10.3,0.38,-1.7,-0.21,30,79,38.0,263,33,26.2,30.9,23,43.5,43.1,81,5,6.2,21,2.63,17.4,player_advanced_goalkeeping_big5.csv,de Bundesliga
192,Maarten Vandevoordt,be BEL,GK,RB Leipzig,23-067,2002,4.8,9,0,0,4,0,7.3,0.36,-1.7,-0.35,19,52,36.5,139,27,23.0,29.4,35,57.1,46.0,78,7,9.0,11,2.31,16.1,player_advanced_goalkeeping_big5.csv,de Bundesliga
193,Nikola Vasilj,ba BIH,GK,St. Pauli,29-153,1995,32.0,37,1,0,5,1,44.8,0.32,+8.8,+0.27,161,483,33.3,1229,106,34.4,32.8,131,45.8,38.4,405,24,5.9,27,0.84,12.8,player_advanced_goalkeeping_big5.csv,de Bundesliga
194,Devis Vásquez,co COL,GK,Empoli,26-357,1998,28.0,40,1,0,4,0,36.5,0.31,-3.5,-0.12,144,497,29.0,835,90,49.2,39.4,130,66.2,52.4,456,33,7.2,12,0.43,10.6,player_advanced_goalkeeping_big5.csv,it Serie A
195,Bart Verbruggen,nl NED,GK,Brighton,22-259,2002,32.0,54,7,1,4,2,45.7,0.32,-6.3,-0.20,106,327,32.4,1097,108,25.3,29.1,76,65.8,47.7,372,25,6.7,46,1.44,14.2,player_advanced_goalkeeping_big5.csv,eng Premier League
196,Guglielmo Vicario,it ITA,GK,Tottenham,28-209,1996,22.0,32,0,0,4,2,32.7,0.36,+2.7,+0.12,20,71,28.2,739,115,8.8,22.1,59,10.2,20.6,274,29,10.6,30,1.36,13.3,player_advanced_goalkeeping_big5.csv,eng Premier League
197,Fran Vieites,es ESP,GK,Betis,25-362,1999,4.0,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40.0,38.0,29,62.1,46.4,65,6,9.2,4,1.00,12.8,player_advanced_goalkeeping_big5.csv,es La Liga
198,Iván Villar,es ESP,GK,Celta Vigo,27-299,1997,4.0,9,0,0,3,2,8.2,0.40,+1.2,+0.30,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8,player_advanced_goalkeeping_big5.csv,es La Liga
199,Christian Walton,eng ENG,GK,Ipswich Town,29-176,1995,6.0,16,2,0,0,0,15.0,0.41,-1.0,-0.17,38,108,35.2,176,27,45.5,35.2,50,56.0,43.8,105,11,10.5,1,0.17,7.6,player_advanced_goalkeeping_big5.csv,eng Premier League
200,Danny Ward,wls WAL,GK,Leicester City,31-316,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7,player_advanced_goalkeeping_big5.csv,eng Premier League
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,player_advanced_goalkeeping_big5.csv,Comp
201,Timon Weiner,de GER,GK,Holstein Kiel,26-106,1999,25.0,61,4,2,5,2,47.2,0.32,-11.8,-0.47,167,444,37.6,789,116,40.2,34.5,198,64.1,48.4,491,27,5.5,18,0.72,11.1,player_advanced_goalkeeping_big5.csv,de Bundesliga
