Rk,Player,Nation,Pos,Squad,AGE,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSx_GSoT,PSxG_plus_minus,plus_minus_p90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA_p90,AvgDist
192,Maarten Vandevoordt,be BEL,GK,RB Leipzig,23.18356164,2002,4.8,9,0,0,4,0,7.3,0.36,-1.7,-0.35,19,52,36.5,139,27,23,29.4,35,57.1,46,78,7,9,11,2.31,16.1
193,Nikola Vasilj,ba BIH,GK,St. Pauli,29.41917808,1995,32,37,1,0,5,1,44.8,0.32,+8.8,+0.27,161,483,33.3,1229,106,34.4,32.8,131,45.8,38.4,405,24,5.9,27,0.84,12.8
194,Devis Vásquez,co COL,GK,Empoli,26.97808219,1998,28,40,1,0,4,0,36.5,0.31,-3.5,-0.12,144,497,29,835,90,49.2,39.4,130,66.2,52.4,456,33,7.2,12,0.43,10.6
195,Bart Verbruggen,nl NED,GK,Brighton,22.70958904,2002,32,54,7,1,4,2,45.7,0.32,-6.3,-0.2,106,327,32.4,1097,108,25.3,29.1,76,65.8,47.7,372,25,6.7,46,1.44,14.2
196,Guglielmo Vicario,it ITA,GK,Tottenham,28.57260274,1996,22,32,0,0,4,2,32.7,0.36,+2.7,+0.12,20,71,28.2,739,115,8.8,22.1,59,10.2,20.6,274,29,10.6,30,1.36,13.3
197,Fran Vieites,es ESP,GK,Betis,25.99178082,1999,4,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40,38,29,62.1,46.4,65,6,9.2,4,1,12.8
198,Iván Villar,es ESP,GK,Celta Vigo,27.81917808,1997,4,9,0,0,3,2,8.2,0.4,+1.2,+0.30,3,22,13.6,82,15,14.6,24,35,28.6,26.9,65,1,1.5,5,1.25,14.8
199,Christian Walton,eng ENG,GK,Ipswich Town,29.48219178,1995,6,16,2,0,0,0,15,0.41,-1,-0.17,38,108,35.2,176,27,45.5,35.2,50,56,43.8,105,11,10.5,1,0.17,7.6
200,Danny Ward,wls WAL,GK,Leicester City,31.86575342,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37,32,7,71.4,52,11,0,0,2,1.33,20.7
201,Timon Weiner,de GER,GK,Holstein Kiel,26.29041096,1999,25,61,4,2,5,2,47.2,0.32,-11.8,-0.47,167,444,37.6,789,116,40.2,34.5,198,64.1,48.4,491,27,5.5,18,0.72,11.1
202,Robin Zentner,de GER,GK,Mainz 05,30.51506849,1994,31,39,3,2,8,0,43.3,0.3,+4.3,+0.14,171,551,31,956,130,45.7,38.5,177,64.4,51.9,520,45,8.7,57,1.84,13.9
203,Michael Zetterer,de GER,GK,Werder Bremen,29.8109589,1995,32,56,3,2,3,3,48.8,0.32,-4.2,-0.13,122,344,35.5,1123,171,27.8,31.8,101,31.7,35.7,440,34,7.7,30,0.94,13.3
1,Lucas Acosta,ar ARG,GK,Sarmiento,30.14794521,1995,16,19,1,0,2,2,25.1,0.29,+8.1,+0.51,87,240,36.3,338,38,48.5,41.8,125,60.8,47.1,282,13,4.6,17,1.06,15.4
2,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34.69863014,1990,14,19,2,1,3,1,16.6,0.33,-1.4,-0.1,43,156,27.6,203,29,47.3,38.7,100,60,43.9,157,6,3.8,5,0.36,11.5
3,Ignacio Arce,ar ARG,GK,Deportivo Riestra,33.0739726,1992,16,7,2,0,1,2,12.7,0.21,+7.7,+0.48,176,448,39.3,395,11,82,53.3,142,87.3,62.6,355,36,10.1,24,1.5,13.8
4,Gabriel Arias,cl CHI,GK,Racing Club,37.64109589,1987,11.3,9,0,0,0,0,9.5,0.22,+0.5,+0.04,56,150,37.3,236,45,44.9,38.9,100,44,39.2,146,4,2.7,18,1.59,21
5,Franco Armani,ar ARG,GK,River Plate,38.55068493,1986,16,9,0,0,1,0,14.7,0.29,+5.7,+0.36,47,106,44.3,277,75,27.4,30.3,98,30.6,33.4,160,6,3.8,17,1.06,14.6
6,Williams Barlasina,ar ARG,GK,Aldosivi,26.84931507,1998,4,8,0,1,0,0,6.3,0.39,-1.7,-0.43,13,42,31,66,19,40.9,35.6,33,45.5,37.8,54,4,7.4,1,0.25,13
7,Enrique Bologna,ar ARG,GK,Defensa y Just,43.22191781,1982,16,22,1,1,2,0,22.7,0.29,+0.7,+0.05,118,242,48.8,380,58,47.1,38.7,118,53.4,43.5,265,11,4.2,10,0.63,10.7
8,Matías Borgogno,ar ARG,GK,San Martín de San Juan,26.70410959,1998,16,18,1,2,2,0,18.7,0.29,+0.7,+0.04,123,318,38.7,367,29,58.6,44.2,133,77.4,56.3,227,20,8.8,8,0.5,10.8
9,Leandro Brey,ar ARG,GK,Boca Juniors,22.61917808,2002,2,1,0,0,1,0,1,0.26,0,+0.02,6,20,30,44,10,29.5,31.2,16,43.8,44.9,40,0,0,2,1,16.8
10,Jorge Broun,ar ARG,GK,Rosario Central,38.94246575,1986,14,8,0,0,0,1,8.9,0.2,+1.9,+0.14,78,165,47.3,251,62,39.8,35.7,139,46.8,39.6,246,6,2.4,2,0.14,11.8
11,Javier Burrai,ec ECU,GK,Talleres,34.56986301,1990,1.5,1,0,0,1,0,0.2,0.04,-0.8,-0.55,10,22,45.5,45,4,33.3,32,15,46.7,39.7,34,1,2.9,2,1.33,15.7
12,Facundo Cambeses,ar ARG,GK,Racing Club,28.07123288,1997,4.7,7,0,0,1,0,5.7,0.21,-1.3,-0.28,18,66,27.3,78,13,39.7,37,50,70,53.8,83,1,1.2,3,0.64,15.1
13,Thiago Cardozo,uy URU,GK,Unión,28.76164384,1996,14,16,2,0,4,0,16.5,0.3,+0.5,+0.03,47,136,34.6,248,66,37.1,36.3,98,44.9,41.4,180,7,3.9,6,0.43,12.6
14,Jorge Carranza,ar ARG,GK,Aldosivi,43.99452055,1981,12,20,3,0,1,0,13.9,0.21,-6.1,-0.51,61,146,41.8,223,51,43,38,79,63.3,45.3,199,9,4.5,6,0.5,11.3
15,Ezequiel Centurión,ar ARG,GK,Ind. Rivadavia,27.95890411,1997,16,17,3,0,1,1,18.2,0.23,+2.2,+0.14,90,286,31.5,322,56,50.3,42.1,146,84.9,60.4,299,17,5.7,6,0.38,10.8
16,Juan Cozzani,ar ARG,GK,Platense,26.56986301,1998,16,11,2,0,3,2,16.5,0.27,+7.5,+0.47,84,322,26.1,305,24,70.5,49.7,112,95.5,67.2,249,12,4.8,19,1.19,16.3
17,Tomás Durso,ar ARG,GK,Atlé Tucumán,26.18630137,1999,11,17,1,1,1,1,17.2,0.34,+1.2,+0.11,63,177,35.6,245,46,49.4,41.2,87,64.4,51.4,128,8,6.3,16,1.45,17.3
18,Juan Espínola,py PAR,GK,Belgrano,30.50410959,1994,11,18,1,2,4,0,12,0.27,-6,-0.54,65,204,31.9,289,39,52.2,40.3,71,74.6,58.2,182,13,7.1,8,0.73,12.4
19,Hernán Galíndez,ec ECU,GK,Huracán,38.09863014,1987,16,12,2,1,2,1,14.8,0.28,+3.8,+0.24,72,218,33,345,43,42,39.2,109,67,52.3,225,13,5.8,6,0.38,10.2
20,Orlando Gil,py PAR,GK,San Lorenzo,24.89863014,2000,16,10,0,0,0,1,12,0.24,+3.0,+0.19,84,254,33.1,275,39,58.9,44.8,138,66.7,51.5,238,9,3.8,1,0.06,9.5
21,Juan González,uy URU,GK,Atlé Tucumán,31.81917808,1993,5,4,1,1,1,0,4.7,0.21,+0.7,+0.13,29,73,39.7,119,14,45.4,38.6,36,52.8,43.2,64,5,7.8,6,1.2,17.7
22,Guido Herrera,ar ARG,GK,Talleres,33.17808219,1992,14.5,14,1,0,0,1,14.1,0.3,+1.1,+0.08,84,211,39.8,396,45,46,39.1,73,39.7,39.6,184,11,6,6,0.41,11.3
23,Marcos Ignacio Ledesma,ar ARG,GK,Barracas Central,28.63561644,1996,16,18,0,1,2,2,15.8,0.24,-0.2,-0.01,92,250,36.8,268,57,64.9,46.7,95,80,55.7,291,25,8.6,7,0.44,10.1
24,Luis Ingolotti,ar ARG,GK,Gimnasia–LP,25.30410959,2000,3,7,2,0,0,0,7.1,0.37,+0.1,+0.02,11,31,35.5,55,12,43.6,36.5,21,33.3,36.5,54,1,1.9,0,0,10.5
25,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,29.94794521,1995,13,11,1,0,1,0,14.9,0.26,+3.9,+0.30,76,209,36.4,289,36,52.6,42.8,87,65.5,52,217,13,6,2,0.15,10.8
26,Nahuel Losada,ar ARG,GK,Lanús,32.04931507,1993,15,10,1,1,0,0,14.7,0.25,+4.7,+0.31,61,171,35.7,375,85,34.9,34.4,70,57.1,47.9,225,24,10.7,18,1.2,13.5
27,Matías Mansilla,ar ARG,GK,Estudiantes–LP,29.21643836,1996,16,19,1,0,1,0,16.1,0.28,-2.9,-0.18,67,186,36,274,69,38,35.6,131,62.6,48.6,237,9,3.8,20,1.25,16.8
28,Agustín Marchesín,ar ARG,GK,Boca Juniors,37.1369863,1988,14,10,0,1,1,0,11.5,0.27,+1.5,+0.11,46,118,39,271,59,31.4,31.2,120,27.5,31,198,10,5.1,4,0.29,10.6
