Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,source_file
127,Alex Padilla,es ESP,GK,Athletic Club,es La Liga,21-245,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
128,Alberto Paleari,it ITA,GK,Torino,it Serie A,32-248,1992,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
129,Alex Palmer,eng ENG,GK,Ipswich Town,eng Premier League,28-267,1996,11,11,990,11.0,27,2.45,63,38,58.7,1,3,7,0,0.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
130,Rui Patrício,pt POR,GK,Atalanta,it Serie A,37-078,1988,2,2,180,2.0,1,0.50,9,8,88.9,1,1,0,1,50.0,0,0,0,0,,player_goalkeeping_big5.csv
131,Iñaki Peña,es ESP,GK,Barcelona,es La Liga,26-063,1999,15,14,1306,14.5,18,1.24,52,34,69.2,6,3,5,3,21.4,2,2,0,0,0.0,player_goalkeeping_big5.csv
132,Daniel Peretz,il ISR,GK,Bayern Munich,de Bundesliga,24-298,2000,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
133,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,30-117,1995,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
134,Mattia Perin,it ITA,GK,Juventus,it Serie A,32-175,1992,5,5,450,5.0,3,0.60,16,13,81.3,2,3,0,3,60.0,0,0,0,0,,player_goalkeeping_big5.csv
135,Lucas Perri,br BRA,GK,Lyon,fr Ligue 1,27-145,1997,30,30,2700,30.0,40,1.33,149,109,75.2,16,6,8,9,30.0,3,3,0,0,0.0,player_goalkeeping_big5.csv
136,Đorđe Petrović,rs SRB,GK,Strasbourg,fr Ligue 1,25-208,1999,29,29,2610,29.0,33,1.14,140,108,80.0,15,8,6,10,34.5,6,5,1,0,16.7,player_goalkeeping_big5.csv
137,Luca Philipp,de GER,GK,Hoffenheim,de Bundesliga,24-157,2000,6,6,540,6.0,15,2.50,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
138,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31-058,1994,35,35,3150,35.0,43,1.23,149,104,71.1,8,15,12,10,28.6,2,0,2,0,100.0,player_goalkeeping_big5.csv
139,Semuel Pizzignacco,it ITA,GK,Monza,it Serie A,23-245,2001,5,4,384,4.3,7,1.64,18,11,61.1,0,2,2,1,25.0,0,0,0,0,,player_goalkeeping_big5.csv
140,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,33-015,1992,24,24,2160,24.0,32,1.33,105,74,70.5,12,5,7,7,29.2,2,1,1,0,50.0,player_goalkeeping_big5.csv
141,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31-048,1994,29,29,2610,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0,player_goalkeeping_big5.csv
142,Ionuț Radu,ro ROU,GK,Venezia,it Serie A,27-341,1997,12,12,1080,12.0,11,0.92,50,39,82.0,1,7,4,4,33.3,2,2,0,0,0.0,player_goalkeeping_big5.csv
143,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,eng Premier League,23-203,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,player_goalkeeping_big5.csv
144,Arnau Rafús,es ESP,GK,Valladolid,es La Liga,22-007,2003,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
145,Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26-355,1998,27,27,2430,27.0,62,2.30,173,109,67.1,2,4,21,2,7.4,7,5,2,0,28.6,player_goalkeeping_big5.csv
146,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,25-174,1999,11,10,966,10.7,11,1.02,21,10,52.4,5,2,3,4,40.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
147,David Raya,es ESP,GK,Arsenal,eng Premier League,29-231,1995,35,35,3150,35.0,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0.0,player_goalkeeping_big5.csv
148,Pepe Reina,es ESP,GK,Como,it Serie A,42-246,1982,10,10,900,10.0,12,1.20,35,23,68.6,2,4,4,2,20.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
149,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30-041,1995,32,32,2880,32.0,36,1.13,115,78,73.0,12,6,14,12,37.5,6,5,1,0,16.7,player_goalkeeping_big5.csv
150,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20-054,2005,27,27,2363,26.3,33,1.26,84,53,61.9,8,6,13,8,29.6,2,1,1,0,50.0,player_goalkeeping_big5.csv
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_big5.csv
151,Adrian Rodriguez,es ESP,GK,Alavés,es La Liga,24-143,2000,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
152,Leo Román,es ESP,GK,Mallorca,es La Liga,24-302,2000,6,6,540,6.0,8,1.33,37,29,81.1,2,1,3,2,33.3,1,1,0,0,0.0,player_goalkeeping_big5.csv
153,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,32-349,1992,31,31,2790,31.0,43,1.39,128,84,68.8,18,4,9,5,16.1,6,3,3,0,50.0,player_goalkeeping_big5.csv
154,Mathew Ryan,au AUS,GK,Lens,fr Ligue 1,33-026,1992,11,11,990,11.0,15,1.36,48,32,72.9,6,0,5,5,45.5,3,2,1,0,33.3,player_goalkeeping_big5.csv
155,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,32-273,1992,27,27,2430,27.0,34,1.26,107,70,69.2,8,11,8,8,29.6,5,1,4,0,80.0,player_goalkeeping_big5.csv
156,José Sá,pt POR,GK,Wolves,eng Premier League,32-107,1993,27,27,2430,27.0,45,1.67,108,63,62.0,11,4,12,7,25.9,6,4,2,0,33.3,player_goalkeeping_big5.csv
157,Matvei Safonov,ru RUS,GK,Paris S-G,fr Ligue 1,26-068,1999,10,9,879,9.8,9,0.92,25,17,72.0,7,1,1,3,33.3,2,2,0,0,0.0,player_goalkeeping_big5.csv
158,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31-009,1994,15,15,1350,15.0,23,1.53,71,47,67.6,6,0,9,4,26.7,1,0,1,0,100.0,player_goalkeeping_big5.csv
159,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,31-009,1994,15,15,1350,15.0,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0.0,player_goalkeeping_big5.csv
160,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27-167,1997,28,28,2520,28.0,31,1.11,116,84,76.7,14,9,5,8,28.6,5,4,1,0,20.0,player_goalkeeping_big5.csv
161,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,22-023,2003,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0,player_goalkeeping_big5.csv
162,Razvan Sava,ro ROU,GK,Udinese,it Serie A,22-317,2002,12,12,1080,12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0,player_goalkeeping_big5.csv
163,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,32-336,1992,5,5,450,5.0,12,2.40,24,12,54.2,1,0,4,0,0.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
164,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28-338,1996,13,13,1170,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0,player_goalkeeping_big5.csv
165,Simone Scuffet,it ITA,GK,Napoli,it Serie A,28-338,1996,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
166,Jacopo Seghetti,it ITA,GK,Empoli,it Serie A,20-076,2005,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
167,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,33-067,1992,34,34,3060,34.0,41,1.21,149,108,73.8,18,6,10,13,38.2,2,2,0,0,0.0,player_goalkeeping_big5.csv
168,Alen Sherri,al ALB,GK,Cagliari,it Serie A,27-140,1997,6,6,540,6.0,9,1.50,25,16,64.0,1,2,3,1,16.7,0,0,0,0,,player_goalkeeping_big5.csv
169,Rui Silva,pt POR,GK,Betis,es La Liga,31-086,1994,15,15,1350,15.0,18,1.20,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0,player_goalkeeping_big5.csv
170,Marco Silvestri,it ITA,GK,Empoli,it Serie A,34-063,1991,5,5,450,5.0,11,2.20,27,17,59.3,0,1,4,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
171,Unai Simón,es ESP,GK,Athletic Club,es La Liga,27-327,1997,16,16,1440,16.0,11,0.69,51,39,78.4,7,7,2,6,37.5,1,0,1,0,100.0,player_goalkeeping_big5.csv
172,Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,37-043,1988,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,,player_goalkeeping_big5.csv
173,Antonio Sivera,es ESP,GK,Alavés,es La Liga,28-266,1996,28,28,2450,27.2,37,1.36,100,64,72.0,7,9,12,6,21.4,9,9,0,0,0.0,player_goalkeeping_big5.csv
174,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33-364,1991,24,24,2094,23.3,26,1.12,70,45,64.3,11,11,2,8,33.3,2,1,1,0,50.0,player_goalkeeping_big5.csv
175,Yann Sommer,ch SUI,GK,Inter,it Serie A,36-138,1988,31,31,2790,31.0,30,0.97,108,78,74.1,19,7,5,12,38.7,3,2,1,0,33.3,player_goalkeeping_big5.csv
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_big5.csv
176,David Soria,es ESP,GK,Getafe,es La Liga,32-030,1993,34,34,3060,34.0,31,0.91,109,77,77.1,10,9,15,9,26.5,7,6,1,0,14.3,player_goalkeeping_big5.csv
177,Juan Soriano,es ESP,GK,Leganés,es La Liga,27-254,1997,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,,player_goalkeeping_big5.csv
178,Marco Sportiello,it ITA,GK,Milan,it Serie A,32-359,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_big5.csv
179,Filip Stankovic,rs SRB,GK,Venezia,it Serie A,23-068,2002,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0,player_goalkeeping_big5.csv
180,Jason Steele,eng ENG,GK,Brighton,eng Premier League,34-259,1990,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,player_goalkeeping_big5.csv
181,Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,24-136,2000,7,7,630,7.0,12,1.71,31,19,61.3,2,0,5,1,14.3,0,0,0,0,,player_goalkeeping_big5.csv
182,Zion Suzuki,jp JPN,GK,Parma,it Serie A,22-256,2002,33,33,2970,33.8,49,1.48,140,93,68.6,6,14,14,6,18.2,5,5,0,0,0.0,player_goalkeeping_big5.csv
183,Mile Svilar,rs SRB,GK,Roma,it Serie A,25-250,1999,34,34,3060,34.0,32,0.94,136,105,79.4,17,9,8,14,41.2,4,4,0,0,0.0,player_goalkeeping_big5.csv
184,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,35-016,1990,13,13,1170,13.0,9,0.69,27,18,66.7,12,1,0,7,53.8,0,0,0,0,,player_goalkeeping_big5.csv
185,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,33-004,1992,7,7,584,6.5,6,0.92,19,13,73.7,7,0,0,1,14.3,1,1,0,0,0.0,player_goalkeeping_big5.csv
186,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,35-057,1990,3,3,270,3.0,3,1.00,13,10,76.9,0,3,0,1,33.3,0,0,0,0,,player_goalkeeping_big5.csv
187,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,34-300,1990,23,23,2025,22.5,30,1.33,111,80,73.0,11,6,6,6,26.1,2,0,2,0,100.0,player_goalkeeping_big5.csv
188,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,25-351,1999,5,5,450,5.0,5,1.00,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,player_goalkeeping_big5.csv
189,Stefano Turati,it ITA,GK,Monza,it Serie A,23-241,2001,30,30,2676,29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50.0,player_goalkeeping_big5.csv
190,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,36-274,1988,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_big5.csv
191,Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,21-269,2003,8,8,720,8.0,12,1.50,28,16,57.1,4,3,1,2,25.0,0,0,0,0,,player_goalkeeping_big5.csv
192,Maarten Vandevoordt,be BEL,GK,RB Leipzig,de Bundesliga,23-067,2002,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
193,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,29-153,1995,32,32,2879,32.0,37,1.16,129,89,72.1,8,7,17,9,28.1,5,1,4,0,80.0,player_goalkeeping_big5.csv
194,Devis Vásquez,co COL,GK,Empoli,it Serie A,26-357,1998,28,28,2520,28.0,40,1.43,115,74,66.1,4,12,12,6,21.4,3,1,1,1,50.0,player_goalkeeping_big5.csv
195,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,22-259,2002,32,32,2880,32.0,54,1.69,128,76,63.3,11,12,9,6,18.8,7,7,0,0,0.0,player_goalkeeping_big5.csv
196,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,28-209,1996,22,22,1980,22.0,32,1.45,92,62,65.2,9,2,11,4,18.2,0,0,0,0,,player_goalkeeping_big5.csv
197,Fran Vieites,es ESP,GK,Betis,es La Liga,25-362,1999,4,4,360,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
198,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27-299,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,player_goalkeeping_big5.csv
199,Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,29-176,1995,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,player_goalkeeping_big5.csv
200,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,31-316,1993,2,1,135,1.5,6,4.00,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_big5.csv
201,Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,26-106,1999,25,25,2250,25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0,player_goalkeeping_big5.csv
202,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,30-188,1994,31,31,2790,31.0,39,1.26,138,98,73.9,13,8,10,9,29.0,4,3,1,0,25.0,player_goalkeeping_big5.csv
203,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29-296,1995,32,32,2880,32.0,56,1.75,144,91,63.2,13,8,11,9,28.1,3,3,0,0,0.0,player_goalkeeping_big5.csv
1,Lucas Acosta,ar ARG,GK,Sarmiento,,30-054,1995,16,16,1440,16.0,19,1.19,83,66,78.3,2,9,5,4,25.0,2,1,0,1,0.0,player_goalkeeping_argentina.csv
2,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,,34-255,1990,14,14,1260,14.0,19,1.36,47,29,63.8,5,3,6,5,35.7,2,2,0,0,0.0,player_goalkeeping_argentina.csv
3,Ignacio Arce,ar ARG,GK,Deportivo Riestra,,33-027,1992,16,16,1440,16.0,7,0.44,53,48,90.6,5,9,2,12,75.0,2,2,0,0,0.0,player_goalkeeping_argentina.csv
4,Gabriel Arias,cl CHI,GK,Racing Club,,37-234,1987,12,12,1016,11.3,9,0.80,40,30,77.5,8,1,3,5,41.7,1,0,1,0,100.0,player_goalkeeping_argentina.csv
5,Franco Armani,ar ARG,GK,River Plate,,38-201,1986,16,16,1440,16.0,9,0.56,51,42,82.4,8,7,1,9,56.3,0,0,0,0,,player_goalkeeping_argentina.csv
6,Williams Barlasina,ar ARG,GK,Aldosivi,,26-310,1998,4,4,360,4.0,8,2.00,16,8,50.0,0,2,2,0,0.0,0,0,0,0,,player_goalkeeping_argentina.csv
7,Enrique Bologna,ar ARG,GK,Defensa y Just,,43-081,1982,16,16,1440,16.0,22,1.37,76,54,72.4,5,4,7,5,31.3,1,1,0,0,0.0,player_goalkeeping_argentina.csv
8,Matías Borgogno,ar ARG,GK,San Martín de San Juan,,26-257,1998,16,16,1440,16.0,18,1.13,61,43,72.1,2,3,11,3,18.8,1,1,0,0,0.0,player_goalkeeping_argentina.csv
9,Leandro Brey,ar ARG,GK,Boca Juniors,,22-226,2002,2,2,180,2.0,1,0.50,4,3,75.0,0,2,0,1,50.0,0,0,0,0,,player_goalkeeping_argentina.csv
10,Jorge Broun,ar ARG,GK,Rosario Central,,38-344,1986,14,14,1260,14.0,8,0.57,45,38,82.2,9,4,1,7,50.0,0,0,0,0,,player_goalkeeping_argentina.csv
11,Javier Burrai,ec ECU,GK,Talleres,,34-208,1990,2,1,135,1.5,1,0.67,4,3,75.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_argentina.csv
12,Facundo Cambeses,ar ARG,GK,Racing Club,,28-026,1997,5,4,421,4.7,7,1.50,28,21,75.0,1,0,3,1,25.0,0,0,0,0,,player_goalkeeping_argentina.csv
13,Thiago Cardozo,uy URU,GK,Unión,,28-278,1996,14,14,1256,14.0,16,1.15,51,35,72.5,2,5,7,3,21.4,2,2,0,0,0.0,player_goalkeeping_argentina.csv
14,Jorge Carranza,ar ARG,GK,Aldosivi,,43-363,1981,12,12,1080,12.0,20,1.67,55,35,69.1,4,1,7,2,16.7,3,3,0,0,0.0,player_goalkeeping_argentina.csv
15,Ezequiel Centurión,ar ARG,GK,Ind. Rivadavia,,27-350,1997,16,16,1440,16.0,17,1.06,65,48,78.5,7,6,3,6,37.5,4,3,1,0,25.0,player_goalkeeping_argentina.csv
16,Juan Cozzani,ar ARG,GK,Platense,,26-208,1998,16,16,1440,16.0,11,0.69,57,48,84.2,6,5,5,6,37.5,2,2,0,0,0.0,player_goalkeeping_argentina.csv
17,Tomás Durso,ar ARG,GK,Atlé Tucumán,,26-068,1999,11,11,990,11.0,17,1.55,46,29,65.2,2,1,8,2,18.2,3,1,1,1,50.0,player_goalkeeping_argentina.csv
18,Juan Espínola,py PAR,GK,Belgrano,,30-184,1994,11,11,990,11.0,18,1.64,41,23,58.5,2,5,4,3,27.3,1,1,0,0,0.0,player_goalkeeping_argentina.csv
19,Hernán Galíndez,ec ECU,GK,Huracán,,38-036,1987,16,16,1440,16.0,12,0.75,44,32,77.3,7,6,3,8,50.0,3,2,1,0,33.3,player_goalkeeping_argentina.csv
20,Orlando Gil,py PAR,GK,San Lorenzo,,24-328,2000,16,16,1440,16.0,10,0.62,50,41,80.0,7,6,3,9,56.3,0,0,0,0,,player_goalkeeping_argentina.csv
21,Juan González,uy URU,GK,Atlé Tucumán,,31-299,1993,5,5,450,5.0,4,0.80,18,14,83.3,3,0,2,2,40.0,1,1,0,0,0.0,player_goalkeeping_argentina.csv
22,Guido Herrera,ar ARG,GK,Talleres,,33-065,1992,15,15,1305,14.5,14,0.97,44,31,70.5,1,7,7,5,33.3,1,1,0,0,0.0,player_goalkeeping_argentina.csv
23,Marcos Ignacio Ledesma,ar ARG,GK,Barracas Central,,28-232,1996,16,16,1440,16.0,18,1.13,65,49,72.3,7,5,4,5,31.3,0,0,0,0,,player_goalkeeping_argentina.csv
24,Luis Ingolotti,ar ARG,GK,Gimnasia–LP,,25-111,2000,3,3,270,3.0,7,2.33,14,7,64.3,0,0,3,0,0.0,2,2,0,0,0.0,player_goalkeeping_argentina.csv
25,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,,29-346,1995,13,13,1170,13.0,11,0.85,48,35,79.2,4,4,5,6,46.2,3,1,2,0,66.7,player_goalkeeping_argentina.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_argentina.csv
26,Nahuel Losada,ar ARG,GK,Lanús,,32-018,1993,15,15,1350,15.0,10,0.67,53,42,83.0,4,7,4,7,46.7,3,1,1,1,50.0,player_goalkeeping_argentina.csv
27,Matías Mansilla,ar ARG,GK,Estudiantes–LP,,29-079,1996,16,16,1440,16.0,19,1.19,52,32,65.4,5,6,5,5,31.3,2,1,1,0,50.0,player_goalkeeping_argentina.csv
28,Agustín Marchesín,ar ARG,GK,Boca Juniors,,37-050,1988,14,14,1260,14.0,10,0.71,44,34,77.3,10,1,3,7,50.0,0,0,0,0,,player_goalkeeping_argentina.csv
29,Tomás Marchiori,ar ARG,GK,Vélez Sarsfield,,29-319,1995,15,15,1350,15.0,18,1.20,49,32,63.3,4,2,9,5,33.3,1,0,0,1,,player_goalkeeping_argentina.csv
30,Diego Matías Rodríguez,ar ARG,GK,Arg Juniors,,35-314,1989,16,16,1440,16.0,9,0.56,44,36,79.5,9,6,1,9,56.3,0,0,0,0,,player_goalkeeping_argentina.csv
31,Lautaro Morales,ar ARG,GK,Lanús,,25-140,1999,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,player_goalkeeping_argentina.csv
32,Keylor Navas,cr CRC,GK,Newell's OB,,38-141,1986,14,14,1260,14.0,11,0.79,64,54,82.8,5,4,5,6,42.9,1,0,0,1,,player_goalkeeping_argentina.csv
33,Franco Petroli,ar ARG,GK,Godoy Cruz,,26-328,1998,16,16,1440,16.0,18,1.13,63,45,71.4,3,8,5,7,43.8,1,0,1,0,100.0,player_goalkeeping_argentina.csv
34,Josue Reinatti,ar ARG,GK,Newell's OB,,21-337,2003,2,2,180,2.0,4,2.00,14,10,78.6,0,0,2,0,0.0,1,1,0,0,0.0,player_goalkeeping_argentina.csv
35,Rodrigo Rey,ar ARG,GK,Independiente,,34-058,1991,16,16,1440,16.0,12,0.75,45,36,80.0,8,5,3,7,43.8,3,3,0,0,0.0,player_goalkeeping_argentina.csv
36,Randall Rodríguez,uy URU,GK,Vélez Sarsfield,,21-157,2003,1,1,90,1.0,4,4.00,8,4,62.5,0,0,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_argentina.csv
37,Manuel Roffo,ar ARG,GK,Instituto,,25-031,2000,16,16,1440,16.0,20,1.25,59,39,69.5,5,3,8,5,31.3,2,2,0,0,0.0,player_goalkeeping_argentina.csv
38,Facundo Sanguinetti,ar ARG,GK,Banfield,,24-065,2001,16,16,1440,16.0,19,1.19,68,47,76.5,3,5,8,4,25.0,5,3,2,0,40.0,player_goalkeeping_argentina.csv
39,Matías Tagliamonte,ar ARG,GK,Unión,,27-075,1998,2,2,180,2.0,1,0.50,8,6,87.5,1,0,1,1,50.0,1,0,1,0,100.0,player_goalkeeping_argentina.csv
40,Manuel Vicentini,ar ARG,GK,Belgrano,,35-016,1990,5,5,450,5.0,5,1.00,18,12,72.2,1,3,1,2,40.0,1,0,1,0,100.0,player_goalkeeping_argentina.csv
41,Axel Werner,ar ARG,GK,Rosario Central,,29-066,1996,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,player_goalkeeping_argentina.csv
42,Felipe Zenobio,ar ARG,GK,Tigre,,24-348,2000,16,16,1440,16.0,12,0.75,51,39,80.4,8,3,5,7,43.8,3,2,0,1,0.0,player_goalkeeping_argentina.csv
43,Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,,23-328,2001,2,2,180,2.0,3,1.50,8,5,62.5,0,0,2,0,0.0,0,0,0,0,,player_goalkeeping_argentina.csv
1,Anthoni,br BRA,GK,Internacional,,23-102,2002,7,6,585,6.5,8,1.23,21,14,66.7,2,2,2,2,33.3,1,1,0,0,0.0,player_goalkeeping_brasil.csv
2,Lucas Arcanjo,br BRA,GK,Vitória,,26-270,1998,6,6,540,6.0,8,1.33,42,34,81.0,1,3,2,0,0.0,0,0,0,0,,player_goalkeeping_brasil.csv
3,Gabriel Brazão,br BRA,GK,Santos,,24-212,2000,7,7,630,7.0,10,1.43,28,18,64.3,1,1,5,1,14.3,0,0,0,0,,player_goalkeeping_brasil.csv
4,Cássio,br BRA,GK,Cruzeiro,,37-333,1987,7,7,630,7.0,7,1.00,34,26,79.4,4,1,2,2,28.6,1,0,1,0,100.0,player_goalkeeping_brasil.csv
5,Matheus Donelli,br BRA,GK,Corinthians,,22-353,2002,5,5,450,5.0,6,1.20,19,13,73.7,2,1,2,1,20.0,1,1,0,0,0.0,player_goalkeeping_brasil.csv
6,Éverson,br BRA,GK,Atlético Mineiro,,34-287,1990,6,6,540,6.0,8,1.33,26,18,69.2,1,3,2,2,33.3,0,0,0,0,,player_goalkeeping_brasil.csv
7,Fábio,br BRA,GK,Fluminense,,44-217,1980,7,7,630,7.0,7,1.00,26,19,73.1,4,1,2,2,28.6,0,0,0,0,,player_goalkeeping_brasil.csv
8,Marcos Felipe,br BRA,GK,Bahia,,29-022,1996,4,3,342,3.8,3,0.79,13,10,76.9,3,0,0,3,100.0,0,0,0,0,,player_goalkeeping_brasil.csv
9,Bruno Ferreira,br BRA,GK,Ceará,,31-050,1994,4,4,333,3.7,4,1.08,13,9,69.2,2,1,1,1,25.0,0,0,0,0,,player_goalkeeping_brasil.csv
10,Caíque França,br BRA,GK,Sport Recife,,29-336,1995,7,7,630,7.0,10,1.43,33,23,75.8,0,2,5,2,28.6,3,2,0,1,0.0,player_goalkeeping_brasil.csv
11,Gabriel,br BRA,GK,Vitória,,32-220,1992,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_brasil.csv
12,Gustavo,br BRA,GK,Juventude,,32-056,1993,4,4,360,4.0,12,3.00,23,10,52.2,1,1,2,0,0.0,2,1,1,0,50.0,player_goalkeeping_brasil.csv
13,Léo Jardim,br BRA,GK,Vasco da Gama,,30-046,1995,7,7,630,7.0,9,1.29,22,15,59.1,2,1,4,1,14.3,0,0,0,0,,player_goalkeeping_brasil.csv
14,John,br BRA,GK,Botafogo (RJ),,29-081,1996,7,7,630,7.0,5,0.71,22,17,77.3,2,2,3,3,42.9,0,0,0,0,,player_goalkeeping_brasil.csv
