Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,source_file
31,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,31-120,1994,6,6,540,6.0,13,2.17,36,23,66.7,1,2,3,0,0.0,2,1,1,0,50.0,player_goalkeeping_big5.csv
32,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-091,2001,2,2,180,2.0,3,1.50,9,5,77.8,0,1,1,1,50.0,2,1,1,0,50.0,player_goalkeeping_big5.csv
33,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28-313,1996,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
34,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,31-027,1994,18,18,1620,18.0,38,2.11,93,54,61.3,5,0,13,3,16.7,3,2,1,0,33.3,player_goalkeeping_big5.csv
35,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27-281,1997,29,29,2610,29.0,28,0.97,88,60,73.9,14,11,4,13,44.8,5,5,0,0,0.0,player_goalkeeping_big5.csv
36,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31-130,1993,4,4,360,4.0,6,1.50,12,6,58.3,0,2,2,0,0.0,2,1,0,1,0.0,player_goalkeeping_big5.csv
37,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-169,1999,32,32,2880,32.0,43,1.34,170,126,76.5,8,9,15,7,21.9,4,3,1,0,25.0,player_goalkeeping_big5.csv
38,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,33-100,1992,27,27,2430,27.0,42,1.56,125,85,72.0,5,10,12,8,29.6,8,7,0,1,0.0,player_goalkeeping_big5.csv
39,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26-278,1998,1,0,19,0.2,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,player_goalkeeping_big5.csv
40,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,26-068,1999,23,23,2001,22.2,24,1.08,72,48,68.1,17,5,1,4,17.4,1,1,0,0,0.0,player_goalkeeping_big5.csv
41,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,32-089,1993,21,21,1890,21.0,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40.0,player_goalkeeping_big5.csv
42,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36-109,1989,10,10,900,10.0,12,1.20,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,player_goalkeeping_big5.csv
43,Ederson,br BRA,GK,Manchester City,eng Premier League,31-260,1993,23,23,2050,22.8,25,1.10,73,49,68.5,14,3,6,8,34.8,2,2,0,0,0.0,player_goalkeeping_big5.csv
44,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,40-016,1985,13,12,1070,11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0.0,player_goalkeeping_big5.csv
45,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-022,1995,35,35,3150,35.0,57,1.63,168,113,70.8,6,9,20,7,20.0,10,8,1,1,11.1,player_goalkeeping_big5.csv
46,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,21-117,2004,1,0,31,0.3,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,player_goalkeeping_big5.csv
47,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,34-001,1991,1,1,90,1.0,0,0.00,5,5,100.0,0,1,0,1,100.0,0,0,0,0,,player_goalkeeping_big5.csv
48,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,27-021,1998,8,7,657,7.3,12,1.64,29,17,65.5,2,1,4,3,42.9,2,2,0,0,0.0,player_goalkeeping_big5.csv
49,André Ferreira,pt POR,GK,Valladolid,es La Liga,28-340,1996,5,5,450,5.0,18,3.60,35,17,57.1,0,0,5,0,0.0,3,3,0,0,0.0,player_goalkeeping_big5.csv
50,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-325,1993,33,33,2915,32.4,48,1.48,181,135,74.0,14,7,12,6,18.2,1,1,0,0,0.0,player_goalkeeping_big5.csv
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_big5.csv
51,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-256,2000,31,31,2790,31.0,50,1.61,180,130,73.9,8,6,17,6,19.4,4,3,0,1,0.0,player_goalkeeping_big5.csv
52,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,37-048,1988,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,player_goalkeeping_big5.csv
53,Fran,es ESP,GK,Real Madrid,es La Liga,19-314,2005,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_big5.csv
54,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,32-011,1993,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,player_goalkeeping_big5.csv
55,Joan García,es ESP,GK,Espanyol,es La Liga,24-000,2001,33,33,2970,33.0,42,1.27,166,122,77.1,10,9,14,7,21.2,6,4,2,0,33.3,player_goalkeeping_big5.csv
56,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-122,1992,33,33,2925,32.5,50,1.54,133,81,63.9,9,8,16,6,18.2,5,2,3,0,60.0,player_goalkeeping_big5.csv
57,David de Gea,es ESP,GK,Fiorentina,it Serie A,34-178,1990,31,31,2790,31.0,31,1.00,121,89,75.2,17,5,9,11,35.5,3,1,2,0,66.7,player_goalkeeping_big5.csv
58,Pierluigi Gollini,it ITA,GK,Genoa,it Serie A,30-047,1995,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0,player_goalkeeping_big5.csv
59,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,34-272,1990,13,13,1170,13.0,27,2.08,72,46,66.7,3,4,6,1,7.7,3,3,0,0,0.0,player_goalkeeping_big5.csv
60,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-116,1999,27,27,2405,26.7,47,1.76,127,80,64.6,8,6,13,4,14.8,3,2,1,0,33.3,player_goalkeeping_big5.csv
61,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,28-028,1997,27,27,2430,27.0,30,1.11,91,62,69.2,10,7,10,6,22.2,2,2,0,0,0.0,player_goalkeeping_big5.csv
62,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,38-114,1987,29,29,2610,29.0,40,1.38,104,64,63.5,11,7,11,7,24.1,2,2,0,0,0.0,player_goalkeeping_big5.csv
63,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34-363,1990,28,28,2451,27.2,36,1.32,125,88,72.8,12,10,6,13,46.4,3,2,1,0,33.3,player_goalkeeping_big5.csv
64,Kjetil Haug,no NOR,GK,Toulouse,fr Ligue 1,26-326,1998,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,,player_goalkeeping_big5.csv
65,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28-053,1997,34,34,3060,34.0,47,1.38,139,94,66.9,11,12,11,10,29.4,2,1,1,0,50.0,player_goalkeeping_big5.csv
66,Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24-297,2000,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,player_goalkeeping_big5.csv
67,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,31-333,1993,33,33,2970,33.0,50,1.52,161,112,72.7,10,13,10,6,18.2,6,6,0,0,0.0,player_goalkeeping_big5.csv
68,Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,26-055,1999,9,7,725,8.1,14,1.74,39,25,64.1,2,0,5,1,14.3,1,0,1,0,100.0,player_goalkeeping_big5.csv
