Rk,Player,Nation,Pos,Squad,Comp,AGE,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
23,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24.84109589,2000,31,31,2790,31,30,0.97,109,81,74.3,17,7,7,12,38.7,2,2,0,0,0
24,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23.49041096,2001,31,31,2790,31,32,1.03,114,83,75.4,16,8,7,11,35.5,4,4,0,0,0
25,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,35.10410959,1990,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,
26,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,36.03287671,1989,27,27,2335,25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,4,3,1,42.9
27,Diego Conde,es ESP,GK,Villarreal,es La Liga,26.51506849,1998,21,21,1872,20.8,31,1.49,88,58,68.2,10,6,5,2,9.5,4,3,0,1,0
28,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26.08493151,1999,2,2,180,2,5,2.5,13,9,61.5,1,0,1,0,0,0,0,0,0,
29,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32.98082192,1992,27,27,2430,27,22,0.81,87,66,78.2,18,6,3,11,40.7,3,3,0,0,0
30,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27.10410959,1998,16,16,1440,16,10,0.62,64,56,85.9,7,6,3,9,56.3,1,1,0,0,0
31,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,31.32876712,1994,6,6,540,6,13,2.17,36,23,66.7,1,2,3,0,0,2,1,1,0,50
32,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24.24931507,2001,2,2,180,2,3,1.5,9,5,77.8,0,1,1,1,50,2,1,1,0,50
33,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28.85753425,1996,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,
34,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,31.0739726,1994,18,18,1620,18,38,2.11,93,54,61.3,5,0,13,3,16.7,3,2,1,0,33.3
35,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27.76986301,1997,29,29,2610,29,28,0.97,88,60,73.9,14,11,4,13,44.8,5,5,0,0,0
36,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31.35616438,1993,4,4,360,4,6,1.5,12,6,58.3,0,2,2,0,0,2,1,0,1,0
37,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25.4630137,1999,32,32,2880,32,43,1.34,170,126,76.5,8,9,15,7,21.9,4,3,1,0,25
38,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,33.2739726,1992,27,27,2430,27,42,1.56,125,85,72,5,10,12,8,29.6,8,7,0,1,0
39,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26.76164384,1998,1,0,19,0.2,0,0,0,0,,0,0,0,1,,0,0,0,0,
