Rk,Player,Nation,Pos,Squad,Comp,AGE,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
160,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27.45753425,1997,28,28,2520,28,31,1.11,116,84,76.7,14,9,5,8,28.6,5,4,1,0,20
161,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,22.0630137,2003,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0
162,Razvan Sava,ro ROU,GK,Udinese,it Serie A,22.86849315,2002,12,12,1080,12,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0
163,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,32.92054795,1992,5,5,450,5,12,2.4,24,12,54.2,1,0,4,0,0,1,1,0,0,0
164,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28.9260274,1996,13,13,1170,13,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0
165,Simone Scuffet,it ITA,GK,Napoli,it Serie A,28.9260274,1996,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,
166,Jacopo Seghetti,it ITA,GK,Empoli,it Serie A,20.20821918,2005,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,
167,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,33.18356164,1992,34,34,3060,34,41,1.21,149,108,73.8,18,6,10,13,38.2,2,2,0,0,0
168,Alen Sherri,al ALB,GK,Cagliari,it Serie A,27.38356164,1997,6,6,540,6,9,1.5,25,16,64,1,2,3,1,16.7,0,0,0,0,
169,Rui Silva,pt POR,GK,Betis,es La Liga,31.23561644,1994,15,15,1350,15,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0
170,Marco Silvestri,it ITA,GK,Empoli,it Serie A,34.17260274,1991,5,5,450,5,11,2.2,27,17,59.3,0,1,4,0,0,0,0,0,0,
171,Unai Simón,es ESP,GK,Athletic Club,es La Liga,27.89589041,1997,16,16,1440,16,11,0.69,51,39,78.4,7,7,2,6,37.5,1,0,1,0,100
172,Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,37.11780822,1988,1,0,59,0.7,3,4.58,4,1,25,0,0,0,0,,0,0,0,0,
173,Antonio Sivera,es ESP,GK,Alavés,es La Liga,28.72876712,1996,28,28,2450,27.2,37,1.36,100,64,72,7,9,12,6,21.4,9,9,0,0,0
174,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33.99726027,1991,24,24,2094,23.3,26,1.12,70,45,64.3,11,11,2,8,33.3,2,1,1,0,50
175,Yann Sommer,ch SUI,GK,Inter,it Serie A,36.37808219,1988,31,31,2790,31,30,0.97,108,78,74.1,19,7,5,12,38.7,3,2,1,0,33.3
176,David Soria,es ESP,GK,Getafe,es La Liga,32.08219178,1993,34,34,3060,34,31,0.91,109,77,77.1,10,9,15,9,26.5,7,6,1,0,14.3
177,Juan Soriano,es ESP,GK,Leganés,es La Liga,27.69589041,1997,6,6,540,6,7,1.17,25,19,72,1,2,3,1,16.7,0,0,0,0,
178,Marco Sportiello,it ITA,GK,Milan,it Serie A,32.98356164,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100,0,0,0,0,
179,Filip Stankovic,rs SRB,GK,Venezia,it Serie A,23.18630137,2002,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0,5,4,1,0,20
180,Jason Steele,eng ENG,GK,Brighton,eng Premier League,34.70958904,1990,2,2,180,2,1,0.5,4,3,75,2,0,0,1,50,0,0,0,0,
181,Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,24.37260274,2000,7,7,630,7,12,1.71,31,19,61.3,2,0,5,1,14.3,0,0,0,0,
182,Zion Suzuki,jp JPN,GK,Parma,it Serie A,22.70136986,2002,33,33,2970,33.8,49,1.48,140,93,68.6,6,14,14,6,18.2,5,5,0,0,0
183,Mile Svilar,rs SRB,GK,Roma,it Serie A,25.68493151,1999,34,34,3060,34,32,0.94,136,105,79.4,17,9,8,14,41.2,4,4,0,0,0
184,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,35.04383562,1990,13,13,1170,13,9,0.69,27,18,66.7,12,1,0,7,53.8,0,0,0,0,
185,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,33.0109589,1992,7,7,584,6.5,6,0.92,19,13,73.7,7,0,0,1,14.3,1,1,0,0,0
186,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,35.15616438,1990,3,3,270,3,3,1,13,10,76.9,0,3,0,1,33.3,0,0,0,0,
187,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,34.82191781,1990,23,23,2025,22.5,30,1.33,111,80,73,11,6,6,6,26.1,2,0,2,0,100
188,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,25.96164384,1999,5,5,450,5,5,1,25,20,80,2,2,1,1,20,0,0,0,0,
189,Stefano Turati,it ITA,GK,Monza,it Serie A,23.66027397,2001,30,30,2676,29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50
190,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,36.75068493,1988,1,1,90,1,0,0,0,0,,1,0,0,1,100,0,0,0,0,
191,Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,21.7369863,2003,8,8,720,8,12,1.5,28,16,57.1,4,3,1,2,25,0,0,0,0,
192,Maarten Vandevoordt,be BEL,GK,RB Leipzig,de Bundesliga,23.18356164,2002,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0,0,0,0,0,
193,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,29.41917808,1995,32,32,2879,32,37,1.16,129,89,72.1,8,7,17,9,28.1,5,1,4,0,80
194,Devis Vásquez,co COL,GK,Empoli,it Serie A,26.97808219,1998,28,28,2520,28,40,1.43,115,74,66.1,4,12,12,6,21.4,3,1,1,1,50
195,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,22.70958904,2002,32,32,2880,32,54,1.69,128,76,63.3,11,12,9,6,18.8,7,7,0,0,0
196,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,28.57260274,1996,22,22,1980,22,32,1.45,92,62,65.2,9,2,11,4,18.2,0,0,0,0,
197,Fran Vieites,es ESP,GK,Betis,es La Liga,25.99178082,1999,4,4,360,4,5,1.25,11,6,54.5,1,2,1,0,0,0,0,0,0,
198,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27.81917808,1997,4,4,360,4,9,2.25,18,10,50,2,0,2,0,0,1,0,1,0,100
199,Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,29.48219178,1995,6,6,540,6,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0
200,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,31.86575342,1993,2,1,135,1.5,6,4,10,4,40,0,0,1,0,0,0,0,0,0,
201,Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,26.29041096,1999,25,25,2250,25,61,2.44,140,81,59.3,4,5,16,2,8,4,4,0,0,0
202,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,30.51506849,1994,31,31,2790,31,39,1.26,138,98,73.9,13,8,10,9,29,4,3,1,0,25
203,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29.8109589,1995,32,32,2880,32,56,1.75,144,91,63.2,13,8,11,9,28.1,3,3,0,0,0
1,Lucas Acosta,ar ARG,GK,Sarmiento,,30.14794521,1995,16,16,1440,16,19,1.19,83,66,78.3,2,9,5,4,25,2,1,0,1,0
2,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,,34.69863014,1990,14,14,1260,14,19,1.36,47,29,63.8,5,3,6,5,35.7,2,2,0,0,0
3,Ignacio Arce,ar ARG,GK,Deportivo Riestra,,33.0739726,1992,16,16,1440,16,7,0.44,53,48,90.6,5,9,2,12,75,2,2,0,0,0
4,Gabriel Arias,cl CHI,GK,Racing Club,,37.64109589,1987,12,12,1016,11.3,9,0.8,40,30,77.5,8,1,3,5,41.7,1,0,1,0,100
5,Franco Armani,ar ARG,GK,River Plate,,38.55068493,1986,16,16,1440,16,9,0.56,51,42,82.4,8,7,1,9,56.3,0,0,0,0,
6,Williams Barlasina,ar ARG,GK,Aldosivi,,26.84931507,1998,4,4,360,4,8,2,16,8,50,0,2,2,0,0,0,0,0,0,
7,Enrique Bologna,ar ARG,GK,Defensa y Just,,43.22191781,1982,16,16,1440,16,22,1.37,76,54,72.4,5,4,7,5,31.3,1,1,0,0,0
8,Matías Borgogno,ar ARG,GK,San Martín de San Juan,,26.70410959,1998,16,16,1440,16,18,1.13,61,43,72.1,2,3,11,3,18.8,1,1,0,0,0
9,Leandro Brey,ar ARG,GK,Boca Juniors,,22.61917808,2002,2,2,180,2,1,0.5,4,3,75,0,2,0,1,50,0,0,0,0,
10,Jorge Broun,ar ARG,GK,Rosario Central,,38.94246575,1986,14,14,1260,14,8,0.57,45,38,82.2,9,4,1,7,50,0,0,0,0,
11,Javier Burrai,ec ECU,GK,Talleres,,34.56986301,1990,2,1,135,1.5,1,0.67,4,3,75,1,0,0,1,100,0,0,0,0,
12,Facundo Cambeses,ar ARG,GK,Racing Club,,28.07123288,1997,5,4,421,4.7,7,1.5,28,21,75,1,0,3,1,25,0,0,0,0,
13,Thiago Cardozo,uy URU,GK,Unión,,28.76164384,1996,14,14,1256,14,16,1.15,51,35,72.5,2,5,7,3,21.4,2,2,0,0,0
14,Jorge Carranza,ar ARG,GK,Aldosivi,,43.99452055,1981,12,12,1080,12,20,1.67,55,35,69.1,4,1,7,2,16.7,3,3,0,0,0
15,Ezequiel Centurión,ar ARG,GK,Ind. Rivadavia,,27.95890411,1997,16,16,1440,16,17,1.06,65,48,78.5,7,6,3,6,37.5,4,3,1,0,25
16,Juan Cozzani,ar ARG,GK,Platense,,26.56986301,1998,16,16,1440,16,11,0.69,57,48,84.2,6,5,5,6,37.5,2,2,0,0,0
17,Tomás Durso,ar ARG,GK,Atlé Tucumán,,26.18630137,1999,11,11,990,11,17,1.55,46,29,65.2,2,1,8,2,18.2,3,1,1,1,50
18,Juan Espínola,py PAR,GK,Belgrano,,30.50410959,1994,11,11,990,11,18,1.64,41,23,58.5,2,5,4,3,27.3,1,1,0,0,0
19,Hernán Galíndez,ec ECU,GK,Huracán,,38.09863014,1987,16,16,1440,16,12,0.75,44,32,77.3,7,6,3,8,50,3,2,1,0,33.3
20,Orlando Gil,py PAR,GK,San Lorenzo,,24.89863014,2000,16,16,1440,16,10,0.62,50,41,80,7,6,3,9,56.3,0,0,0,0,
21,Juan González,uy URU,GK,Atlé Tucumán,,31.81917808,1993,5,5,450,5,4,0.8,18,14,83.3,3,0,2,2,40,1,1,0,0,0
22,Guido Herrera,ar ARG,GK,Talleres,,33.17808219,1992,15,15,1305,14.5,14,0.97,44,31,70.5,1,7,7,5,33.3,1,1,0,0,0
23,Marcos Ignacio Ledesma,ar ARG,GK,Barracas Central,,28.63561644,1996,16,16,1440,16,18,1.13,65,49,72.3,7,5,4,5,31.3,0,0,0,0,
24,Luis Ingolotti,ar ARG,GK,Gimnasia–LP,,25.30410959,2000,3,3,270,3,7,2.33,14,7,64.3,0,0,3,0,0,2,2,0,0,0
25,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,,29.94794521,1995,13,13,1170,13,11,0.85,48,35,79.2,4,4,5,6,46.2,3,1,2,0,66.7
26,Nahuel Losada,ar ARG,GK,Lanús,,32.04931507,1993,15,15,1350,15,10,0.67,53,42,83,4,7,4,7,46.7,3,1,1,1,50
27,Matías Mansilla,ar ARG,GK,Estudiantes–LP,,29.21643836,1996,16,16,1440,16,19,1.19,52,32,65.4,5,6,5,5,31.3,2,1,1,0,50
28,Agustín Marchesín,ar ARG,GK,Boca Juniors,,37.1369863,1988,14,14,1260,14,10,0.71,44,34,77.3,10,1,3,7,50,0,0,0,0,
29,Tomás Marchiori,ar ARG,GK,Vélez Sarsfield,,29.8739726,1995,15,15,1350,15,18,1.2,49,32,63.3,4,2,9,5,33.3,1,0,0,1,
30,Diego Matías Rodríguez,ar ARG,GK,Arg Juniors,,35.86027397,1989,16,16,1440,16,9,0.56,44,36,79.5,9,6,1,9,56.3,0,0,0,0,
31,Lautaro Morales,ar ARG,GK,Lanús,,25.38356164,1999,1,1,90,1,1,1,2,1,50,0,1,0,0,0,0,0,0,0,
32,Keylor Navas,cr CRC,GK,Newell's OB,,38.38630137,1986,14,14,1260,14,11,0.79,64,54,82.8,5,4,5,6,42.9,1,0,0,1,
33,Franco Petroli,ar ARG,GK,Godoy Cruz,,26.89863014,1998,16,16,1440,16,18,1.13,63,45,71.4,3,8,5,7,43.8,1,0,1,0,100
34,Josue Reinatti,ar ARG,GK,Newell's OB,,21.92328767,2003,2,2,180,2,4,2,14,10,78.6,0,0,2,0,0,1,1,0,0,0
35,Rodrigo Rey,ar ARG,GK,Independiente,,34.15890411,1991,16,16,1440,16,12,0.75,45,36,80,8,5,3,7,43.8,3,3,0,0,0
36,Randall Rodríguez,uy URU,GK,Vélez Sarsfield,,21.43013699,2003,1,1,90,1,4,4,8,4,62.5,0,0,1,0,0,1,1,0,0,0
37,Manuel Roffo,ar ARG,GK,Instituto,,25.08493151,2000,16,16,1440,16,20,1.25,59,39,69.5,5,3,8,5,31.3,2,2,0,0,0
38,Facundo Sanguinetti,ar ARG,GK,Banfield,,24.17808219,2001,16,16,1440,16,19,1.19,68,47,76.5,3,5,8,4,25,5,3,2,0,40
39,Matías Tagliamonte,ar ARG,GK,Unión,,27.20547945,1998,2,2,180,2,1,0.5,8,6,87.5,1,0,1,1,50,1,0,1,0,100
40,Manuel Vicentini,ar ARG,GK,Belgrano,,35.04383562,1990,5,5,450,5,5,1,18,12,72.2,1,3,1,2,40,1,0,1,0,100
41,Axel Werner,ar ARG,GK,Rosario Central,,29.18082192,1996,2,2,180,2,0,0,3,3,100,1,1,0,2,100,0,0,0,0,
42,Felipe Zenobio,ar ARG,GK,Tigre,,24.95342466,2000,16,16,1440,16,12,0.75,51,39,80.4,8,3,5,7,43.8,3,2,0,1,0
43,Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,,23.89863014,2001,2,2,180,2,3,1.5,8,5,62.5,0,0,2,0,0,0,0,0,0,
1,Anthoni,br BRA,GK,Internacional,,23.27945205,2002,7,6,585,6.5,8,1.23,21,14,66.7,2,2,2,2,33.3,1,1,0,0,0
2,Lucas Arcanjo,br BRA,GK,Vitória,,26.73972603,1998,6,6,540,6,8,1.33,42,34,81,1,3,2,0,0,0,0,0,0,
3,Gabriel Brazão,br BRA,GK,Santos,,24.58082192,2000,7,7,630,7,10,1.43,28,18,64.3,1,1,5,1,14.3,0,0,0,0,
4,Cássio,br BRA,GK,Cruzeiro,,37.91232877,1987,7,7,630,7,7,1,34,26,79.4,4,1,2,2,28.6,1,0,1,0,100
5,Matheus Donelli,br BRA,GK,Corinthians,,22.96712329,2002,5,5,450,5,6,1.2,19,13,73.7,2,1,2,1,20,1,1,0,0,0
6,Éverson,br BRA,GK,Atlético Mineiro,,34.78630137,1990,6,6,540,6,8,1.33,26,18,69.2,1,3,2,2,33.3,0,0,0,0,
7,Fábio,br BRA,GK,Fluminense,,44.59452055,1980,7,7,630,7,7,1,26,19,73.1,4,1,2,2,28.6,0,0,0,0,
8,Marcos Felipe,br BRA,GK,Bahia,,29.06027397,1996,4,3,342,3.8,3,0.79,13,10,76.9,3,0,0,3,100,0,0,0,0,
9,Bruno Ferreira,br BRA,GK,Ceará,,31.1369863,1994,4,4,333,3.7,4,1.08,13,9,69.2,2,1,1,1,25,0,0,0,0,
10,Caíque França,br BRA,GK,Sport Recife,,29.92054795,1995,7,7,630,7,10,1.43,33,23,75.8,0,2,5,2,28.6,3,2,0,1,0
11,Gabriel,br BRA,GK,Vitória,,32.60273973,1992,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,
12,Gustavo,br BRA,GK,Juventude,,32.15342466,1993,4,4,360,4,12,3,23,10,52.2,1,1,2,0,0,2,1,1,0,50
13,Léo Jardim,br BRA,GK,Vasco da Gama,,30.1260274,1995,7,7,630,7,9,1.29,22,15,59.1,2,1,4,1,14.3,0,0,0,0,
14,John,br BRA,GK,Botafogo (RJ),,29.22191781,1996,7,7,630,7,5,0.71,22,17,77.3,2,2,3,3,42.9,0,0,0,0,
15,Lucão,br BRA,GK,RB Bragantino,,24.18630137,2001,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,
16,Marcão,br BRA,GK,Juventude,,33.16438356,1992,2,2,180,2,2,1,11,9,81.8,1,0,1,1,50,0,0,0,0,
17,Fernando Miguel,br BRA,GK,Ceará,,40.25205479,1985,4,3,297,3.3,3,0.91,14,11,85.7,1,1,1,1,33.3,1,1,0,0,0
18,Alex Muralha,br BRA,GK,Mirassol,,35.48219178,1989,6,6,540,6,9,1.5,25,16,68,1,4,1,0,0,1,1,0,0,0
19,Rafael Pires,br BRA,GK,São Paulo,,35.86575342,1989,7,7,630,7,5,0.71,23,18,82.6,1,6,0,3,42.9,1,1,0,0,0
20,João Ricardo Riedi,br BRA,GK,Fortaleza,,36.66027397,1988,7,7,630,7,5,0.71,30,24,83.3,1,4,2,4,57.1,1,0,1,0,100
21,Sergio Rochet,uy URU,GK,Internacional,,32.11780822,1993,1,1,45,0.5,,,2,2,,,1,,,,,,,,
22,Ronaldo,br BRA,GK,Bahia,,28.70136986,1996,4,4,288,3.2,4,1.25,14,9,71.4,0,3,1,0,0,1,0,1,0,100
23,Agustín Rossi,ar ARG,GK,Flamengo,,29.70410959,1995,7,7,630,7,4,0.57,21,16,81,4,2,1,4,57.1,1,0,1,0,100
24,Cleiton Schwengber,br BRA,GK,RB Bragantino,,27.70958904,1997,5,5,450,5,5,1,21,16,76.2,3,1,1,2,40,0,0,0,0,
25,Hugo Souza,br BRA,GK,Corinthians,,26.25753425,1999,2,2,180,2,6,3,10,4,50,1,0,1,0,0,1,1,0,0,0
26,Tiago Volpi,br BRA,GK,Grêmio,,34.37534247,1990,7,7,630,7,11,1.57,32,21,75,2,2,3,1,14.3,3,3,0,0,0
27,Wéverton,br BRA,GK,Palmeiras,,37.39178082,1987,7,7,630,7,3,0.43,23,19,87,5,1,1,4,57.1,1,0,1,0,100
1,Carlos Acevedo,mx MEX,GK,Santos,,29.04383562,1996,33,33,2970,33,65,1.97,187,125,66.3,4,5,24,3,9.1,3,2,1,0,33.3
2,Gil Alcalá,mx MEX,GK,UNAM,,32.76712329,1992,4,4,360,4,2,0.5,7,5,71.4,2,1,1,3,75,0,0,0,0,
3,Guillermo Allison,mx MEX,GK,Querétaro,,34.60821918,1990,25,25,2250,25,42,1.68,131,87,71.8,6,4,15,5,20,7,5,2,0,28.6
4,Esteban Andrada,ar ARG,GK,Monterrey,,34.27123288,1991,24,24,2160,24,29,1.21,98,69,74.5,11,7,6,8,33.3,4,4,0,0,0
5,Luis Ángel Malagón,mx MEX,GK,América,,28.17534247,1997,29,29,2565,28.5,27,0.95,97,70,74.2,17,5,7,10,34.5,2,2,0,0,0
6,José Antonio Rodríguez,mx MEX,GK,Tijuana,,32.83561644,1992,21,21,1880,20.9,36,1.72,113,79,70.8,10,4,7,3,14.3,3,3,0,0,0
7,Alfonso Blanco Antúnez,mx MEX,GK,León,,37.76164384,1987,26,26,2340,26,33,1.27,129,98,76.7,9,9,8,7,26.9,4,3,0,1,0
8,Luis Cárdenas,mx MEX,GK,Monterrey,,31.63561644,1993,10,10,900,10,13,1.3,41,28,70.7,6,1,3,1,10,1,1,0,0,0
9,José Corona,mx MEX,GK,Tijuana,,44.27123288,1981,11,10,910,10.1,18,1.78,53,34,69.8,3,2,5,1,10,3,2,1,0,33.3
10,Rodolfo Cota,mx MEX,GK,América,,37.83835616,1987,6,5,495,5.5,4,0.73,17,13,76.5,1,2,2,3,60,0,0,0,0,
11,Arturo Delgado,mx MEX,GK,FC Juárez,,23.20821918,2002,2,2,180,2,1,0.5,11,10,90.9,1,1,0,1,50,0,0,0,0,
12,Benny Díaz,mx MEX,GK,FC Juárez,,26.38630137,1998,11,11,990,11,26,2.36,63,37,66.7,4,0,7,2,18.2,5,5,0,0,0
13,José Eulogio,mx MEX,GK,Pachuca,,21.22739726,2004,2,2,180,2,4,2,8,4,50,0,0,2,0,0,0,0,0,0,
14,Carlos Felipe Rodríguez,mx MEX,GK,UANL,,36.08767123,1989,3,3,270,3,1,0.33,10,9,90,2,1,0,2,66.7,0,0,0,0,
15,Eduardo García,mx MEX,GK,Guadalajara,,22.81643836,2002,2,2,180,2,3,1.5,9,6,66.7,1,0,1,1,50,0,0,0,0,
16,Hugo González Durán,mx MEX,GK,Mazatlán,,34.75890411,1990,34,34,3015,33.5,45,1.34,148,104,73.6,6,13,15,9,26.5,8,6,0,2,0
17,Andrés Gudiño,mx MEX,GK,Cruz Azul,,28.26849315,1997,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
18,Ricardo Gutiérrez,mx MEX,GK,Mazatlán,,27.88219178,1997,1,0,45,0.5,0,0,5,5,100,0,0,0,0,,0,0,0,0,
19,Nahuel Guzmán,ar ARG,GK,UANL,,39.23013699,1986,28,28,2519,28,26,0.93,104,78,78.8,16,5,7,9,32.1,5,4,0,1,0
20,Jorge Hernández,mx MEX,GK,Querétaro,,26.40821918,1998,9,9,810,9,13,1.44,41,28,70.7,3,1,5,2,22.2,2,1,0,1,0
21,Héctor Holguín,mx MEX,GK,Santos,,24.03013699,2001,1,1,90,1,1,1,5,4,100,0,0,1,0,0,1,1,0,0,0
22,Oscar Jiménez,mx MEX,GK,León,,36.56164384,1988,8,8,720,8,11,1.37,41,30,73.2,3,3,2,1,12.5,0,0,0,0,
23,Miguel Jiménez Ponce,mx MEX,GK,Puebla,,35.14246575,1990,24,24,2160,24,40,1.67,117,75,68.4,5,3,16,4,16.7,6,3,3,0,50
24,Julio José González,mx MEX,GK,UNAM,,34.03287671,1991,13,13,1170,13,11,0.85,44,34,79.5,7,3,3,6,46.2,2,2,0,0,0
25,Julio José González,mx MEX,GK,Puebla,,34.03287671,1991,6,6,540,6,8,1.33,30,22,76.7,0,1,5,1,16.7,1,1,0,0,0
26,Sebastián Jurado,mx MEX,GK,FC Juárez,,27.6,1997,21,21,1890,21,30,1.43,87,58,67.8,6,7,8,5,23.8,2,2,0,0,0
27,Pablo Lara,mx MEX,GK,UNAM,,19.84931507,2005,7,7,630,7,9,1.29,32,24,71.9,3,2,2,2,28.6,0,0,0,0,
28,Cesar López,mx MEX,GK,Atlético,,24.90136986,2000,5,4,436,4.8,7,1.44,22,15,68.2,3,0,1,2,50,0,0,0,0,
29,Pau López,es ESP,GK,Toluca,,30.39178082,1994,10,10,900,10,13,1.3,37,25,64.9,7,2,1,4,40,0,0,0,0,
30,Luis Manuel García,mx MEX,GK,Toluca,,32.34246575,1992,5,5,450,5,6,1.2,15,9,60,3,1,1,1,20,0,0,0,0,
31,Kevin Mier,co COL,GK,Cruz Azul,,24.96438356,2000,33,33,2970,33,27,0.82,88,61,72.7,21,9,3,14,42.4,4,3,1,0,25
32,Carlos Moreno,mx MEX,GK,Pachuca,,27.2630137,1998,32,32,2880,32,48,1.5,142,93,69,11,8,13,6,18.8,5,4,1,0,20
33,Miguel Ortega,mx MEX,GK,Tijuana,,30.06027397,1995,3,3,270,3,6,2,13,7,61.5,1,0,2,0,0,1,1,0,0,0
34,Alex Padilla,es ESP,GK,UNAM,,21.6739726,2003,10,10,900,10,17,1.7,39,22,59,3,1,6,2,20,1,1,0,0,0
35,José Rangel Aguilar,mx MEX,GK,Guadalajara,,25.1890411,2000,32,32,2879,32,32,1,121,87,74.4,11,10,11,11,34.4,3,1,2,0,66.7
36,Jesús Rodríguez,mx MEX,GK,Puebla,,31.95616438,1993,4,4,360,4,8,2,20,12,60,1,1,2,1,25,0,0,0,0,
37,Andrés Sánchez,mx MEX,GK,Atlético,,27.58630137,1997,30,30,2624,29.2,45,1.54,132,86,66.7,12,3,15,3,10,2,1,1,0,50
38,José Santiago Hernández,mx MEX,GK,Atlas,,28.0109589,1997,3,3,270,3,3,1,6,3,66.7,1,2,0,1,33.3,1,1,0,0,0
39,Fernando Tapia,mx MEX,GK,UANL,,23.88219178,2001,3,3,270,3,2,0.67,17,15,88.2,2,1,0,1,33.3,0,0,0,0,
40,Ezequiel Unsain,ar ARG,GK,Necaxa,,30.15616438,1995,34,34,3060,34,55,1.62,165,110,69.7,13,7,14,9,26.5,5,5,0,0,0
41,Camilo Vargas,co COL,GK,Atlas,,36.15616438,1989,31,31,2790,31,52,1.68,151,99,67.5,8,11,12,7,22.6,4,3,1,0,25
42,Tiago Volpi,br BRA,GK,Toluca,,34.37534247,1990,19,19,1710,19,19,1,87,68,79.3,11,6,2,6,31.6,1,1,0,0,0
1,Andrew,br BRA,GK,Gil Vicente FC,,23.84383562,2001,32,32,2880,32,45,1.41,121,77,67.8,8,8,16,7,21.9,7,6,0,1,0
2,Gabriel Batista,br BRA,GK,Santa Clara,,26.92054795,1998,32,32,2880,32,30,0.94,108,77,75,15,6,11,11,34.4,5,3,1,1,25
3,Ricardo Batista,pt POR,GK,Casa Pia,,38.45753425,1986,1,1,90,1,1,1,2,1,100,0,0,1,0,0,1,1,0,0,0
4,Simão Bertelli,br BRA,GK,AVS Futebol,,31.92328767,1993,11,11,990,11,15,1.36,57,41,77.2,1,6,4,2,18.2,3,2,1,0,33.3
5,Bruno Brigido,br BRA,GK,Estrela,,34.15616438,1991,18,18,1575,17.5,30,1.71,83,54,66.3,4,4,10,1,5.6,2,2,0,0,0
6,Lazar Carević,me MNE,GK,Famalicão,,26.1369863,1999,18,18,1620,18,21,1.17,73,52,75.3,7,4,7,7,38.9,4,3,1,0,25
7,César,br BRA,GK,Boavista,,33.26849315,1992,16,16,1440,16,30,1.87,79,51,65.8,1,4,11,2,12.5,3,3,0,0,0
8,Kevin Chamorro,cr CRC,GK,Estoril,,25.0739726,2000,3,3,270,3,3,1,9,6,77.8,1,1,1,1,33.3,1,1,0,0,0
9,Diogo Costa,pt POR,GK,Porto,,25.62465753,1999,30,30,2700,30,26,0.87,76,50,71.1,19,5,6,15,50,5,4,1,0,20
10,João Paulo Santos Costa,pt POR,GK,Estrela,,29.25205479,1996,11,11,990,11,10,0.91,40,29,80,3,3,5,4,36.4,3,2,1,0,33.3
11,Rui Encarnação,pt POR,GK,Nacional,,27.08219178,1998,1,0,45,0.5,1,2,3,2,100,0,0,0,0,,1,1,0,0,0
12,Daniel Figueira,pt POR,GK,Estoril,,26.79178082,1998,1,1,90,1,4,4,7,3,57.1,0,0,1,0,0,1,1,0,0,0
13,Lucas França,br BRA,GK,Nacional,,29.29041096,1996,32,32,2835,31.5,43,1.37,142,99,74.6,9,6,17,8,25,9,7,0,2,0
14,João Gonçalves,pt POR,GK,Boavista,,24.49589041,2000,4,4,360,4,2,0.5,8,6,75,1,1,2,2,50,0,0,0,0,
15,Marko Gudžulić,rs SRB,GK,Estrela,,22.83287671,2002,2,2,180,2,3,1.5,9,6,66.7,0,1,1,1,50,1,0,1,0,100
16,Lukáš Horníček,cz CZE,GK,Braga,,22.8109589,2002,15,15,1350,15,8,0.53,53,45,86.8,10,4,1,8,53.3,1,1,0,0,0
17,Franco Israel,uy URU,GK,Sporting CP,,25.03561644,2000,11,11,990,11,9,0.82,25,16,64,9,2,0,7,63.6,0,0,0,0,
18,Jhonatan,br BRA,GK,Rio Ave,,33.99178082,1991,8,8,720,8,13,1.62,43,30,69.8,2,2,4,2,25,0,0,0,0,
