Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
963,Emiliano Viveros,ar ARG,"FW,MF",Arg Juniors,22-217,2002,8,422,53,29.3,4.7,5,68,0,3,27,7,2.00,11,5,+6,+1.28,+0.48,5.1,4.3,+0.8,+0.17,-0.45,Matches
964,Andrés Vombergar,si SVN,FW,San Lorenzo,30-166,1994,16,1204,75,83.6,13.4,13,84,8,3,38,0,1.69,14,9,+5,+0.37,+0.76,14.7,10.2,+4.5,+0.34,+1.20,Matches
965,Franco Watson,ar ARG,MF,Huracán,25-124,2000,5,197,39,13.7,2.2,2,68,0,3,20,10,1.20,1,2,-1,-0.46,-1.04,2.1,2.8,-0.7,-0.32,-0.63,Matches
966,Nicólas Watson,ar ARG,MF,San Martín de San Juan,26-348,1998,12,673,56,46.7,7.5,7,79,4,5,25,1,0.75,2,10,-8,-1.07,-0.48,5.0,9.8,-4.8,-0.64,-0.30,Matches
967,Axel Werner,ar ARG,GK,Rosario Central,29-066,1996,2,180,90,12.5,2.0,2,90,2,0,,12,2.00,3,0,+3,+1.50,+0.71,3.9,1.7,+2.2,+1.09,+0.76,Matches
968,Bastián Yañez,cl CHI,"MF,FW",Godoy Cruz,23-318,2001,13,701,54,48.7,7.8,8,76,2,5,19,2,1.23,4,9,-5,-0.64,-0.03,4.2,9.1,-4.9,-0.63,-0.36,Matches
969,Daniel Zabala,ar ARG,DF,Huracán,22-108,2003,2,101,51,7.0,1.1,2,51,0,0,,8,0.50,1,1,0,0.00,-0.47,0.8,1.1,-0.3,-0.26,-0.52,Matches
970,David Zalazar,ar ARG,"MF,FW",Cen. Córdoba–SdE,22-361,2002,5,133,27,9.2,1.5,1,45,0,4,22,2,0.20,1,4,-3,-2.03,-2.17,1.5,1.3,+0.2,+0.16,-0.02,Matches
971,Maximiliano Zalazar,ar ARG,"FW,MF",Tigre,24-058,2001,4,133,33,9.2,1.5,1,56,0,3,26,3,1.50,1,1,0,0.00,-0.41,2.3,1.7,+0.7,+0.45,+0.20,Matches
972,Nicolás Zalazar,ar ARG,DF,Instituto,28-096,1997,8,693,87,48.1,7.7,8,87,7,0,,7,1.38,10,13,-3,-0.39,-0.27,9.6,9.6,0.0,0.00,+0.24,Matches
973,Franco Zapiola,ar ARG,"FW,MF",Platense,24-075,2001,14,729,52,50.6,8.1,9,70,1,5,19,2,1.21,3,4,-1,-0.12,-0.50,8.8,7.5,+1.3,+0.17,+0.45,Matches
974,Federico Zaracho,ar ARG,MF,Racing Club,27-056,1998,10,424,42,29.4,4.7,4,69,0,6,25,3,1.50,9,5,+4,+0.85,+0.32,7.2,4.2,+3.0,+0.63,+0.62,Matches
975,Exequiel Zeballos,ar ARG,"FW,MF",Boca Juniors,23-011,2002,15,578,39,40.1,6.4,6,65,0,9,21,1,2.00,6,3,+3,+0.47,-0.58,6.4,5.1,+1.2,+0.19,-0.17,Matches
