Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
29,Alek Álvarez,mx MEX,MF,Necaxa,22-033,2003,3.6,0,8,2,25.0,2.24,0.56,0.00,0.00,,,0,0,,,,,,Matches
30,Antonio Álvarez,mx MEX,"FW,MF",América,21-130,2003,1.3,1,5,2,40.0,3.98,1.59,0.20,0.50,25.5,0,0,0,1.0,1.0,0.19,0.0,0.0,Matches
31,Daniel Álvarez,mx MEX,"MF,FW",Puebla,30-287,1994,5.9,0,12,4,33.3,2.05,0.68,0.00,0.00,21.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",Tijuana,22-320,2002,24.9,4,59,26,44.1,2.37,1.05,0.07,0.15,21.0,8,0,0,3.0,3.0,0.05,+1.0,+1.0,Matches
33,Gael Álvarez,mx MEX,FW,Pachuca,19-057,2006,2.5,0,4,0,0.0,1.59,0.00,0.00,,19.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
34,Jaime Alvarez,mx MEX,"FW,MF",FC Juárez,22-074,2003,0.5,0,2,0,0.0,4.39,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
35,Jaime Alvarez,mx MEX,"FW,MF",Tijuana,22-074,2003,3.8,1,7,4,57.1,1.86,1.06,0.14,0.25,15.7,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
36,Kevin Álvarez,mx MEX,DF,América,26-110,1999,15.2,0,11,3,27.3,0.72,0.20,0.00,0.00,21.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
37,Luis Amarilla,py PAR,FW,Mazatlán,29-253,1995,15.5,3,31,8,25.8,2.00,0.52,0.06,0.25,20.8,0,1,2,5.1,3.5,0.11,-2.1,-1.5,Matches
38,Frankie Amaya,us USA,MF,Toluca,24-221,2000,4.0,0,7,2,28.6,1.75,0.50,0.00,0.00,27.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
39,Fidel Ambríz,mx MEX,MF,Monterrey,22-045,2003,13.3,1,11,4,36.4,0.83,0.30,0.09,0.25,19.5,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
40,Fidel Ambríz,mx MEX,MF,León,22-045,2003,4.7,0,5,1,20.0,1.07,0.21,0.00,0.00,19.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
41,Bruno Amione,ar ARG,DF,Santos,23-122,2002,16.9,0,7,3,42.9,0.41,0.18,0.00,0.00,12.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
