Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Isaac Babadi,nl NED,MF,PSV Eindhoven,20-029,2005,8,1,175,1.9,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,14,32,11,0.51,0.00,0.51,0.51,0.51,0.36,0.18,0.54,0.36,0.54,Matches
23,Leandro Bacuna,cw CUW,"DF,MF",Groningen,33-257,1991,28,22,2086,23.2,4,3,7,1,3,4,7,0,4.7,1.5,2.6,4.1,41,87,97,0.17,0.13,0.30,0.04,0.17,0.20,0.11,0.31,0.07,0.18,Matches
24,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22-335,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,20-056,2005,3,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,1,3,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Saïd Bakari,km COM,DF,Sparta R'dam,30-225,1994,23,21,1874,20.8,1,0,1,1,0,0,3,0,0.6,0.6,0.4,1.0,40,99,62,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches
27,Johan Bakayoko,be BEL,FW,PSV Eindhoven,22-015,2003,28,17,1530,17.0,9,1,10,9,0,0,1,0,5.3,5.3,3.9,9.2,125,61,265,0.53,0.06,0.59,0.53,0.59,0.31,0.23,0.54,0.31,0.54,Matches
28,Nordin Bakker,nl NED,GK,Almere City,27-186,1997,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Max Balard,au AUS,MF,NAC Breda,24-166,2000,30,30,2667,29.6,1,1,2,1,0,0,6,0,0.3,0.3,0.9,1.2,26,116,16,0.03,0.03,0.07,0.03,0.07,0.01,0.03,0.04,0.01,0.04,Matches
30,Alex Balboa,gq EQG,MF,Almere City,24-060,2001,10,4,405,4.5,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.5,3,16,3,0.22,0.00,0.22,0.22,0.22,0.07,0.03,0.10,0.07,0.10,Matches
31,Théo Barbet,fr FRA,DF,Almere City,24-060,2001,11,9,795,8.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,24,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
32,Vasilios Barkas,gr GRE,GK,Utrecht,30-340,1994,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
33,Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,28-221,1996,23,13,1294,14.4,0,2,2,0,0,0,0,0,0.4,0.4,2.4,2.8,10,51,36,0.00,0.14,0.14,0.00,0.14,0.03,0.17,0.20,0.03,0.20,Matches
34,Riechedly Bazoer,nl NED,MF,AZ Alkmaar,28-205,1996,1,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Guus Beaumont,nl NED,MF,Almere City,22-360,2002,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Thomas Beelen,nl NED,DF,Feyenoord,23-328,2001,25,18,1698,18.9,1,1,2,1,0,0,1,0,0.8,0.8,0.2,1.0,27,131,8,0.05,0.05,0.11,0.05,0.11,0.04,0.01,0.05,0.04,0.05,Matches
37,Raffael Behounek,at AUT,DF,Willem II,28-019,1997,30,30,2687,29.9,1,1,2,1,0,0,5,1,0.9,0.9,0.5,1.4,12,121,7,0.03,0.03,0.07,0.03,0.07,0.03,0.02,0.05,0.03,0.05,Matches
38,Kristijan Belic,rs SRB,MF,AZ Alkmaar,24-041,2001,15,6,585,6.5,1,0,1,1,0,0,4,0,0.4,0.4,0.9,1.3,10,46,15,0.15,0.00,0.15,0.15,0.15,0.06,0.13,0.20,0.06,0.20,Matches
39,Mimeirhel Benita,nl NED,DF,Heracles Almelo,21-169,2003,26,19,1770,19.7,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,22,64,47,0.00,0.05,0.05,0.00,0.05,0.01,0.03,0.05,0.01,0.05,Matches
40,Walter Benítez,ar ARG,GK,PSV Eindhoven,32-106,1993,31,31,2745,30.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
41,Mitchell van Bergen,nl NED,FW,Sparta R'dam,25-251,1999,11,11,860,9.6,2,2,4,2,0,0,0,0,2.0,2.0,1.6,3.6,51,11,101,0.21,0.21,0.42,0.21,0.42,0.21,0.16,0.38,0.21,0.38,Matches
42,Mitchell van Bergen,nl NED,FW,Twente,25-251,1999,15,9,798,8.9,0,0,0,0,0,0,0,0,1.1,1.1,0.9,2.0,59,18,98,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.22,0.12,0.22,Matches
43,Thom van Bergen,nl NED,FW,Groningen,21-119,2004,31,26,2220,24.7,4,1,5,4,0,0,3,0,7.7,7.7,2.3,10.0,25,31,134,0.16,0.04,0.20,0.16,0.20,0.31,0.09,0.41,0.31,0.41,Matches
44,Steven Berghuis,nl NED,"FW,MF",Ajax,33-137,1991,23,14,1237,13.7,2,4,6,1,1,2,1,0,3.5,1.9,4.8,6.7,35,84,102,0.15,0.29,0.44,0.07,0.36,0.26,0.35,0.60,0.14,0.48,Matches
