Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
734,Pablo Solari,ar ARG,MF,River Plate,24-044,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
735,Santiago Solari,ar ARG,"MF,FW",Racing Club,27-106,1998,6.5,18,2.79,16,0,1,0,1,0,3,0.46,2,0,1,0,0,0,Matches
736,Alan Sosa,ar ARG,"FW,MF",Gimnasia–LP,22-000,2003,7.5,13,1.75,9,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
737,Diego Sosa,ar ARG,DF,Tigre,27-281,1997,2.6,3,1.15,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
738,Ismael Sosa,ar ARG,"FW,MF",Arg Juniors,38-107,1987,2.5,12,4.84,10,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
739,José Sosa,ar ARG,"MF,FW",Estudiantes–LP,39-320,1985,5.7,21,3.71,17,4,0,0,0,0,3,0.53,3,0,0,0,0,0,Matches
740,Luca Sosa,ar ARG,DF,Newell's OB,30-328,1994,2.7,3,1.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
741,Santiago Sosa,ar ARG,"DF,MF",Racing Club,26-002,1999,10.0,16,1.60,12,1,0,3,0,0,2,0.20,2,0,0,0,0,0,Matches
742,Santiago Sosa,ar ARG,MF,Defensa y Just,20-095,2005,0.5,1,1.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
743,David Sotelo,ar ARG,MF,Newell's OB,21-279,2003,5.0,13,2.59,10,1,0,0,2,0,2,0.40,1,1,0,0,0,0,Matches
