Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
508,Mees de Wit,nl NED,"DF,FW",AZ Alkmaar,27-018,1998,5.2,421,14,101,214,110,14,421,9,5,55.6,3,33.3,233,1442,824,17,12,2,6,5,272,24,Matches
509,Ricky van Wolfswinkel,nl NED,FW,Twente,36-098,1989,15.1,513,39,89,228,204,57,512,12,3,25.0,9,75.0,198,971,395,15,7,6,26,13,312,71,Matches
510,Luuk Wouters,nl NED,DF,RKC Waalwijk,25-331,1999,9.0,568,57,268,222,81,1,568,10,6,60.0,4,40.0,205,853,439,7,6,0,5,1,254,13,Matches
511,Redouan El Yaakoubi,nl NED,DF,RKC Waalwijk,29-100,1996,4.5,290,43,145,135,10,2,290,4,2,50.0,2,50.0,156,902,570,4,2,1,1,0,181,2,Matches
512,Marvin Young,nl NED,DF,Sparta R'dam,19-215,2005,21.1,1577,136,725,804,52,7,1577,6,0,0.0,6,100.0,895,4876,2587,15,9,1,10,4,1037,10,Matches
513,Vasilios Zagaritis,gr GRE,DF,Almere City,24-001,2001,30.9,1871,122,583,773,551,33,1871,106,52,49.1,47,44.3,876,5700,3087,84,56,9,57,34,872,127,Matches
514,Jan Žambůrek,cz CZE,MF,Heracles Almelo,24-081,2001,9.5,478,23,120,269,96,0,478,14,9,64.3,3,21.4,215,1040,398,8,6,0,14,8,271,13,Matches
515,Oskar Zawada,pl POL,FW,RKC Waalwijk,29-093,1996,20.7,702,35,91,385,232,102,702,18,6,33.3,12,66.7,334,1173,283,7,7,7,52,28,497,69,Matches
516,Gjivai Zechiël,nl NED,MF,Sparta R'dam,20-338,2004,8.5,448,32,120,261,77,9,448,15,8,53.3,5,33.3,231,1246,678,16,13,2,10,5,249,14,Matches
517,Gjivai Zechiël,nl NED,MF,Feyenoord,20-338,2004,2.9,185,1,26,96,64,12,185,7,3,42.9,4,57.1,124,501,187,2,4,1,3,1,138,15,Matches
518,Lequincio Zeefuik,nl NED,"FW,DF",AZ Alkmaar,20-160,2004,0.4,18,0,2,7,10,5,18,1,0,0.0,1,100.0,7,24,8,0,0,0,3,0,12,2,Matches
519,Ramiz Zerrouki,dz ALG,MF,Feyenoord,26-344,1998,12.0,878,18,151,532,200,15,878,7,4,57.1,2,28.6,466,1925,1001,11,13,1,13,6,581,17,Matches
520,Jeroen Zoet,nl NED,GK,AZ Alkmaar,34-119,1991,6.0,233,206,232,1,0,0,233,0,0,,0,,126,614,361,0,0,0,0,0,117,0,Matches
521,Rúnar Þór Sigurgeirsson,is ISL,"DF,FW",Willem II,25-128,1999,21.4,1202,91,478,431,308,25,1202,34,11,32.4,22,64.7,532,2833,1647,42,33,7,27,8,613,90,Matches
522,Nökkvi Þórisson,is ISL,"FW,MF",Sparta R'dam,25-265,1999,1.4,67,4,10,26,32,11,67,4,2,50.0,2,50.0,34,241,152,7,4,4,9,1,43,10,Matches
523,Shiloh ’t Zand,nl NED,"FW,MF",Heracles Almelo,21-356,2003,11.2,461,7,67,242,164,18,461,26,11,42.3,11,42.3,249,1219,524,10,11,2,22,13,305,29,Matches
524,Shiloh ’t Zand,nl NED,MF,Feyenoord,21-356,2003,0.5,17,1,1,7,9,1,17,0,0,,0,,12,39,31,1,0,0,0,0,13,1,Matches
