Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Malte Amundsen,dk DEN,DF,Columbus Crew,27-082,1998,9,8,652,7.2,0,1,1,0,0,0,1,1,0.1,0.1,0.5,0.5,8,37,14,0.00,0.14,0.14,0.00,0.14,0.01,0.06,0.07,0.01,0.07,Matches
23,Tomas Ángel,co COL,"FW,MF",San Diego FC,22-073,2003,10,4,300,3.3,1,2,3,1,0,0,1,0,0.5,0.5,0.6,1.1,6,11,22,0.30,0.60,0.90,0.30,0.90,0.15,0.17,0.32,0.15,0.32,Matches
24,Iván Angulo,co COL,"FW,MF",Orlando City,26-043,1999,11,11,845,9.4,0,1,1,0,0,0,2,0,1.4,1.4,1.2,2.7,32,45,82,0.00,0.11,0.11,0.00,0.11,0.15,0.13,0.29,0.15,0.29,Matches
25,Conner Antley,us USA,"DF,MF",D.C. United,30-043,1995,2,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Antony,br BRA,"FW,MF",Portland Timbers,23-238,2001,11,11,890,9.9,4,5,9,4,0,0,3,0,2.5,2.5,1.6,4.0,30,31,86,0.40,0.51,0.91,0.40,0.91,0.25,0.16,0.41,0.25,0.41,Matches
27,Brian Anunga,cm CMR,MF,FC Cincinnati,28-267,1996,9,6,539,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,22,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
28,Chris Applewhite,us USA,DF,Nashville SC,17-254,2007,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Cristian Arango,co COL,"MF,FW",SJ Earthquakes,30-056,1995,11,11,968,10.8,7,1,8,5,2,2,1,0,7.1,5.5,1.6,7.0,17,42,67,0.65,0.09,0.74,0.46,0.56,0.66,0.14,0.80,0.51,0.65,Matches
30,César Araujo,uy URU,MF,Orlando City,24-032,2001,6,6,540,6.0,1,1,2,1,0,0,1,0,0.4,0.4,1.0,1.4,2,36,9,0.17,0.17,0.33,0.17,0.33,0.07,0.17,0.23,0.07,0.23,Matches
31,Maximilian Arfsten,us USA,"MF,DF",Columbus Crew,24-015,2001,10,10,899,10.0,2,3,5,2,0,0,3,0,2.5,2.5,2.4,4.9,32,46,88,0.20,0.30,0.50,0.20,0.50,0.25,0.25,0.49,0.25,0.49,Matches
32,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-071,1995,10,4,413,4.6,1,1,2,1,0,2,1,0,3.0,1.5,0.9,2.3,4,10,34,0.22,0.22,0.44,0.22,0.44,0.66,0.19,0.85,0.32,0.51,Matches
33,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-088,1995,2,0,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,17,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
34,Artur,br BRA,MF,Houston Dynamo,29-054,1996,11,11,988,11.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,10,54,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
35,Joshua Atencio,us USA,MF,Colorado Rapids,23-093,2002,10,10,758,8.4,0,0,0,0,0,0,0,0,0.4,0.4,0.7,1.1,8,49,14,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches
36,Eduard Atuesta,co COL,MF,Orlando City,27-320,1997,8,7,616,6.8,0,1,1,0,0,0,3,0,1.0,1.0,1.4,2.4,4,38,20,0.00,0.15,0.15,0.00,0.15,0.14,0.21,0.35,0.14,0.35,Matches
37,Julián Aude,ar ARG,"DF,MF",LA Galaxy,22-041,2003,10,4,490,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,10,30,18,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
38,Tomás Avilés,ar ARG,"DF,MF",Inter Miami,21-090,2004,8,6,410,4.6,1,0,1,1,0,0,1,1,0.5,0.5,0.0,0.5,4,15,0,0.22,0.00,0.22,0.22,0.22,0.11,0.00,0.11,0.11,0.11,Matches
39,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-123,1997,11,11,963,10.7,0,1,1,0,0,0,3,0,0.5,0.5,0.4,0.9,3,38,2,0.00,0.09,0.09,0.00,0.09,0.04,0.04,0.08,0.04,0.08,Matches
40,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-029,2001,11,11,990,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,15,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
41,David Ayala,ar ARG,MF,Portland Timbers,22-282,2002,11,11,857,9.5,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,1,41,5,0.11,0.11,0.21,0.11,0.21,0.09,0.02,0.12,0.09,0.12,Matches
42,Dominique Badji,sn SEN,"FW,MF",D.C. United,32-200,1992,10,2,322,3.6,0,0,0,0,0,0,1,0,1.0,1.0,0.2,1.2,6,4,25,0.00,0.00,0.00,0.00,0.00,0.29,0.05,0.34,0.29,0.34,Matches
43,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-054,2006,7,1,123,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,4,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Corey Baird,us USA,"MF,FW",FC Cincinnati,29-094,1996,9,2,284,3.2,0,0,0,0,0,0,1,0,0.7,0.7,0.5,1.3,12,12,22,0.00,0.00,0.00,0.00,0.00,0.23,0.17,0.40,0.23,0.40,Matches
45,Cody Baker,us USA,MF,Seattle Sounders,21-117,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Reed Baker-Whiting,us USA,"FW,MF",Seattle Sounders,20-034,2005,2,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.21,0.26,0.47,0.21,0.47,Matches
47,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-111,2001,10,3,280,3.1,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,3,7,24,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20,Matches
48,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-039,1996,11,11,860,9.6,1,4,5,1,0,0,0,0,2.3,2.3,2.1,4.4,43,41,72,0.10,0.42,0.52,0.10,0.52,0.25,0.22,0.46,0.25,0.46,Matches
49,Fidel Barajas,mx MEX,FW,D.C. United,19-029,2006,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
50,Jesús Barea,es ESP,FW,Real Salt Lake,23-006,2002,4,1,181,2.0,0,0,0,0,0,0,0,0,1.1,1.1,0.1,1.1,1,4,10,0.00,0.00,0.00,0.00,0.00,0.54,0.03,0.57,0.54,0.57,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Tai Baribo,il ISR,FW,Philadelphia Union,27-109,1998,10,9,710,7.9,7,0,7,7,0,0,2,0,4.9,4.9,0.1,5.0,3,15,37,0.89,0.00,0.89,0.89,0.89,0.62,0.02,0.64,0.62,0.64,Matches
52,Tom Barlow,us USA,"FW,MF",Chicago Fire,29-300,1995,9,0,186,2.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.7,1,3,4,0.00,0.00,0.00,0.00,0.00,0.27,0.08,0.35,0.27,0.35,Matches
53,Luis Barraza,us USA,GK,D.C. United,28-177,1996,4,4,360,4.0,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.00,0.01,0.01,0.00,0.01,Matches
54,Leonardo Barroso,pt POR,DF,Chicago Fire,19-326,2005,4,2,267,3.0,1,1,2,1,0,0,0,0,0.2,0.2,0.6,0.9,2,8,9,0.34,0.34,0.67,0.34,0.67,0.08,0.21,0.29,0.08,0.29,Matches
