Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
36,Kevin Álvarez,mx MEX,DF,América,26-110,1999,15.2,37,2.43,25,2,4,4,2,0,6,0.39,4,1,0,0,1,0,Matches
37,Luis Amarilla,py PAR,FW,Mazatlán,29-253,1995,15.5,29,1.87,19,1,4,3,2,0,4,0.26,4,0,0,0,0,0,Matches
38,Frankie Amaya,us USA,MF,Toluca,24-221,2000,4.0,15,3.79,12,1,0,1,1,0,3,0.76,2,0,0,1,0,0,Matches
39,Fidel Ambríz,mx MEX,MF,Monterrey,22-045,2003,13.3,9,0.68,6,1,0,1,1,0,1,0.08,1,0,0,0,0,0,Matches
40,Fidel Ambríz,mx MEX,MF,León,22-045,2003,4.7,10,2.14,9,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
41,Bruno Amione,ar ARG,DF,Santos,23-122,2002,16.9,12,0.71,9,0,0,3,0,0,2,0.12,1,0,0,1,0,0,Matches
42,Esteban Andrada,ar ARG,GK,Monterrey,34-099,1991,24.0,7,0.29,5,2,0,0,0,0,2,0.08,1,1,0,0,0,0,Matches
43,Alejandro Andrade,mx MEX,"DF,MF",Necaxa,23-262,2001,5.7,10,1.75,5,2,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
44,Luis Ángel Malagón,mx MEX,GK,América,28-064,1997,28.5,7,0.25,3,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Brayan Angulo,co COL,"DF,MF",Puebla,35-184,1989,28.1,70,2.51,53,6,3,4,2,2,8,0.29,5,1,0,2,0,0,Matches
46,Jesús Angulo,mx MEX,"MF,FW",Toluca,28-074,1997,20.1,105,5.22,79,12,6,3,2,3,13,0.65,10,2,0,0,1,0,Matches
47,José Antonio Rodríguez,mx MEX,GK,Tijuana,32-305,1992,20.9,7,0.34,6,1,0,0,0,0,2,0.10,1,1,0,0,0,0,Matches
48,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,27-257,1997,2.6,8,3.12,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Uriel Antuna,mx MEX,"FW,MF",UANL,27-257,1997,8.7,45,5.16,39,1,1,2,1,1,7,0.80,5,0,1,0,1,0,Matches
50,Javier Aquino,mx MEX,DF,UANL,35-083,1990,29.0,74,2.55,57,12,3,0,1,1,4,0.14,2,2,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Pedro Aquino,pe PER,MF,Santos,30-022,1995,7.4,9,1.22,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Diego Araujo,mx MEX,MF,Querétaro,22-076,2003,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Maximiliano Araújo,uy URU,FW,Toluca,25-079,2000,1.1,4,3.50,3,0,1,0,0,0,2,1.75,2,0,0,0,0,0,Matches
54,Néstor Araujo,mx MEX,DF,América,33-249,1991,13.4,11,0.82,9,0,0,2,0,0,2,0.15,0,0,0,2,0,0,Matches
55,Fernando Arce Jr.,us USA,"MF,FW",Puebla,28-159,1996,2.2,2,0.93,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
56,Fernando Arce Jr.,us USA,MF,Necaxa,28-159,1996,11.5,11,0.96,8,1,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
57,Ramiro Árciga,mx MEX,"MF,FW",Tijuana,20-248,2004,3.3,11,3.34,8,3,0,0,0,0,3,0.91,1,2,0,0,0,0,Matches
58,Ramiro Árciga,mx MEX,"MF,FW",Mazatlán,20-248,2004,10.6,31,2.92,30,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
59,Eduardo Armenta,mx MEX,MF,Querétaro,23-140,2001,2.3,2,0.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Aarón Arredondo,mx MEX,MF,América,22-065,2003,2.0,5,2.51,5,0,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches
61,Diego Arriaga,mx MEX,"FW,MF",América,21-005,2004,1.6,3,1.85,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Gerardo Arteaga,mx MEX,DF,Monterrey,26-240,1998,25.5,52,2.04,44,3,1,0,2,2,5,0.20,5,0,0,0,0,0,Matches
