Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
752,Alejo Tabares,ar ARG,"DF,MF",Newell's OB,23-319,2001,6.9,142,244,58.2,2685,1133,58,77,75.3,67,100,67.0,15,50,30.0,1,0.4,0.2,+0.6,5,10,3,2,20,Matches
753,Enzo Taborda,ar ARG,FW,Independiente,19-350,2005,1.0,9,15,60.0,103,46,7,8,87.5,1,3,33.3,0,2,0.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
754,Vicente Taborda,ar ARG,"FW,MF",Platense,23-323,2001,13.2,382,573,66.7,6277,2124,200,250,80.0,116,160,72.5,42,109,38.5,1,1.5,2.0,-0.5,22,60,14,2,68,Matches
755,Matías Tagliamonte,ar ARG,GK,Unión,27-075,1998,2.0,33,52,63.5,849,633,7,7,100.0,15,16,93.8,11,29,37.9,0,0.0,0.0,0.0,0,0,0,0,0,Matches
756,Gonzalo Tapia,cl CHI,"FW,MF",River Plate,23-076,2002,1.8,13,33,39.4,150,21,9,14,64.3,3,10,30.0,0,4,0.0,0,0.1,0.0,-0.1,1,1,2,0,3,Matches
757,Ignacio Tapia,ar ARG,FW,Barracas Central,20-246,2004,0.1,2,3,66.7,20,4,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
758,Iván Tapia,ar ARG,MF,Barracas Central,26-163,1998,10.8,251,345,72.8,4362,1692,118,148,79.7,88,111,79.3,35,63,55.6,1,1.0,1.7,0.0,14,28,3,3,19,Matches
759,Cristian Tarragona,ar ARG,"FW,MF",Talleres,34-026,1991,2.8,69,91,75.8,1044,202,41,49,83.7,18,26,69.2,6,9,66.7,0,0.1,0.1,-0.1,4,13,0,0,10,Matches
760,Diego Tarzia,ar ARG,"FW,MF",Independiente,22-009,2003,10.7,165,256,64.5,2369,768,100,126,79.4,50,70,71.4,8,30,26.7,1,0.7,1.3,+0.3,9,12,6,3,22,Matches
761,Renzo Tesuri,ar ARG,MF,Atlé Tucumán,28-332,1996,2.0,42,63,66.7,621,294,25,31,80.6,13,17,76.5,3,11,27.3,0,1.0,0.7,-1.0,7,5,4,2,9,Matches
