Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
36,Juan Andrada,ar ARG,MF,Sarmiento,30-121,1995,1.1,1,1,1,0,0,1,4,25.0,3,1,1,0,1,2,5,0,Matches
37,Álvaro Angulo,co COL,DF,Independiente,27-336,1997,8.7,15,13,8,5,2,9,15,60.0,6,7,2,5,10,25,27,0,Matches
38,Luis Angulo,co COL,"FW,MF",Cen. Córdoba–SdE,21-043,2004,11.0,9,8,2,6,1,6,21,28.6,15,8,0,8,3,12,1,0,Matches
39,Federico Anselmo,ar ARG,FW,San Martín de San Juan,31-018,1994,8.9,6,2,0,3,3,1,2,50.0,1,4,2,2,0,6,11,0,Matches
40,Mateo Antoni,uy URU,MF,Arg Juniors,22-013,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
41,Dylan Aquino,ar ARG,FW,Lanús,19-335,2005,7.1,13,8,5,6,2,8,14,57.1,6,15,1,14,4,17,6,0,Matches
42,Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-027,1992,16.0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,11,1,Matches
43,Lucas Arce,ar ARG,DF,Godoy Cruz,27-264,1997,9.7,27,12,18,7,2,15,33,45.5,18,13,1,12,8,35,28,0,Matches
44,Joaquín Ardaiz,uy URU,FW,Arg Juniors,26-114,1999,0.1,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
45,Facundo Ardiles,ar ARG,DF,Godoy Cruz,26-225,1998,0.5,3,1,2,1,0,2,3,66.7,1,0,0,0,0,3,1,0,Matches
46,Gabriel Arias,cl CHI,GK,Racing Club,37-234,1987,11.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
47,Ramón Arias,uy URU,DF,Tigre,32-282,1992,2.3,1,1,1,0,0,1,2,50.0,1,4,2,2,5,6,11,0,Matches
48,Franco Armani,ar ARG,GK,River Plate,38-201,1986,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,2,Matches
49,Blas Armoa,py PAR,FW,Tigre,25-091,2000,3.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
