Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-021,1997,3,251,84,46.5,2.8,3,84,2,0,,0,0.67,2,4,-2,-0.72,-0.72,5.5,2.4,+3.1,+1.11,+1.13,Matches
27,Luiz Araújo,br BRA,"FW,MF",Flamengo,28-337,1996,6,165,28,26.2,1.8,1,56,0,5,22,1,2.17,6,3,+3,+1.64,-0.11,5.1,1.2,+3.8,+2.08,+1.10,Matches
28,Matheus Araújo,br BRA,"MF,FW",Ceará,22-348,2002,5,160,32,25.4,1.8,1,69,0,4,23,2,1.40,3,4,-1,-0.56,-1.14,2.7,3.9,-1.3,-0.71,-0.89,Matches
29,Michel Araujo,uy URU,DF,Bahia,28-219,1996,1,11,11,1.7,0.1,0,,0,1,11,1,3.00,0,0,0,0.00,0.00,0.5,0.4,0.0,+0.23,+0.12,Matches
30,Alexander Aravena,cl CHI,"FW,MF",Grêmio,22-241,2002,3,57,19,9.0,0.6,0,,0,3,19,2,0.67,0,1,-1,-1.58,-0.95,1.0,0.4,+0.6,+0.99,+1.77,Matches
31,Robert Arboleda,ec ECU,DF,São Paulo,33-195,1991,3,270,90,42.9,3.0,3,90,3,0,,0,1.00,2,2,0,0.00,-0.25,3.8,3.3,+0.5,+0.17,-0.03,Matches
32,Lucas Arcanjo,br BRA,GK,Vitória,26-270,1998,6,540,90,85.7,6.0,6,90,6,0,,1,1.00,7,8,-1,-0.17,+1.83,5.2,8.2,-3.0,-0.49,-0.34,Matches
33,Matias Arezo,uy URU,FW,Grêmio,22-165,2002,4,181,45,28.7,2.0,2,83,1,2,8,2,1.50,3,5,-2,-0.99,-0.39,1.9,3.8,-1.9,-0.94,-0.45,Matches
34,Jhon Arias,co COL,FW,Fluminense,27-226,1997,7,629,90,99.8,7.0,7,90,6,0,,0,1.86,8,7,+1,+0.14,+0.14,8.1,5.1,+3.1,+0.44,+0.44,Matches
35,Santiago Arias,co COL,DF,Bahia,33-112,1992,2,85,43,13.5,0.9,1,70,0,1,15,2,0.50,0,2,-2,-2.12,-2.45,0.6,2.3,-1.7,-1.84,-2.26,Matches
36,Arthur,br BRA,FW,Sport Recife,22-054,2003,6,200,33,31.7,2.2,1,54,0,5,29,0,0.33,2,5,-3,-1.35,-0.72,2.4,4.5,-2.1,-0.94,-0.01,Matches
37,Artur,br BRA,"FW,MF",Botafogo (RJ),27-079,1998,7,507,72,80.5,5.6,6,79,1,1,33,0,1.14,5,5,0,0.00,-0.73,5.1,6.1,-0.9,-0.16,-0.53,Matches
38,Pedro Ataíde,br BRA,FW,Atlético Mineiro,19-311,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
39,Rodrigo Atencio,ar ARG,FW,Sport Recife,22-309,2002,3,137,46,21.7,1.5,1,64,0,2,37,2,0.33,1,1,0,0.00,+1.10,1.1,2.1,-1.0,-0.64,+0.38,Matches
40,Athyrson,br BRA,FW,RB Bragantino,21-119,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
41,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,25-068,2000,4,146,37,23.2,1.6,2,58,0,2,15,3,0.75,1,2,-1,-0.62,-0.24,1.3,1.4,-0.2,-0.11,+0.59,Matches
42,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,24-310,2000,4,125,31,19.8,1.4,0,,0,4,31,2,0.25,1,4,-3,-2.16,-2.16,0.7,2.1,-1.4,-1.04,-0.74,Matches
43,Renato Augusto,br BRA,MF,Fluminense,37-086,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
44,Avellar,br BRA,DF,Vasco da Gama,19-058,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
45,Gastón Ávila,ar ARG,DF,Fortaleza,23-217,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
46,Aylon,br BRA,FW,Ceará,33-028,1992,5,217,43,34.4,2.4,3,63,0,2,15,0,1.40,3,3,0,0.00,-0.44,3.4,3.3,+0.2,+0.07,+0.17,Matches
47,Matheus Babi,br BRA,FW,Juventude,27-291,1997,3,89,30,16.5,1.0,1,45,0,2,22,1,1.00,1,3,-2,-2.02,-1.02,1.7,2.1,-0.4,-0.41,+0.57,Matches
48,Matheus Bahia,br BRA,DF,Ceará,25-267,1999,5,439,88,69.7,4.9,5,88,4,0,,0,2.20,8,4,+4,+0.82,+1.76,5.9,5.0,+0.8,+0.17,+0.70,Matches
49,Gabriel Baralhas,br BRA,MF,Vitória,26-207,1998,5,380,76,60.3,4.2,4,86,3,1,35,1,1.20,7,5,+2,+0.47,+2.27,3.5,5.6,-2.1,-0.51,-0.16,Matches
50,Danilo Barbosa,br BRA,DF,Botafogo (RJ),29-066,1996,1,22,22,3.5,0.2,0,,0,1,22,3,0.00,0,0,0,0.00,-0.15,0.0,0.2,-0.2,-0.66,-0.63,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
51,Diogo Barbosa,br BRA,"DF,FW",Fortaleza,32-261,1992,4,262,66,41.6,2.9,3,82,2,1,15,2,1.00,3,2,+1,+0.34,+0.59,3.3,3.1,+0.2,+0.06,+0.51,Matches
52,Gabriel Barbosa,br BRA,FW,Cruzeiro,28-248,1996,5,194,39,30.8,2.2,2,67,0,3,20,2,1.80,3,3,0,0.00,-0.41,2.9,4.4,-1.5,-0.72,-1.11,Matches
53,Lucas Barbosa,br BRA,FW,RB Bragantino,24-072,2001,6,303,51,56.1,3.4,4,61,1,2,29,0,2.17,7,2,+5,+1.49,+2.24,6.0,2.5,+3.5,+1.03,+1.57,Matches
54,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-050,1995,5,450,90,71.4,5.0,5,90,5,0,,0,1.60,6,3,+3,+0.60,+1.60,5.6,5.2,+0.4,+0.08,+0.47,Matches
55,Chrystian Barletta,br BRA,FW,Sport Recife,23-304,2001,7,490,70,77.8,5.4,6,79,2,1,16,0,0.29,4,7,-3,-0.55,+1.38,4.1,8.5,-4.4,-0.81,+0.60,Matches
56,Álvaro Barreal,ar ARG,"FW,MF",Santos,24-261,2000,4,263,66,41.7,2.9,4,66,0,0,,1,1.00,4,4,0,0.00,+0.74,4.7,4.4,+0.2,+0.08,+0.28,Matches
57,Enmerson Batalla,co COL,"MF,FW",Juventude,23-309,2001,6,416,69,77.0,4.6,6,69,1,0,,0,1.17,6,10,-4,-0.87,+1.31,2.7,6.7,-3.9,-0.85,+0.15,Matches
58,Paulo Baya,br BRA,MF,Fluminense,25-283,1999,1,10,10,1.6,0.1,0,,0,1,10,2,0.00,0,1,-1,-9.00,-9.29,0.0,0.1,-0.1,-0.53,-0.99,Matches
59,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,28-052,1997,2,96,48,15.2,1.1,1,90,1,1,6,4,0.00,0,3,-3,-2.81,-2.81,0.6,1.0,-0.5,-0.46,+0.12,Matches
60,Luis Benedetti,br BRA,DF,Palmeiras,18-332,2006,1,90,90,14.3,1.0,1,90,1,0,,4,0.00,0,1,-1,-1.00,-2.00,1.4,0.6,+0.8,+0.78,+0.24,Matches
61,Alexandro Bernabei,ar ARG,DF,Internacional,24-223,2000,6,530,88,84.1,5.9,6,88,5,0,,1,1.33,10,8,+2,+0.34,+0.34,7.9,8.1,-0.2,-0.03,+0.07,Matches
62,Facundo Bernal,uy URU,MF,Fluminense,21-257,2003,5,214,43,34.0,2.4,2,77,0,3,20,2,2.00,4,2,+2,+0.84,+1.06,2.0,1.8,+0.2,+0.10,-0.51,Matches
63,Bernard,br BRA,"MF,FW",Atlético Mineiro,32-239,1992,6,123,21,22.8,1.4,0,,0,6,21,0,1.00,3,1,+2,+1.46,+2.33,4.1,1.3,+2.8,+2.07,+2.03,Matches
64,Matheus Bianqui,br BRA,MF,Mirassol,27-094,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
65,Matheus Bidu,br BRA,"DF,MF",Corinthians,26-001,1999,3,180,60,28.6,2.0,2,68,1,1,45,3,2.00,6,2,+4,+2.00,+3.20,4.4,1.2,+3.2,+1.59,+2.09,Matches
66,Damián Bobadilla,py PAR,MF,São Paulo,23-298,2001,4,239,60,37.9,2.7,2,90,2,2,30,3,1.50,2,2,0,0.00,-0.23,2.8,2.5,+0.3,+0.10,-0.13,Matches
67,Yannick Bolasie,cd COD,FW,Cruzeiro,35-346,1989,3,3,1,0.5,0.0,0,,0,3,1,1,3.00,1,0,+1,+30.00,+29.86,0.8,0.1,+0.7,+21.15,+21.20,Matches
68,Gabriel Bontempo,br BRA,MF,Santos,20-109,2005,6,355,59,56.3,3.9,4,76,0,2,25,0,0.67,5,7,-2,-0.51,-0.18,5.7,5.2,+0.5,+0.12,+0.45,Matches
69,Thiago Borbas,uy URU,"MF,FW",RB Bragantino,23-028,2002,2,33,17,6.1,0.4,0,,0,2,17,4,2.00,1,0,+1,+2.73,+2.37,0.5,0.3,+0.2,+0.63,+0.30,Matches
70,Daniel Borges,br BRA,DF,Mirassol,32-043,1993,4,220,55,40.7,2.4,2,85,1,2,26,2,1.50,7,4,+3,+1.23,+1.51,3.1,3.6,-0.5,-0.21,-0.97,Matches
71,Marllon Borges,br BRA,DF,Ceará,33-019,1992,7,630,90,100.0,7.0,7,90,7,0,,0,1.57,9,7,+2,+0.29,,8.4,8.7,-0.3,-0.04,,Matches
72,Rafael Borré,co COL,"FW,MF",Internacional,29-232,1995,6,215,36,34.1,2.4,2,70,0,4,19,0,1.50,3,1,+2,+0.84,+0.84,1.9,2.3,-0.4,-0.16,-0.17,Matches
73,Dylan Borrero,co COL,"FW,MF",Fortaleza,23-120,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
74,Lucas Braga,br BRA,FW,Vitória,28-176,1996,3,82,27,13.0,0.9,1,57,0,2,13,3,0.67,1,1,0,0.00,+0.49,1.0,1.5,-0.5,-0.58,-0.15,Matches
75,Martin Braithwaite,dk DEN,FW,Grêmio,33-334,1991,5,432,86,68.6,4.8,5,86,3,0,,0,1.00,4,8,-4,-0.83,-0.38,3.7,6.3,-2.6,-0.54,+0.29,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
76,Gabriel Brazão,br BRA,GK,Santos,24-212,2000,7,630,90,100.0,7.0,7,90,7,0,,0,0.57,7,10,-3,-0.43,,8.1,8.7,-0.5,-0.08,,Matches
77,Brenno,br BRA,GK,Fortaleza,26-034,1999,0,,,0.0,0.0,0,,0,0,,5,1.00,0,0,0,,,,,,,,Matches
78,Breno,br BRA,FW,Fortaleza,29-101,1996,2,113,57,17.9,1.3,2,57,0,0,,0,1.00,0,0,0,0.00,0.00,1.3,2.8,-1.5,-1.19,-1.17,Matches
79,Breno,br BRA,MF,Corinthians,20-074,2005,6,504,84,80.0,5.6,6,84,4,0,,1,1.17,6,9,-3,-0.54,-1.25,4.8,6.2,-1.4,-0.24,-1.73,Matches
80,Bruninho,br BRA,MF,Fortaleza,19-328,2005,1,68,68,10.8,0.8,1,68,0,0,,5,1.00,0,0,0,0.00,0.00,0.5,1.2,-0.8,-1.01,-0.87,Matches
81,Fabrício Bruno,br BRA,DF,Cruzeiro,29-082,1996,6,540,90,85.7,6.0,6,90,6,0,,0,1.67,8,7,+1,+0.17,-0.83,6.9,6.7,+0.2,+0.03,-0.12,Matches
82,Cacá,br BRA,DF,Corinthians,26-010,1999,3,240,80,38.1,2.7,3,80,2,0,,4,1.33,4,5,-1,-0.37,-0.14,4.3,3.8,+0.5,+0.19,+0.14,Matches
83,Raúl Cáceres,py PAR,DF,Vitória,33-229,1991,1,89,89,14.1,1.0,1,89,0,0,,6,1.00,2,2,0,0.00,+0.50,1.3,1.6,-0.3,-0.32,+0.14,Matches
84,Gabriel Caipira,br BRA,DF,Corinthians,20-079,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
85,Calebe,br BRA,MF,Fortaleza,25-005,2000,3,163,54,25.9,1.8,2,70,0,1,24,4,0.33,1,3,-2,-1.10,-1.49,1.2,1.6,-0.3,-0.18,+0.07,Matches
86,Jonathan Calleri,ar ARG,FW,São Paulo,31-224,1993,3,121,40,19.2,1.3,2,54,0,1,13,0,1.00,1,1,0,0.00,-0.18,2.5,0.7,+1.8,+1.34,+1.42,Matches
87,Camilo,br BRA,MF,Grêmio,26-071,1999,6,288,48,45.7,3.2,4,64,1,2,17,1,1.17,3,6,-3,-0.94,-0.41,2.2,6.3,-4.0,-1.25,-1.16,Matches
88,Germán Cano,ar ARG,FW,Fluminense,37-092,1988,6,474,79,75.2,5.3,6,79,0,0,,0,1.67,3,3,0,0.00,-0.58,4.6,3.2,+1.4,+0.27,-0.71,Matches
89,Agustín Canobbio,uy URU,FW,Fluminense,26-216,1998,7,429,61,68.1,4.8,7,61,0,0,,0,1.86,3,4,-1,-0.21,-1.11,4.9,3.3,+1.6,+0.33,-0.36,Matches
90,Juninho Capixaba,br BRA,DF,RB Bragantino,27-303,1997,6,540,90,100.0,6.0,6,90,6,0,,0,2.17,8,5,+3,+0.50,,8.3,6.2,+2.1,+0.34,,Matches
91,Johan Carbonero,co COL,FW,Internacional,25-289,1999,3,153,51,24.3,1.7,2,62,0,1,30,0,1.67,3,0,+3,+1.76,+1.95,2.3,1.0,+1.3,+0.77,+1.08,Matches
92,Felipe Cardoso,br BRA,MF,Vitória,22-062,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
93,Edson Carioca,br BRA,FW,Mirassol,27-305,1997,5,222,44,41.1,2.5,2,73,0,3,25,0,1.20,5,3,+2,+0.81,+0.81,4.0,2.2,+1.8,+0.73,+0.62,Matches
94,Igor Cariús,br BRA,DF,Sport Recife,32-004,1993,4,350,88,55.6,3.9,4,88,1,0,,0,0.50,2,3,-1,-0.26,+1.35,2.7,6.5,-3.9,-1.00,-0.13,Matches
95,Carlinhos,br BRA,FW,Vitória,28-082,1997,2,103,52,16.3,1.1,1,58,0,1,45,2,0.50,1,1,0,0.00,+0.51,1.8,1.7,+0.1,+0.13,+0.68,Matches
96,Antonio Carlos,br BRA,DF,Sport Recife,32-059,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
97,Jean Carlos Vicente,br BRA,"MF,FW",Juventude,33-079,1992,4,109,27,20.2,1.2,1,57,0,3,17,2,1.00,3,3,0,0.00,+1.46,2.0,2.6,-0.5,-0.45,+0.54,Matches
98,Ruan Carneiro,br BRA,GK,Juventude,35-038,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
99,André Carrillo,pe PER,MF,Corinthians,33-325,1991,6,434,72,68.9,4.8,6,72,1,0,,1,1.50,7,9,-2,-0.41,-0.41,7.5,4.6,+2.9,+0.60,+1.59,Matches
100,Gabriel Carvalho,br BRA,FW,Internacional,17-261,2007,2,61,31,9.7,0.7,0,,0,2,31,3,0.50,1,1,0,0.00,-0.32,1.9,0.5,+1.4,+2.02,+2.29,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,Cássio,br BRA,GK,Cruzeiro,37-333,1987,7,630,90,100.0,7.0,7,90,7,0,,0,1.86,9,7,+2,+0.29,,7.8,7.5,+0.4,+0.05,,Matches
102,Iury de Castilho,br BRA,FW,Mirassol,29-241,1995,6,315,53,58.3,3.5,4,66,0,2,26,0,1.17,6,7,-1,-0.29,-1.49,5.0,4.8,+0.2,+0.05,-0.76,Matches
103,Murilo Cerqueira,br BRA,DF,Palmeiras,28-039,1997,2,155,78,24.6,1.7,2,78,1,0,,2,2.00,2,1,+1,+0.58,-0.18,2.3,1.1,+1.1,+0.66,+0.11,Matches
104,Kayky Chagas,br BRA,"FW,DF",Bahia,21-328,2003,3,61,20,9.7,0.7,0,,0,3,20,4,1.67,2,1,+1,+1.48,+1.63,1.5,0.6,+0.9,+1.38,+1.40,Matches
105,Gabriel Chapecó,br BRA,GK,Grêmio,25-037,2000,0,,,0.0,0.0,0,,0,0,,5,1.00,0,0,0,,,,,,,,Matches
106,Chico,br BRA,MF,Mirassol,33-353,1991,1,76,76,14.1,0.8,1,76,0,0,,5,0.00,1,2,-1,-1.18,-1.77,1.5,1.2,+0.4,+0.42,+0.06,Matches
107,Chico,br BRA,DF,Sport Recife,26-233,1998,7,630,90,100.0,7.0,7,90,7,0,,0,0.29,4,10,-6,-0.86,,5.3,11.9,-6.6,-0.94,,Matches
108,Christian,br BRA,FW,Cruzeiro,24-137,2000,5,368,74,58.4,4.1,5,74,2,0,,0,2.00,7,3,+4,+0.98,+1.67,5.6,1.9,+3.6,+0.89,+2.02,Matches
109,Chumbinho,br BRA,MF,RB Bragantino,21-225,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
110,Claudinho,br BRA,DF,Vitória,24-223,2000,7,541,77,85.9,6.0,6,90,6,1,1,0,0.86,5,8,-3,-0.50,-0.50,4.6,7.4,-2.8,-0.47,-0.14,Matches
111,Clayson,br BRA,FW,Mirassol,30-047,1995,5,236,47,43.7,2.6,3,69,0,2,14,1,1.20,3,5,-2,-0.76,-1.95,2.7,3.7,-1.0,-0.37,-1.30,Matches
112,Clayton,br BRA,DF,Internacional,25-031,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
113,Cleiton,br BRA,DF,Flamengo,22-010,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
114,Mateus Cocão,br BRA,MF,Vasco da Gama,23-048,2002,3,173,58,27.5,1.9,2,85,0,1,3,3,0.33,0,3,-3,-1.56,-1.56,1.1,2.3,-1.2,-0.65,-0.12,Matches
115,Igor Coronado,br BRA,MF,Corinthians,32-260,1992,4,175,44,27.8,1.9,1,74,0,3,34,0,1.75,5,1,+4,+2.06,+3.24,3.4,2.1,+1.3,+0.69,+0.82,Matches
116,Fernando Costa,br BRA,GK,RB Bragantino,21-093,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
117,Philippe Coutinho,br BRA,MF,Vasco da Gama,32-327,1992,4,300,75,47.6,3.3,4,75,1,0,,1,1.75,3,3,0,0.00,+0.82,3.0,4.5,-1.5,-0.46,+0.20,Matches
118,Franco Cristaldo,ar ARG,"MF,FW",Grêmio,28-263,1996,6,295,49,46.8,3.3,4,59,0,2,29,1,0.83,1,5,-4,-1.22,-0.95,2.0,3.7,-1.7,-0.52,+0.20,Matches
119,Gustavo Cuellar,co COL,MF,Grêmio,32-203,1992,2,85,43,13.5,0.9,1,69,0,1,16,3,2.00,0,0,0,0.00,+0.83,1.0,0.4,+0.6,+0.63,+1.45,Matches
120,Tomás Cuello,ar ARG,"FW,MF",Atlético Mineiro,25-061,2000,6,494,82,91.5,5.5,6,82,4,0,,0,1.00,6,8,-2,-0.36,-0.36,8.1,6.1,+2.0,+0.36,-1.75,Matches
121,Cuiabano,br BRA,DF,Botafogo (RJ),22-078,2003,7,406,58,64.4,4.5,5,73,1,2,21,0,1.14,5,4,+1,+0.22,+0.22,5.3,4.3,+1.0,+0.23,+0.79,Matches
122,Lucas Cunha,br BRA,DF,Sport Recife,28-102,1997,3,170,57,27.0,1.9,2,85,1,1,1,3,0.33,2,4,-2,-1.06,-0.28,1.1,3.1,-2.0,-1.04,-0.14,Matches
123,Matheus Cunha,br BRA,GK,Flamengo,23-346,2001,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
124,Danielzinho,br BRA,"MF,FW",Mirassol,30-182,1994,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,11,9,+2,+0.33,,9.8,7.6,+2.2,+0.36,,Matches
125,Danilo,br BRA,DF,Flamengo,33-294,1991,1,90,90,14.3,1.0,1,90,1,0,,4,3.00,6,0,+6,+6.00,+5.00,3.2,0.2,+3.0,+3.03,+2.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
126,Davi,br BRA,GK,Sport Recife,20-043,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
127,Matheus Davó,br BRA,"FW,MF",Mirassol,25-262,1999,2,35,18,6.5,0.4,0,,0,2,18,1,0.50,1,0,+1,+2.57,+2.39,1.6,0.2,+1.4,+3.69,+3.56,Matches
