Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,38-121,1987,14.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,27-042,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-357,2006,0.3,2,6.92,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-118,1997,7.2,15,2.08,12,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-081,1998,16.9,49,2.91,27,0,12,6,4,0,6,0.36,3,0,3,0,0,0,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-321,1997,12.7,15,1.18,14,1,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-321,1997,14.0,21,1.50,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-218,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,19-192,2005,3.3,8,2.40,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-129,2000,13.4,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-084,2002,18.5,40,2.16,38,0,1,1,0,0,4,0.22,3,0,0,1,0,0,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-219,1999,17.8,31,1.74,27,1,1,0,2,0,1,0.06,1,0,0,0,0,0,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,29-003,1996,4.8,15,3.13,13,1,0,1,0,0,1,0.21,1,0,0,0,0,0,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-227,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,29-035,1996,18.6,15,0.81,12,1,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
