Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
50,Gilberto Batista,gw GNB,DF,Moreirense,21-127,2003,3.2,92,123,74.8,1613,597,39,45,86.7,41,59,69.5,8,12,66.7,0,0.0,0.3,0.0,0,4,0,0,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1.0,31,35,88.6,703,457,9,9,100.0,18,19,94.7,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
52,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23-305,2001,19.5,344,458,75.1,5466,1059,171,213,80.3,133,159,83.6,25,38,65.8,3,3.0,2.0,0.0,16,28,15,0,42,Matches
53,Gui Beleza,pt POR,MF,Gil Vicente FC,18-147,2006,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
54,Bachir Belloumi,dz ALG,FW,Farense,22-338,2002,3.0,42,73,57.5,593,184,29,33,87.9,12,23,52.2,1,13,7.7,0,0.1,0.1,-0.1,2,6,2,0,14,Matches
55,Andrea Belotti,it ITA,FW,Benfica,31-136,1993,4.5,67,88,76.1,905,195,30,40,75.0,20,23,87.0,4,4,100.0,0,0.7,0.3,-0.7,6,5,0,0,8,Matches
56,Fahem Benaissa Yahia,fr FRA,"DF,MF",Casa Pia,23-006,2002,2.5,75,102,73.5,1101,335,44,54,81.5,29,38,76.3,1,6,16.7,0,0.0,0.1,0.0,0,4,1,0,5,Matches
57,Beni,ao ANG,MF,Vitória,22-349,2002,0.5,37,40,92.5,596,109,19,21,90.5,15,15,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,1,Matches
58,Beni,ao ANG,MF,Casa Pia,22-349,2002,8.3,325,376,86.4,5415,1395,150,171,87.7,142,159,89.3,23,30,76.7,1,0.2,0.2,+0.8,4,23,3,0,35,Matches
