Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
297,Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,29-267,1995,8.2,1,17,4,23.5,2.08,0.49,0.06,0.25,20.2,1,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches
298,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,30-018,1995,20.5,1,18,2,11.1,0.88,0.10,0.06,0.50,12.6,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
299,Nabil Bentaleb,dz ALG,"MF,FW",Lille,fr Ligue 1,30-161,1994,1.9,1,2,1,50.0,1.03,0.51,0.50,1.00,13.2,1,0,0,0.6,0.6,0.31,+0.4,+0.4,Matches
300,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,27-313,1997,16.9,2,22,5,22.7,1.30,0.30,0.09,0.40,17.4,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
301,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31-295,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
302,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,21-161,2003,21.2,1,12,4,33.3,0.57,0.19,0.08,0.25,14.2,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
303,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,35-083,1990,18.7,0,14,4,28.6,0.75,0.21,0.00,0.00,25.9,2,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
304,Álex Berenguer,es ESP,"FW,MF",Athletic Club,es La Liga,29-304,1995,22.0,5,47,16,34.0,2.14,0.73,0.11,0.31,18.3,3,0,1,6.6,5.8,0.12,-1.6,-0.8,Matches
305,Sander Berge,no NOR,MF,Fulham,eng Premier League,27-079,1998,23.2,0,2,0,0.0,0.09,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
306,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,19-091,2006,13.5,0,12,2,16.7,0.89,0.15,0.00,0.00,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
307,Medon Berisha,al ALB,MF,Lecce,it Serie A,21-195,2003,7.0,0,22,5,22.7,3.13,0.71,0.00,0.00,27.0,2,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
308,Mergim Berisha,de GER,"FW,MF",Hoffenheim,de Bundesliga,26-358,1998,3.7,1,11,3,27.3,2.97,0.81,0.09,0.33,16.0,1,0,0,1.0,1.0,0.09,0.0,0.0,Matches
309,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,26-358,1998,0.4,0,3,1,33.3,6.75,2.25,0.00,0.00,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
310,Adrian Bernabe,es ESP,MF,Parma,it Serie A,23-343,2001,15.1,1,25,4,16.0,1.66,0.27,0.04,0.25,26.4,7,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
311,Marc Bernal,es ESP,MF,Barcelona,es La Liga,17-343,2007,2.7,0,2,1,50.0,0.74,0.37,0.00,0.00,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
312,Bernardo,br BRA,DF,Bochum,de Bundesliga,29-355,1995,17.8,0,8,2,25.0,0.45,0.11,0.00,0.00,8.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
313,Juan Bernat,es ESP,"DF,MF",Villarreal,es La Liga,32-064,1993,2.4,0,2,1,50.0,0.85,0.42,0.00,0.00,17.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
314,Juan Bernat,es ESP,"MF,DF",Getafe,es La Liga,32-064,1993,7.0,0,3,0,0.0,0.43,0.00,0.00,,18.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
