Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
808,Ronnie Edwards,eng ENG,DF,Southampton,eng Premier League,22-037,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
809,Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26-361,1998,20.3,3,34,10,29.4,1.68,0.49,0.06,0.20,15.7,0,1,2,4.7,3.1,0.09,-1.7,-1.1,Matches
810,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-147,1996,28.6,1,32,9,28.1,1.12,0.31,0.03,0.11,19.5,0,0,0,1.8,1.8,0.06,-0.8,-0.8,Matches
811,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29-344,1995,25.8,0,14,4,28.6,0.54,0.15,0.00,0.00,15.9,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
812,Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,27-122,1998,10.5,2,20,8,40.0,1.90,0.76,0.10,0.25,18.3,0,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches
813,Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,18-174,2006,8.2,1,10,3,30.0,1.22,0.37,0.10,0.33,15.6,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches
814,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22-318,2002,25.5,15,103,39,37.9,4.04,1.53,0.14,0.36,15.3,1,1,3,20.2,17.9,0.17,-5.2,-3.9,Matches
815,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25-029,2000,18.9,3,21,8,38.1,1.11,0.42,0.14,0.38,17.6,0,0,0,2.0,2.0,0.09,+1.0,+1.0,Matches
816,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,21-258,2003,6.8,0,1,0,0.0,0.15,0.00,0.00,,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
817,Emmanuel Ekong,se SWE,"MF,FW",Empoli,it Serie A,22-313,2002,2.1,0,4,1,25.0,1.94,0.48,0.00,0.00,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
818,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-042,1994,5.7,1,18,6,33.3,3.16,1.05,0.06,0.17,13.0,0,0,0,2.8,2.8,0.15,-1.8,-1.8,Matches
819,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,fr Ligue 1,23-109,2002,25.6,1,20,2,10.0,0.78,0.08,0.05,0.50,25.1,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
820,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,23-007,2002,23.8,6,38,19,50.0,1.60,0.80,0.16,0.32,17.2,4,0,0,4.0,4.0,0.11,+2.0,+2.0,Matches
821,Meschak Elia,cd COD,FW,Nantes,fr Ligue 1,27-271,1997,1.9,1,5,1,20.0,2.65,0.53,0.20,1.00,16.0,0,0,0,1.1,1.1,0.22,-0.1,-0.1,Matches
822,Mikael Ellertsson,is ISL,"DF,MF",Venezia,it Serie A,23-054,2002,24.7,2,18,3,16.7,0.73,0.12,0.11,0.67,18.3,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches
823,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,22-030,2003,2.2,0,11,2,18.2,4.97,0.90,0.00,0.00,16.7,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
824,Elif Elmas,mk MKD,"FW,MF",Torino,it Serie A,25-222,1999,9.5,4,16,7,43.8,1.69,0.74,0.25,0.57,19.5,0,0,0,1.2,1.2,0.08,+2.8,+2.8,Matches
825,Elif Elmas,mk MKD,MF,RB Leipzig,de Bundesliga,25-222,1999,0.5,0,2,0,0.0,4.09,0.00,0.00,,10.9,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
826,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-037,1994,13.2,0,4,0,0.0,0.30,0.00,0.00,,8.2,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
827,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28-216,1996,22.2,1,11,3,27.3,0.50,0.14,0.09,0.33,8.4,0,0,0,2.0,2.0,0.19,-1.0,-1.0,Matches
828,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,es La Liga,32-362,1992,16.5,1,34,11,32.4,2.06,0.67,0.03,0.09,22.0,2,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
829,Breel Embolo,ch SUI,"FW,MF",Monaco,fr Ligue 1,28-079,1997,19.5,6,50,17,34.0,2.57,0.87,0.12,0.35,10.6,0,0,0,10.6,10.6,0.21,-4.6,-4.6,Matches
830,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-090,2003,25.5,14,61,35,57.4,2.39,1.37,0.23,0.40,12.5,0,0,0,17.0,17.0,0.28,-3.0,-3.0,Matches
831,Emerson,br BRA,DF,Milan,it Serie A,26-110,1999,15.3,0,10,2,20.0,0.65,0.13,0.00,0.00,20.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
832,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,eng Premier League,19-114,2006,0.5,0,1,0,0.0,2.20,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
833,Julio Enciso,py PAR,"FW,MF",Ipswich Town,eng Premier League,21-101,2004,7.9,2,26,10,38.5,3.30,1.27,0.08,0.20,22.7,1,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
834,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,21-101,2004,3.3,0,20,11,55.0,6.12,3.37,0.00,0.00,21.3,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
835,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,32-084,1993,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
836,Endrick,br BRA,FW,Real Madrid,es La Liga,18-287,2006,2.5,1,17,4,23.5,6.77,1.59,0.06,0.25,17.0,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
837,Yannik Engelhardt,de GER,"MF,DF",Como,it Serie A,24-086,2001,12.2,1,8,2,25.0,0.66,0.16,0.13,0.50,13.7,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
838,Arne Engels,be BEL,"MF,FW",Augsburg,de Bundesliga,21-238,2003,0.9,0,3,1,33.3,3.42,1.14,0.00,0.00,13.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
839,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,33-079,1992,11.0,0,9,1,11.1,0.81,0.09,0.00,0.00,24.8,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
840,Martin Erlic,hr CRO,DF,Bologna,it Serie A,27-100,1998,3.4,0,6,0,0.0,1.78,0.00,0.00,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
841,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,30-103,1995,9.2,1,8,1,12.5,0.87,0.11,0.13,1.00,10.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
842,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,33-119,1992,8.2,0,8,2,25.0,0.98,0.24,0.00,0.00,25.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
843,Sebastiano Esposito,it ITA,"FW,MF",Empoli,it Serie A,22-306,2002,23.3,8,54,18,33.3,2.32,0.77,0.13,0.39,19.7,8,1,2,5.5,3.9,0.07,+2.5,+3.1,Matches
844,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,19-356,2005,0.4,1,1,1,100.0,2.65,2.65,1.00,1.00,2.8,0,0,0,0.3,0.3,0.32,+0.7,+0.7,Matches
845,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-101,1998,17.4,7,43,13,30.2,2.47,0.75,0.16,0.54,14.1,0,0,0,3.9,3.9,0.09,+3.1,+3.1,Matches
846,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,20-051,2005,18.9,1,21,4,19.0,1.11,0.21,0.05,0.25,24.8,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
847,Estanis,es ESP,FW,Bologna,it Serie A,21-253,2003,0.1,0,2,0,0.0,20.00,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
848,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-171,1995,7.2,0,4,1,25.0,0.56,0.14,0.00,0.00,25.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
849,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,27-103,1998,23.7,1,22,7,31.8,0.93,0.30,0.05,0.14,25.1,3,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches
850,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,es La Liga,22-259,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
851,Karl Etta,cm CMR,MF,Villarreal,es La Liga,21-202,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
852,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25-210,1999,22.9,10,66,29,43.9,2.89,1.27,0.15,0.34,13.0,0,0,1,11.6,10.8,0.16,-1.6,-0.8,Matches
853,Jake Evans,,FW,Leicester City,eng Premier League,,,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
854,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,37-121,1988,3.2,0,1,0,0.0,0.31,0.00,0.00,,8.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
855,Edu Expósito,es ESP,MF,Espanyol,es La Liga,28-276,1996,7.2,0,11,3,27.3,1.54,0.42,0.00,0.00,22.8,3,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
856,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,26-309,1998,26.0,4,93,24,25.8,3.58,0.92,0.04,0.17,21.5,16,0,1,8.2,7.4,0.08,-4.2,-3.4,Matches
857,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,es La Liga,23-138,2001,19.2,2,56,22,39.3,2.91,1.14,0.04,0.09,15.8,1,0,1,7.5,6.8,0.12,-5.5,-4.8,Matches
858,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-110,2003,10.6,3,20,5,25.0,1.88,0.47,0.15,0.60,11.3,0,0,0,2.3,2.3,0.12,+0.7,+0.7,Matches
859,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,40-016,1985,11.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
860,Alieu Fadera,gm GAM,"FW,DF",Como,it Serie A,23-182,2001,18.1,1,27,9,33.3,1.49,0.50,0.04,0.11,18.8,0,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches
861,Wout Faes,be BEL,DF,Leicester City,eng Premier League,27-031,1998,28.3,1,11,1,9.1,0.39,0.04,0.09,1.00,10.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
862,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-081,2001,7.2,0,6,2,33.3,0.83,0.28,0.00,0.00,23.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
863,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,24-081,2001,6.3,0,12,1,8.3,1.89,0.16,0.00,0.00,22.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
864,Romain Faivre,fr FRA,"MF,FW",Brest,fr Ligue 1,26-294,1998,10.0,3,18,9,50.0,1.80,0.90,0.11,0.22,16.9,0,1,1,2.6,1.8,0.11,+0.4,+0.2,Matches
865,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-022,1995,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
866,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,33-191,1991,2.9,0,1,0,0.0,0.35,0.00,0.00,,3.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
867,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,21-057,2004,6.4,0,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
868,Ansu Fati,es ESP,FW,Barcelona,es La Liga,22-185,2002,2.6,0,12,5,41.7,4.64,1.93,0.00,0.00,17.1,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
869,Khalil Fayad,fr FRA,"MF,FW",Montpellier,fr Ligue 1,20-329,2004,9.4,0,13,3,23.1,1.38,0.32,0.00,0.00,23.9,1,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
870,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,22-049,2003,11.5,2,16,5,31.3,1.40,0.44,0.13,0.40,15.7,1,0,0,2.2,2.2,0.14,-0.2,-0.2,Matches
871,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31-290,1993,2.0,0,7,1,14.3,3.50,0.50,0.00,0.00,23.5,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
872,Mattia Felici,it ITA,"MF,FW",Cagliari,it Serie A,24-017,2001,9.9,0,10,6,60.0,1.01,0.60,0.00,0.00,12.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
873,Luiz Felipe,it ITA,DF,Marseille,fr Ligue 1,28-043,1997,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
874,João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,25-175,1999,4.1,1,20,5,25.0,4.88,1.22,0.05,0.20,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
875,João Félix,pt POR,"MF,FW",Milan,it Serie A,25-175,1999,5.6,0,19,4,21.1,3.39,0.71,0.00,0.00,17.2,0,0,0,1.9,1.9,0.10,-1.9,-1.9,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
876,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,21-117,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
877,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,34-091,1991,24.7,0,3,0,0.0,0.12,0.00,0.00,,24.9,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
878,Evan Ferguson,ie IRL,FW,West Ham,eng Premier League,20-197,2004,1.6,0,5,1,20.0,3.10,0.62,0.00,0.00,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
879,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,20-197,2004,2.7,1,7,2,28.6,2.56,0.73,0.14,0.50,19.2,1,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
880,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,25-253,1999,7.9,1,2,1,50.0,0.25,0.13,0.00,0.00,33.8,0,1,1,0.8,0.0,0.02,+0.2,0.0,Matches
881,Zinedine Ferhat,dz ALG,"FW,MF",Angers,fr Ligue 1,32-064,1993,9.2,2,12,5,41.7,1.30,0.54,0.17,0.40,20.4,2,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
882,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,30-238,1994,30.6,8,83,25,30.1,2.71,0.82,0.06,0.20,21.9,12,3,3,9.5,7.1,0.09,-1.5,-2.1,Matches
883,Edimilson Fernandes,ch SUI,MF,Brest,fr Ligue 1,29-019,1996,10.3,0,9,2,22.2,0.88,0.19,0.00,0.00,23.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
884,Mateus Fernandes,pt POR,MF,Southampton,eng Premier League,20-298,2004,29.3,2,39,14,35.9,1.33,0.48,0.05,0.14,18.5,3,0,0,3.8,3.8,0.10,-1.8,-1.8,Matches
885,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,34-001,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
886,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,27-021,1998,7.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
887,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-107,2001,28.8,5,49,18,36.7,1.70,0.63,0.10,0.28,18.6,2,0,0,5.4,5.4,0.11,-0.4,-0.4,Matches
888,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22-005,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
889,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22-305,2002,12.1,5,18,7,38.9,1.49,0.58,0.28,0.71,14.3,0,0,0,3.0,3.0,0.16,+2.0,+2.0,Matches
890,Valery Fernández,es ESP,"MF,FW",Mallorca,es La Liga,25-162,1999,3.3,2,3,3,100.0,0.91,0.91,0.67,0.67,10.3,0,0,0,0.8,0.8,0.28,+1.2,+1.2,Matches
891,Matias Fernandez-Pardo,be BEL,"FW,MF",Lille,fr Ligue 1,20-090,2005,9.1,3,16,11,68.8,1.76,1.21,0.19,0.27,18.3,0,0,0,2.3,2.3,0.14,+0.7,+0.7,Matches
892,André Ferreira,pt POR,GK,Valladolid,es La Liga,28-340,1996,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
893,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,33-053,1992,17.3,0,14,3,21.4,0.81,0.17,0.00,0.00,26.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
894,Daniel Fila,cz CZE,FW,Venezia,it Serie A,22-256,2002,4.7,1,7,4,57.1,1.48,0.85,0.14,0.25,13.9,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches
895,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26-325,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
896,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,24-204,2000,24.9,1,6,1,16.7,0.24,0.04,0.17,1.00,20.5,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
897,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-325,1993,32.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
898,Mateo Flores,es ESP,MF,Betis,es La Liga,21-027,2004,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
899,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24-341,2000,18.8,7,52,16,30.8,2.76,0.85,0.13,0.44,18.5,2,0,0,5.1,5.1,0.10,+1.9,+1.9,Matches
900,Malick Fofana,be BEL,"FW,MF",Lyon,fr Ligue 1,20-034,2005,14.7,5,27,14,51.9,1.84,0.96,0.19,0.36,14.0,0,0,0,3.7,3.7,0.14,+1.3,+1.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
901,Rayan Fofana,fr FRA,"FW,MF",Lens,fr Ligue 1,19-081,2006,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
902,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,29-362,1995,8.9,1,23,6,26.1,2.59,0.68,0.04,0.17,21.8,0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
903,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-138,2000,13.0,0,3,0,0.0,0.23,0.00,0.00,,10.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
904,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-256,2000,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
905,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-114,1999,27.1,1,36,5,13.9,1.33,0.18,0.03,0.20,26.2,0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches
906,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-098,1996,20.2,0,8,1,12.5,0.40,0.05,0.00,0.00,21.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
907,Michael Folorunsho,it ITA,"FW,MF",Fiorentina,it Serie A,27-086,1998,6.9,0,6,2,33.3,0.87,0.29,0.00,0.00,15.1,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
908,Michael Folorunsho,it ITA,"FW,MF",Napoli,it Serie A,27-086,1998,0.4,0,1,0,0.0,2.57,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
909,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,27-098,1998,2.4,0,1,0,0.0,0.41,0.00,0.00,,27.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
910,Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,21-046,2004,2.7,0,2,0,0.0,0.75,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
911,Pablo Fornals,es ESP,"MF,FW",Betis,es La Liga,29-071,1996,17.1,1,19,3,15.8,1.11,0.18,0.05,0.33,22.0,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
912,Omari Forson,eng ENG,"MF,DF",Monza,it Serie A,20-288,2004,1.3,0,3,0,0.0,2.37,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
913,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,37-048,1988,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
914,Héctor Fort,es ESP,DF,Barcelona,es La Liga,18-275,2006,6.0,0,6,0,0.0,1.00,0.00,0.00,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
915,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,32-042,1993,24.9,0,13,2,15.4,0.52,0.08,0.00,0.00,21.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
916,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,27-112,1998,13.9,1,14,3,21.4,1.01,0.22,0.07,0.33,12.4,0,0,0,2.2,2.2,0.16,-1.2,-1.2,Matches
917,Fran,es ESP,GK,Real Madrid,es La Liga,19-314,2005,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
918,Matheus França,br BRA,"FW,MF",Crystal Palace,eng Premier League,21-033,2004,0.3,1,3,2,66.7,10.38,6.92,0.33,0.50,12.8,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
919,Alejandro Francés,es ESP,DF,Girona,es La Liga,22-276,2002,10.6,0,6,0,0.0,0.56,0.00,0.00,,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
920,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,30-022,1995,15.4,4,14,5,35.7,0.91,0.32,0.14,0.40,21.9,1,2,2,2.3,0.7,0.05,+1.7,+1.3,Matches
921,Enric Franquesa,es ESP,"DF,FW",Leganés,es La Liga,28-067,1997,6.8,1,3,1,33.3,0.44,0.15,0.33,1.00,16.8,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches
922,Ryan Fraser,sct SCO,"FW,DF",Southampton,eng Premier League,31-069,1994,3.4,0,1,1,100.0,0.29,0.29,0.00,0.00,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
923,Davide Frattesi,it ITA,MF,Inter,it Serie A,25-194,1999,13.6,5,28,7,25.0,2.06,0.51,0.18,0.71,13.0,0,0,0,4.0,4.0,0.14,+1.0,+1.0,Matches
924,Tyler Fredricson,eng ENG,DF,Manchester Utd,eng Premier League,20-070,2005,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
925,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,24-027,2001,31.5,2,27,9,33.3,0.86,0.29,0.07,0.22,22.0,0,0,0,1.5,1.5,0.05,+0.5,+0.5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
926,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,27-120,1998,5.0,0,1,0,0.0,0.20,0.00,0.00,,29.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
927,Remo Freuler,ch SUI,MF,Bologna,it Serie A,33-019,1992,32.0,0,15,3,20.0,0.47,0.09,0.00,0.00,20.6,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
928,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,27-049,1998,22.0,0,4,3,75.0,0.18,0.14,0.00,0.00,14.1,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
929,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,29-142,1995,11.0,0,7,2,28.6,0.64,0.18,0.00,0.00,9.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
930,Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,de Bundesliga,24-145,2000,23.9,4,33,15,45.5,1.38,0.63,0.12,0.27,14.6,0,0,0,4.1,4.1,0.12,-0.1,-0.1,Matches
931,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,28-073,1997,24.7,4,44,14,31.8,1.78,0.57,0.09,0.29,16.2,0,0,0,4.8,4.8,0.11,-0.8,-0.8,Matches
932,Darío Fuentes,es ESP,DF,Sevilla,es La Liga,22-112,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
933,Chris Führich,de GER,"MF,FW",Stuttgart,de Bundesliga,27-115,1998,20.8,2,34,11,32.4,1.64,0.53,0.06,0.18,17.3,2,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches
