Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Óscar Aranda,es ESP,FW,Famalicão,23-006,2002,31,31,2445,27.2,9,3,12,5,4,5,5,0,7.1,3.2,2.3,5.5,63,121,132,0.33,0.11,0.44,0.18,0.29,0.26,0.09,0.35,0.12,0.20,Matches
23,Henrique Araújo,pt POR,FW,Arouca,23-106,2002,22,12,957,10.6,5,1,6,2,3,3,3,0,5.9,3.2,0.5,3.8,12,21,45,0.47,0.09,0.56,0.19,0.28,0.56,0.05,0.60,0.30,0.35,Matches
24,Maximiliano Araújo,uy URU,"DF,MF",Sporting CP,25-079,2000,26,17,1600,17.8,3,3,6,3,0,0,7,1,2.5,2.5,3.8,6.3,44,84,185,0.17,0.17,0.34,0.17,0.34,0.14,0.21,0.36,0.14,0.36,Matches
25,Tomás Araújo,pt POR,DF,Benfica,22-354,2002,26,26,2169,24.1,1,2,3,1,0,0,1,0,1.0,1.0,0.9,1.9,35,125,50,0.04,0.08,0.12,0.04,0.12,0.04,0.04,0.08,0.04,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Telmo Arcanjo,cv CPV,FW,Vitória,23-318,2001,27,16,1230,13.7,5,2,7,5,0,0,5,0,3.5,3.5,2.3,5.9,43,52,114,0.37,0.15,0.51,0.37,0.51,0.26,0.17,0.43,0.26,0.43,Matches
27,Gboly Ariyibi,us USA,"FW,MF",Boavista,30-107,1995,8,2,279,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,7,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
28,Henrique Arreiol,pt POR,MF,Sporting CP,19-318,2005,3,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,Matches
29,Bright Arrey-Mbi,de GER,DF,Braga,22-040,2003,15,13,1135,12.6,0,0,0,0,0,0,3,1,0.0,0.0,0.2,0.2,4,41,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
30,Afonso Assis,pt POR,MF,Moreirense,18-294,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Gustavo Assuncao,pt POR,MF,AVS Futebol,25-036,2000,20,16,1365,15.2,2,0,2,0,2,2,12,1,2.2,0.6,0.5,1.1,10,55,13,0.13,0.00,0.13,0.00,0.00,0.15,0.03,0.18,0.04,0.07,Matches
32,Otavio Ataide,br BRA,DF,Porto,23-014,2002,19,18,1626,18.1,2,0,2,2,0,0,5,0,1.5,1.5,0.2,1.6,20,120,15,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09,Matches
33,João Aurélio,pt POR,"FW,DF",Nacional,36-261,1988,11,2,253,2.8,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,5,5,12,0.36,0.00,0.36,0.36,0.36,0.06,0.00,0.06,0.06,0.06,Matches
34,Fredrik Aursnes,no NOR,"MF,FW",Benfica,29-146,1995,28,27,2260,25.1,3,5,8,3,0,0,1,0,2.3,2.3,4.6,6.9,42,161,145,0.12,0.20,0.32,0.12,0.32,0.09,0.18,0.27,0.09,0.27,Matches
35,Felix Bacher,at AUT,DF,Estoril,24-192,2000,21,21,1890,21.0,1,0,1,1,0,0,5,0,0.3,0.3,0.0,0.4,3,31,2,0.05,0.00,0.05,0.05,0.05,0.02,0.00,0.02,0.02,0.02,Matches
36,Miguel Baeza,es ESP,"MF,FW",Nacional,25-039,2000,5,2,203,2.3,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,2,6,4,0.44,0.00,0.44,0.44,0.44,0.18,0.01,0.19,0.18,0.19,Matches
37,Alexander Bah,dk DEN,DF,Benfica,27-147,1997,18,17,1412,15.7,0,1,1,0,0,0,2,0,1.0,1.0,1.2,2.2,32,76,127,0.00,0.06,0.06,0.00,0.06,0.06,0.07,0.14,0.06,0.14,Matches
38,Adrian Bajrami,al ALB,DF,Benfica,23-030,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Theofanis Bakoulas,gr GRE,MF,Rio Ave,20-121,2005,7,2,205,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,2,5,8,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Matches
40,Elves Baldé,gw GNB,"MF,FW",Farense,25-215,1999,20,12,1045,11.6,1,2,3,1,0,0,1,1,2.0,2.0,2.7,4.7,29,26,49,0.09,0.17,0.26,0.09,0.26,0.18,0.23,0.41,0.18,0.41,Matches
41,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,20-209,2004,9,9,776,8.6,1,0,1,1,0,0,3,0,1.0,1.0,0.1,1.1,3,30,7,0.12,0.00,0.12,0.12,0.12,0.12,0.01,0.12,0.12,0.12,Matches
42,Robson Bambu,br BRA,DF,Braga,27-174,1997,14,10,1008,11.2,1,0,1,1,0,0,6,0,0.3,0.3,0.1,0.4,7,45,2,0.09,0.00,0.09,0.09,0.09,0.03,0.01,0.03,0.03,0.03,Matches
43,Chico Banza,ao ANG,FW,Estrela,26-139,1998,11,7,570,6.3,1,0,1,1,0,0,4,0,1.6,1.6,0.2,1.8,16,11,35,0.16,0.00,0.16,0.16,0.16,0.25,0.03,0.28,0.25,0.28,Matches
44,Simon Banza,cd COD,FW,Braga,28-265,1996,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Rafael Barbosa,pt POR,"MF,FW",Farense,29-037,1996,7,3,359,4.0,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,5,28,21,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.19,0.04,0.19,Matches
46,Leandro Barreiro Martins,lu LUX,MF,Benfica,25-122,2000,26,10,1121,12.5,3,1,4,3,0,0,5,0,3.3,3.3,1.6,4.8,11,49,47,0.24,0.08,0.32,0.24,0.32,0.26,0.13,0.39,0.26,0.39,Matches
47,Afonso Bastardo,pt POR,FW,Sporting CP,20-047,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
