Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
178,Germán Conti,ar ARG,DF,Racing Club,30-336,1994,2.8,178,30,99,75,4,4,178,0,0,,0,,99,284,144,1,0,0,1,0,102,0,Matches
179,Enzo Copetti,ar ARG,FW,Rosario Central,29-109,1996,12.5,364,15,28,176,165,38,364,11,6,54.5,5,45.5,166,819,313,11,8,6,30,13,244,42,Matches
180,Fabricio Corbalan,ar ARG,"DF,FW",Gimnasia–LP,21-218,2003,3.1,185,8,52,81,55,2,185,14,7,50.0,7,50.0,79,412,256,9,6,2,10,2,98,16,Matches
181,Nicolás Cordero,ar ARG,FW,Arg Juniors,26-024,1999,0.2,5,0,1,2,2,1,5,0,0,,0,,3,1,0,0,0,0,2,0,4,2,Matches
182,Nicolás Cordero,ar ARG,FW,Instituto,26-024,1999,4.9,171,4,13,74,86,28,171,5,3,60.0,2,40.0,61,218,84,2,3,1,11,4,102,23,Matches
183,Emanuel Coronel,ar ARG,DF,Rosario Central,28-093,1997,12.9,700,43,237,331,146,10,700,29,16,55.2,11,37.9,284,1574,854,22,14,4,20,10,300,32,Matches
184,Kevin Coronel,ar ARG,DF,Arg Juniors,20-267,2004,0.3,38,2,10,6,22,2,38,0,0,,0,,18,66,38,1,4,1,1,0,22,6,Matches
185,Mateo Coronel,ar ARG,FW,Atlé Tucumán,26-193,1998,9.4,315,0,20,133,164,46,315,20,6,30.0,14,70.0,192,997,441,17,12,3,20,13,236,80,Matches
186,Claudio Corvalán,ar ARG,DF,Unión,36-043,1989,11.0,750,58,312,368,75,12,750,1,0,0.0,1,100.0,380,2437,1749,17,7,1,5,1,432,19,Matches
187,Ayrton Costa,ar ARG,DF,Boca Juniors,25-297,1999,7.1,400,47,248,135,20,9,400,8,6,75.0,2,25.0,166,768,354,3,3,0,3,7,229,0,Matches
188,Leonard Costa,uy URU,DF,Ind. Rivadavia,27-007,1998,4.1,140,33,102,39,2,2,140,0,0,,0,,48,238,151,1,0,0,1,3,48,0,Matches
189,Giorgio Costantini,br BRA,FW,River Plate,19-019,2006,0.0,3,2,2,1,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
190,Juan Cozzani,ar ARG,GK,Platense,26-208,1998,16.0,452,326,444,8,0,0,452,0,0,,0,,214,1589,926,0,0,0,0,0,109,0,Matches
191,Thiago Cravero,ar ARG,MF,Belgrano,22-214,2002,2.0,115,4,23,85,7,0,115,0,0,,0,,50,231,55,1,0,0,0,1,67,1,Matches
192,Sebastián Cristóforo,uy URU,"MF,FW",Cen. Córdoba–SdE,31-255,1993,3.4,181,9,34,116,33,4,181,3,2,66.7,1,33.3,100,310,153,1,0,0,7,5,111,6,Matches
193,Juan Cruz Komar,ar ARG,DF,Rosario Central,28-265,1996,7.7,415,75,275,135,7,4,415,0,0,,0,,148,596,351,2,1,0,2,0,203,1,Matches
