Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Unnamed: 11_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 27_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
49,André Ferreira,pt POR,GK,Valladolid,es La Liga,28-340,1996,5,5,450,5.0,18,3.60,35,17,57.1,0,0,5,0,0.0,3,3,0,0,0.0,Matches
50,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-325,1993,33,33,2915,32.4,48,1.48,181,135,74.0,14,7,12,6,18.2,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
51,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-256,2000,31,31,2790,31.0,50,1.61,180,130,73.9,8,6,17,6,19.4,4,3,0,1,0.0,Matches
52,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,37-048,1988,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,Matches
53,Fran,es ESP,GK,Real Madrid,es La Liga,19-314,2005,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
54,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,32-011,1993,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
55,Joan García,es ESP,GK,Espanyol,es La Liga,24-000,2001,33,33,2970,33.0,42,1.27,166,122,77.1,10,9,14,7,21.2,6,4,2,0,33.3,Matches
56,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-122,1992,33,33,2925,32.5,50,1.54,133,81,63.9,9,8,16,6,18.2,5,2,3,0,60.0,Matches
57,David de Gea,es ESP,GK,Fiorentina,it Serie A,34-178,1990,31,31,2790,31.0,31,1.00,121,89,75.2,17,5,9,11,35.5,3,1,2,0,66.7,Matches
