Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 34_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
23,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-307,2000,31.0,30,2,0,3,2,30.9,0.29,+2.9,+0.09,114,347,32.9,809,159,28.3,32.4,179,65.9,49.3,280,20,7.1,40,1.29,14.4,Matches
24,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23-179,2001,31.0,32,4,0,4,1,38.7,0.33,+7.7,+0.25,106,272,39.0,886,129,26.6,29.9,104,34.6,36.0,341,20,5.9,20,0.65,13.4,Matches
25,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,35-038,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,8,37.5,34.4,21,2,9.5,2,2.00,16.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,36-012,1989,25.9,42,4,0,4,2,44.3,0.30,+4.3,+0.16,124,409,30.3,820,142,39.5,34.5,179,47.5,43.1,413,13,3.1,20,0.77,14.5,Matches
27,Diego Conde,es ESP,GK,Villarreal,es La Liga,26-188,1998,20.8,31,3,1,6,1,24.1,0.25,-5.9,-0.29,60,159,37.7,509,105,23.4,28.5,96,41.7,37.7,309,18,5.8,14,0.67,11.6,Matches
28,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26-031,1999,2.0,5,0,0,1,1,2.8,0.22,-1.2,-0.60,6,20,30.0,60,7,28.3,31.4,8,37.5,36.5,30,1,3.3,3,1.50,18.5,Matches
29,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32-358,1992,27.0,22,3,0,4,1,22.9,0.26,+1.9,+0.07,51,187,27.3,806,153,17.6,27.8,131,34.4,38.4,325,13,4.0,14,0.52,11.0,Matches
30,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27-038,1998,16.0,10,1,0,1,2,16.7,0.26,+8.7,+0.54,120,303,39.6,531,41,40.1,35.2,124,72.6,53.2,304,8,2.6,22,1.38,14.7,Matches
31,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,31-120,1994,6.0,13,1,1,1,1,12.0,0.30,0.0,+0.01,32,93,34.4,201,36,29.9,32.1,60,55.0,43.2,105,9,8.6,4,0.67,9.4,Matches
32,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-091,2001,2.0,3,1,0,0,0,3.5,0.22,+0.5,+0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.50,13.1,Matches
33,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28-313,1996,1.0,2,0,0,0,0,1.4,0.23,-0.6,-0.62,1,4,25.0,28,2,14.3,27.5,2,0.0,16.0,7,0,0.0,0,0.00,7.0,Matches
34,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,31-027,1994,18.0,38,2,1,4,0,38.7,0.40,+0.7,+0.04,56,151,37.1,404,72,28.5,30.9,117,30.8,29.6,277,12,4.3,7,0.39,11.9,Matches
35,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27-281,1997,29.0,28,5,0,6,0,24.0,0.23,-4.0,-0.14,108,278,38.8,750,110,28.3,30.8,129,51.2,42.1,396,25,6.3,26,0.90,13.1,Matches
36,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31-130,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80.0,53.6,51,3,5.9,16,4.00,25.7,Matches
37,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-169,1999,32.0,43,3,1,7,0,58.6,0.34,+15.6,+0.49,143,447,32.0,951,147,33.6,33.1,209,60.8,44.7,530,30,5.7,38,1.19,14.1,Matches
38,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,33-100,1992,27.0,42,7,1,6,2,42.1,0.29,+2.1,+0.08,162,656,24.7,632,93,65.7,47.4,263,91.6,66.3,506,39,7.7,41,1.52,14.0,Matches
39,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26-278,1998,0.2,0,0,0,0,0,0.0,,0.0,0.00,2,5,40.0,8,1,25.0,30.0,3,100.0,69.3,7,0,0.0,0,0.00,,Matches
40,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,26-068,1999,22.2,24,1,1,4,0,21.2,0.29,-2.8,-0.13,33,99,33.3,524,89,13.9,25.2,86,30.2,28.4,191,10,5.2,14,0.63,13.6,Matches
41,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,32-089,1993,21.0,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45.0,681,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8,Matches
42,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36-109,1989,10.0,12,0,0,1,0,12.9,0.32,+0.9,+0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.10,15.3,Matches
43,Ederson,br BRA,GK,Manchester City,eng Premier League,31-260,1993,22.8,25,2,0,3,1,27.8,0.37,+3.8,+0.17,65,146,44.5,761,91,17.2,27.7,67,22.4,32.0,200,11,5.5,42,1.84,17.5,Matches
44,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,40-016,1985,11.9,20,3,1,3,0,22.3,0.30,+2.3,+0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7,Matches
45,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-022,1995,35.0,57,8,3,5,3,50.7,0.26,-3.3,-0.09,200,587,34.1,932,113,50.5,38.4,166,69.9,49.2,509,25,4.9,18,0.51,11.0,Matches
46,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,21-117,2004,0.3,0,0,0,0,0,0.1,0.09,+0.1,+0.26,2,9,22.2,11,5,45.5,45.1,4,100.0,65.8,12,1,8.3,1,2.90,17.5,Matches
47,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,34-001,1991,1.0,0,0,0,0,0,1.2,0.23,+1.2,+1.15,19,35,54.3,34,4,70.6,44.4,11,100.0,59.9,14,1,7.1,1,1.00,10.6,Matches
