Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
37,Alexander Bah,dk DEN,DF,Benfica,27-147,1997,15.7,49,34,19,21,9,33,49,67.3,16,19,1,18,20,69,18,0,Matches
38,Adrian Bajrami,al ALB,DF,Benfica,23-030,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
39,Theofanis Bakoulas,gr GRE,MF,Rio Ave,20-121,2005,2.3,3,2,2,1,0,1,4,25.0,3,2,0,2,4,7,5,0,Matches
40,Elves Baldé,gw GNB,"MF,FW",Farense,25-215,1999,11.6,14,8,4,8,2,7,16,43.8,9,10,0,10,6,20,10,0,Matches
41,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,20-209,2004,8.6,15,10,8,6,1,9,19,47.4,10,8,4,4,13,28,29,2,Matches
42,Robson Bambu,br BRA,DF,Braga,27-174,1997,11.2,15,5,10,5,0,9,11,81.8,2,12,8,4,6,21,59,3,Matches
43,Chico Banza,ao ANG,FW,Estrela,26-139,1998,6.3,7,5,0,5,2,2,8,25.0,6,10,1,9,1,8,8,1,Matches
44,Simon Banza,cd COD,FW,Braga,28-265,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
45,Rafael Barbosa,pt POR,"MF,FW",Farense,29-037,1996,4.0,1,1,0,1,0,0,2,0.0,2,4,0,4,2,3,1,0,Matches
46,Leandro Barreiro Martins,lu LUX,MF,Benfica,25-122,2000,12.5,30,16,4,18,8,14,26,53.8,12,14,2,12,8,38,10,0,Matches
47,Afonso Bastardo,pt POR,FW,Sporting CP,20-047,2005,0.0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
48,Gil Bastião Dias,pt POR,"FW,MF",Famalicão,28-219,1996,14.5,30,19,13,11,6,10,34,29.4,24,23,5,18,11,41,22,0,Matches
49,Gabriel Batista,br BRA,GK,Santa Clara,26-336,1998,32.0,3,1,3,0,0,2,2,100.0,0,0,0,0,0,3,20,0,Matches
50,Gilberto Batista,gw GNB,DF,Moreirense,21-127,2003,3.2,4,3,4,0,0,3,4,75.0,1,2,2,0,3,7,17,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
52,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23-305,2001,19.5,16,9,2,9,5,5,9,55.6,4,16,3,13,6,22,15,0,Matches
53,Gui Beleza,pt POR,MF,Gil Vicente FC,18-147,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
54,Bachir Belloumi,dz ALG,FW,Farense,22-338,2002,3.0,7,4,2,4,1,3,6,50.0,3,9,2,7,3,10,2,0,Matches
55,Andrea Belotti,it ITA,FW,Benfica,31-136,1993,4.5,7,4,1,3,3,2,5,40.0,3,3,0,3,1,8,4,0,Matches
56,Fahem Benaissa Yahia,fr FRA,"DF,MF",Casa Pia,23-006,2002,2.5,4,2,1,2,1,2,2,100.0,0,5,1,4,9,13,6,0,Matches
57,Beni,ao ANG,MF,Vitória,22-349,2002,0.5,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,0,0,Matches
58,Beni,ao ANG,MF,Casa Pia,22-349,2002,8.3,18,13,9,9,0,10,16,62.5,6,7,2,5,11,29,18,1,Matches
59,Álex Bermejo,es ESP,"MF,FW",Farense,26-145,1998,6.3,9,5,2,5,2,5,20,25.0,15,5,2,3,2,11,7,0,Matches
60,Sergio Bermejo,es ESP,"MF,FW",Gil Vicente FC,27-261,1997,4.5,10,5,7,1,2,5,6,83.3,1,3,0,3,3,13,3,0,Matches
61,Simão Bertelli,br BRA,GK,AVS Futebol,31-337,1993,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches
62,Jan-Niklas Beste,de GER,"FW,DF",Benfica,26-121,1999,5.6,19,15,5,10,4,9,14,64.3,5,4,0,4,4,23,4,0,Matches
63,José Bica,pt POR,"FW,MF",Vitória,21-323,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
64,Biel,br BRA,"MF,FW",Sporting CP,24-034,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
65,Raúl Blanco,es ESP,FW,Casa Pia,23-278,2001,2.8,3,2,0,1,2,2,5,40.0,3,2,1,1,2,5,1,0,Matches
66,Paulinho Bóia,br BRA,"FW,MF",Nacional,26-313,1998,10.0,9,5,3,4,2,6,15,40.0,9,11,0,11,7,16,6,0,Matches
67,Kévin Boma,tg TOG,DF,Estoril,22-166,2002,25.4,45,32,29,14,2,25,34,73.5,9,17,10,7,40,85,116,1,Matches
68,Pedro Bondo,ao ANG,"DF,MF",Famalicão,20-170,2004,1.4,3,0,3,0,0,2,2,100.0,0,0,0,0,0,3,4,0,Matches
69,Kiko Bondoso,pt POR,"FW,MF",Rio Ave,29-169,1995,20.8,34,23,19,10,5,17,32,53.1,15,13,0,13,10,44,8,0,Matches
70,Toni Borevkovic,hr CRO,DF,Vitória,27-321,1997,24.9,27,16,19,8,0,14,18,77.8,4,25,18,7,30,57,140,3,Matches
71,Daniel Borges,br BRA,"MF,FW",Santa Clara,22-029,2003,2.0,9,4,1,3,5,5,9,55.6,4,2,2,0,5,14,4,0,Matches
72,Gonçalo Borges,pt POR,"FW,MF",Porto,24-037,2001,7.8,10,5,0,5,5,4,8,50.0,4,6,0,6,2,12,0,0,Matches
73,Róbert Boženík,sk SVK,FW,Boavista,25-168,1999,27.6,12,7,3,3,6,4,12,33.3,8,17,2,15,6,18,34,0,Matches
74,Daniel Bragança,pt POR,MF,Sporting CP,25-343,1999,12.0,26,15,5,12,9,14,22,63.6,8,14,1,13,4,30,7,1,Matches
75,Bruno Brigido,br BRA,GK,Estrela,34-057,1991,17.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Alexandre Brito,pt POR,"MF,DF",Sporting CP,19-290,2005,1.0,5,3,3,2,0,1,1,100.0,0,2,1,1,1,6,0,0,Matches
77,Rafael Brito,pt POR,MF,Casa Pia,23-106,2002,11.1,23,14,10,11,2,12,22,54.5,10,16,3,13,19,42,18,1,Matches
78,Tiago Brito,pt POR,MF,Estoril,21-019,2004,0.8,4,1,1,3,0,4,4,100.0,0,1,0,1,0,4,0,0,Matches
79,Bruma,pt POR,"FW,MF",Braga,30-193,1994,13.4,9,5,1,5,3,8,15,53.3,7,3,0,3,3,12,2,0,Matches
80,Bruma,pt POR,"FW,MF",Benfica,30-193,1994,5.0,6,5,2,2,2,1,4,25.0,3,1,0,1,0,6,0,0,Matches
81,Jonathan Buatu Mananga,ao ANG,DF,Gil Vicente FC,31-220,1993,18.3,22,15,12,10,0,15,18,83.3,3,26,16,10,16,38,93,1,Matches
82,Leonel Bucca,ar ARG,"MF,FW",Estrela,26-046,1999,12.8,28,15,12,14,2,14,27,51.9,13,17,6,11,13,41,14,1,Matches
83,Leonardo Buta,pt POR,DF,Moreirense,22-334,2002,4.6,7,3,4,2,1,6,9,66.7,3,1,0,1,3,10,23,1,Matches
84,Adrián Butzke,es ESP,FW,Nacional,26-036,1999,5.4,4,2,0,4,0,2,4,50.0,2,2,0,2,3,7,6,0,Matches
85,Arthur Cabral,br BRA,FW,Benfica,27-010,1998,4.1,3,2,0,1,2,1,1,100.0,0,3,0,3,0,3,3,0,Matches
86,Daniel Cabral,br BRA,MF,Estrela,22-356,2002,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
87,Jovane Cabral,cv CPV,"FW,MF",Estrela,26-325,1998,10.2,29,17,15,10,4,15,29,51.7,14,18,3,15,8,37,5,0,Matches
88,Lucas Calegari,br BRA,DF,Famalicão,23-067,2002,16.5,36,20,20,14,2,15,25,60.0,10,14,5,9,11,47,33,0,Matches
89,Diogo Calila,pt POR,"MF,DF",Santa Clara,26-207,1998,19.1,43,22,23,16,4,27,45,60.0,18,23,5,18,12,55,62,0,Matches
90,Ibrahima Camará,gn GUI,MF,Boavista,26-100,1999,14.8,16,10,5,10,1,10,19,52.6,9,17,5,12,19,35,44,0,Matches
91,André Candeias,pt POR,"FW,MF",Farense,22-105,2003,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
92,Lazar Carević,me MNE,GK,Famalicão,26-050,1999,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2,Matches
93,Zé Carlos,pt POR,"MF,DF",Vitória,23-187,2001,1.4,6,4,3,3,0,2,4,50.0,2,1,0,1,3,9,4,0,Matches
94,Zé Carlos,pt POR,MF,Farense,23-187,2001,7.4,25,15,8,15,2,12,20,60.0,8,10,1,9,9,34,13,0,Matches
95,Zé Carlos,pt POR,DF,Gil Vicente FC,26-278,1998,28.1,53,41,26,21,6,37,61,60.7,24,29,11,18,43,96,110,3,Matches
96,Álvaro Carreras,es ESP,DF,Benfica,22-043,2003,28.6,55,36,26,23,6,33,51,64.7,18,24,8,16,40,95,70,3,Matches
97,João Carvalho,pt POR,"MF,FW",Estoril,28-057,1997,24.0,32,19,9,10,13,22,49,44.9,27,18,3,15,8,40,11,1,Matches
98,Pedro Carvalho,pt POR,"DF,MF",Estoril,22-080,2003,7.1,19,13,14,5,0,10,16,62.5,6,5,2,3,9,28,22,0,Matches
99,Vitor Carvalho,br BRA,MF,Braga,27-343,1997,16.5,33,20,10,20,3,18,31,58.1,13,13,3,10,22,55,28,0,Matches
100,Facundo Cáseres,ar ARG,MF,Gil Vicente FC,23-342,2001,13.8,34,22,19,12,3,15,23,65.2,8,31,11,20,14,48,34,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Cassiano,br BRA,FW,Casa Pia,35-323,1989,20.0,20,12,7,8,5,5,15,33.3,10,17,2,15,3,23,11,0,Matches
102,Jesús Castillo,pe PER,MF,Gil Vicente FC,23-328,2001,9.1,14,6,3,10,1,11,20,55.0,9,13,4,9,10,24,17,1,Matches
103,André Castro,pt POR,MF,Moreirense,37-033,1988,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
104,Cristian Castro,co COL,DF,AVS Futebol,24-100,2001,27.6,31,26,22,6,3,19,26,73.1,7,21,12,9,30,61,171,3,Matches
105,Geny Catamo,mz MOZ,"MF,DF",Sporting CP,24-099,2001,19.3,25,12,7,9,9,18,28,64.3,10,17,0,17,8,33,14,1,Matches
106,Cauê,br BRA,FW,Gil Vicente FC,22-170,2002,7.4,6,2,1,4,1,1,4,25.0,3,9,2,7,2,8,15,0,Matches
107,Cauê,br BRA,"FW,MF",Casa Pia,22-170,2002,3.9,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,2,0,Matches
108,César,br BRA,GK,Boavista,33-098,1992,16.0,2,2,2,0,0,1,4,25.0,3,0,0,0,0,2,4,4,Matches
109,Tidjany Chabrol,fr FRA,"FW,MF",Gil Vicente FC,22-294,2002,11.6,20,16,10,7,3,12,25,48.0,13,14,1,13,5,25,11,0,Matches
110,Kevin Chamorro,cr CRC,GK,Estoril,25-027,2000,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches
111,Francisco Chissumba,pt POR,DF,Braga,19-341,2005,14.0,23,16,12,10,1,16,34,47.1,18,11,1,10,13,36,53,0,Matches
112,Till Cissokho,fr FRA,DF,Estrela,25-086,2000,4.0,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,12,1,Matches
113,Clayton,br BRA,DF,AVS Futebol,25-031,2000,2.0,0,0,0,0,0,0,3,0.0,3,5,1,4,1,1,7,0,Matches
