Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
22,Facundo Almada,ar ARG,DF,Mazatlán,26-299,1998,24,20,1758,19.5,1,0,1,1,0,0,3,1,2.4,2.4,0.1,2.5,6,44,4,0.05,0.00,0.05,0.05,0.05,0.12,0.00,0.13,0.12,0.13,Matches
23,Carlos Alonso Vargas,mx MEX,"DF,FW",Cruz Azul,26-080,1999,5,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,25-051,2000,12,2,372,4.1,1,0,1,1,0,0,0,0,1.2,1.2,0.1,1.3,3,7,26,0.24,0.00,0.24,0.24,0.24,0.30,0.02,0.32,0.30,0.32,Matches
25,Alfonso Alvarado,mx MEX,"FW,MF",León,25-051,2000,16,8,758,8.4,3,2,5,3,0,0,1,0,1.9,1.9,1.1,3.0,9,12,33,0.36,0.24,0.59,0.36,0.59,0.23,0.13,0.36,0.23,0.36,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Daniel Alvarado,mx MEX,MF,América,20-229,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,6.01,0.00,6.01,6.01,6.01,Matches
27,Roberto Alvarado,mx MEX,"MF,FW",Guadalajara,26-240,1998,30,29,2369,26.3,9,7,16,6,3,4,5,0,7.0,3.9,6.1,10.0,76,137,182,0.34,0.27,0.61,0.23,0.49,0.27,0.23,0.50,0.15,0.38,Matches
28,Ventura Alvarado,us USA,DF,Mazatlán,32-262,1992,5,5,392,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Alek Álvarez,mx MEX,MF,Necaxa,22-033,2003,6,5,321,3.6,0,2,2,0,0,0,0,0,,,,,,,,0.00,0.56,0.56,0.00,0.56,,,,,,Matches
30,Antonio Álvarez,mx MEX,"FW,MF",América,21-130,2003,4,2,113,1.3,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.0,2,4,7,0.80,0.00,0.80,0.80,0.80,0.76,0.04,0.80,0.76,0.80,Matches
31,Daniel Álvarez,mx MEX,"MF,FW",Puebla,30-287,1994,13,6,527,5.9,0,0,0,0,0,0,1,0,0.9,0.9,0.6,1.5,19,16,40,0.00,0.00,0.00,0.00,0.00,0.15,0.10,0.25,0.15,0.25,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",Tijuana,22-320,2002,30,26,2239,24.9,4,5,9,4,0,0,1,0,3.0,3.0,7.3,10.3,72,128,217,0.16,0.20,0.36,0.16,0.36,0.12,0.29,0.41,0.12,0.41,Matches
33,Gael Álvarez,mx MEX,FW,Pachuca,19-057,2006,5,2,227,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,12,7,22,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,Matches
34,Jaime Alvarez,mx MEX,"FW,MF",FC Juárez,22-074,2003,2,0,41,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
35,Jaime Alvarez,mx MEX,"FW,MF",Tijuana,22-074,2003,11,2,339,3.8,1,0,1,1,0,0,0,0,0.6,0.6,0.6,1.2,22,6,44,0.27,0.00,0.27,0.27,0.27,0.15,0.17,0.31,0.15,0.31,Matches
36,Kevin Álvarez,mx MEX,DF,América,26-110,1999,21,14,1368,15.2,0,2,2,0,0,0,2,1,0.7,0.7,1.8,2.5,60,45,76,0.00,0.13,0.13,0.00,0.13,0.05,0.12,0.17,0.05,0.17,Matches
37,Luis Amarilla,py PAR,FW,Mazatlán,29-253,1995,19,15,1392,15.5,3,2,5,2,1,2,2,0,5.1,3.5,1.6,5.1,15,26,63,0.19,0.13,0.32,0.13,0.26,0.33,0.10,0.43,0.23,0.33,Matches
38,Frankie Amaya,us USA,MF,Toluca,24-221,2000,14,2,360,4.0,0,2,2,0,0,0,1,0,0.2,0.2,1.0,1.2,8,22,12,0.00,0.50,0.50,0.00,0.50,0.04,0.25,0.30,0.04,0.30,Matches
39,Fidel Ambríz,mx MEX,MF,Monterrey,22-045,2003,23,12,1194,13.3,1,0,1,1,0,0,2,0,0.6,0.6,0.3,0.8,7,51,7,0.08,0.00,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06,Matches
40,Fidel Ambríz,mx MEX,MF,León,22-045,2003,5,5,421,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,9,20,16,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
41,Bruno Amione,ar ARG,DF,Santos,23-122,2002,19,17,1523,16.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,15,35,11,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
42,Esteban Andrada,ar ARG,GK,Monterrey,34-099,1991,24,24,2160,24.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Alejandro Andrade,mx MEX,"DF,MF",Necaxa,23-262,2001,14,6,515,5.7,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.2,3,16,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
44,Luis Ángel Malagón,mx MEX,GK,América,28-064,1997,29,29,2565,28.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Brayan Angulo,co COL,"DF,MF",Puebla,35-184,1989,32,29,2530,28.1,0,4,4,0,0,0,6,2,1.3,1.3,2.3,3.5,57,129,83,0.00,0.14,0.14,0.00,0.14,0.05,0.08,0.13,0.05,0.13,Matches
46,Jesús Angulo,mx MEX,"MF,FW",Toluca,28-074,1997,32,23,1813,20.1,8,8,16,8,0,0,1,0,5.7,5.7,4.9,10.7,56,121,96,0.40,0.40,0.79,0.40,0.79,0.29,0.24,0.53,0.29,0.53,Matches
47,José Antonio Rodríguez,mx MEX,GK,Tijuana,32-305,1992,21,21,1880,20.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,27-257,1997,5,2,231,2.6,0,0,0,0,0,0,0,0,1.2,1.2,0.3,1.5,3,9,33,0.00,0.00,0.00,0.00,0.00,0.48,0.12,0.60,0.48,0.60,Matches
49,Uriel Antuna,mx MEX,"FW,MF",UANL,27-257,1997,26,7,785,8.7,0,3,3,0,0,0,1,0,2.1,2.1,3.2,5.3,28,40,117,0.00,0.34,0.34,0.00,0.34,0.24,0.37,0.60,0.24,0.60,Matches
50,Javier Aquino,mx MEX,DF,UANL,35-083,1990,30,29,2609,29.0,0,0,0,0,0,0,7,1,0.2,0.2,1.7,1.9,48,197,161,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Pedro Aquino,pe PER,MF,Santos,30-022,1995,13,9,664,7.4,0,0,0,0,0,0,4,1,0.1,0.1,0.1,0.2,2,27,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
52,Diego Araujo,mx MEX,MF,Querétaro,22-076,2003,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
53,Maximiliano Araújo,uy URU,FW,Toluca,25-079,2000,2,1,103,1.1,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,2,2,8,0.87,0.00,0.87,0.87,0.87,0.46,0.06,0.52,0.46,0.52,Matches
54,Néstor Araujo,mx MEX,DF,América,33-249,1991,16,14,1209,13.4,0,2,2,0,0,0,1,0,0.6,0.6,1.0,1.6,4,23,0,0.00,0.15,0.15,0.00,0.15,0.05,0.07,0.12,0.05,0.12,Matches
55,Fernando Arce Jr.,us USA,"MF,FW",Puebla,28-159,1996,6,1,197,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,2,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
56,Fernando Arce Jr.,us USA,MF,Necaxa,28-159,1996,15,12,1036,11.5,2,0,2,2,0,0,5,0,1.8,1.8,0.3,2.1,7,32,8,0.17,0.00,0.17,0.17,0.17,0.16,0.03,0.18,0.16,0.18,Matches
57,Ramiro Árciga,mx MEX,"MF,FW",Tijuana,20-248,2004,9,2,296,3.3,0,3,3,0,0,0,3,0,0.1,0.1,1.5,1.6,5,11,19,0.00,0.91,0.91,0.00,0.91,0.03,0.45,0.48,0.03,0.48,Matches
58,Ramiro Árciga,mx MEX,"MF,FW",Mazatlán,20-248,2004,17,11,953,10.6,0,0,0,0,0,0,2,0,1.1,1.1,2.2,3.3,46,41,120,0.00,0.00,0.00,0.00,0.00,0.11,0.21,0.31,0.11,0.31,Matches
59,Eduardo Armenta,mx MEX,MF,Querétaro,23-140,2001,6,3,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Aarón Arredondo,mx MEX,MF,América,22-065,2003,2,2,179,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,12,2,0.00,0.50,0.50,0.00,0.50,0.02,0.15,0.17,0.02,0.17,Matches
61,Diego Arriaga,mx MEX,"FW,MF",América,21-005,2004,4,2,146,1.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,0,2,14,0.00,0.00,0.00,0.00,0.00,0.25,0.03,0.28,0.25,0.28,Matches
62,Gerardo Arteaga,mx MEX,DF,Monterrey,26-240,1998,30,25,2295,25.5,1,1,2,1,0,0,3,0,0.9,0.9,2.0,2.9,46,133,158,0.04,0.04,0.08,0.04,0.08,0.04,0.08,0.11,0.04,0.11,Matches
63,Víctor Arteaga,mx MEX,MF,Toluca,21-068,2004,21,8,825,9.2,0,1,1,0,0,0,5,1,0.1,0.1,0.2,0.3,5,37,5,0.00,0.11,0.11,0.00,0.11,0.01,0.02,0.04,0.01,0.04,Matches
64,Ali Ávila,mx MEX,"FW,MF",UNAM,21-224,2003,15,0,228,2.5,1,0,1,1,0,0,0,0,0.6,0.6,0.6,1.2,6,14,22,0.39,0.00,0.39,0.39,0.39,0.23,0.22,0.46,0.23,0.46,Matches
65,Ettson Ayon,mx MEX,FW,León,24-040,2001,16,6,519,5.8,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.6,7,6,25,0.17,0.00,0.17,0.17,0.17,0.08,0.03,0.11,0.08,0.11,Matches
66,Angel Azuaje,ve VEN,DF,UNAM,20-222,2004,4,3,216,2.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,4,0,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
67,Tomás Badaloni,ar ARG,FW,Necaxa,25-003,2000,27,7,930,10.3,4,0,4,4,0,0,2,0,4.9,4.9,0.4,5.2,12,16,66,0.39,0.00,0.39,0.39,0.39,0.47,0.04,0.51,0.47,0.51,Matches
68,Claudio Baeza,cl CHI,"MF,DF",Toluca,31-133,1993,16,12,1016,11.3,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1.1,7,56,8,0.00,0.09,0.09,0.00,0.09,0.02,0.07,0.09,0.02,0.09,Matches
