Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
595,Brad Smith,au AUS,"DF,MF",FC Cincinnati,31-026,1994,1.4,43,57,75.4,593,144,31,35,88.6,10,13,76.9,2,6,33.3,0,0.0,0.1,0.0,0,0,0,0,2,Matches
596,Ian Smith,us USA,DF,Portland Timbers,22-293,2002,3.3,163,189,86.2,3010,1105,61,67,91.0,90,94,95.7,10,21,47.6,0,0.0,0.0,0.0,0,11,0,0,11,Matches
597,Kyle Smith,us USA,"DF,MF",Orlando City,33-116,1992,4.5,197,244,80.7,3544,1316,86,95,90.5,93,103,90.3,15,39,38.5,1,0.6,0.3,+0.4,2,10,0,0,12,Matches
598,Artem Smoliakov,ua UKR,"DF,MF",LAFC,21-341,2003,2.9,126,155,81.3,2013,452,60,62,96.8,61,76,80.3,3,11,27.3,0,0.1,0.2,-0.1,1,7,2,1,13,Matches
599,Mohammed Sofo,gh GHA,FW,NY Red Bulls,20-186,2004,2.6,29,36,80.6,291,69,23,24,95.8,5,8,62.5,0,1,0.0,0,1.1,0.0,-1.1,3,3,0,0,1,Matches
600,Tyrese Spicer,tt TRI,"FW,MF",Toronto FC,24-152,2000,3.5,79,112,70.5,1334,379,45,51,88.2,21,32,65.6,10,19,52.6,0,0.5,0.5,-0.5,7,4,3,3,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
601,Dayne St. Clair,ca CAN,GK,Minnesota Utd,27-361,1997,10.0,180,315,57.1,5850,4448,25,25,100.0,81,83,97.6,74,204,36.3,0,0.0,0.0,0.0,0,6,0,0,0,Matches
602,Lazar Stefanovic,ca CAN,"DF,MF",Toronto FC,18-268,2006,1.2,66,73,90.4,1256,509,20,23,87.0,41,42,97.6,4,6,66.7,0,0.0,0.0,0.0,0,6,0,0,1,Matches
603,Zack Steffen,us USA,GK,Colorado Rapids,30-033,1995,9.0,183,299,61.2,5764,4417,21,22,95.5,88,89,98.9,74,187,39.6,0,0.0,0.0,0.0,0,11,1,0,0,Matches
