Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
27,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,25-051,2000,12,372,31,12.2,4.1,2,71,0,10,23,5,1.38,9,7,+2,+0.48,+0.02,4.2,4.1,+0.1,+0.02,-0.44,Matches
28,Alfonso Alvarado,mx MEX,"FW,MF",León,25-051,2000,16,758,47,24.8,8.4,8,80,4,8,15,1,1.13,13,10,+3,+0.36,+0.43,8.8,11.0,-2.1,-0.25,-0.14,Matches
29,Daniel Alvarado,mx MEX,MF,América,20-229,2004,1,1,1,0.0,0.0,0,,0,1,1,1,1.00,0,0,0,0.00,-0.88,0.2,0.0,+0.2,+15.06,+14.21,Matches
30,Roberto Alvarado,mx MEX,"MF,FW",Guadalajara,26-240,1998,30,2369,79,77.4,26.3,29,81,13,1,24,0,1.35,34,27,+7,+0.27,+0.40,31.4,24.9,+6.5,+0.25,+0.13,Matches
31,Ventura Alvarado,us USA,DF,Mazatlán,32-262,1992,5,392,78,12.8,4.4,5,78,2,0,,6,0.40,3,7,-4,-0.92,-0.41,6.0,5.5,+0.5,+0.11,+0.40,Matches
32,Alek Álvarez,mx MEX,MF,Necaxa,22-033,2003,6,321,54,10.5,3.6,5,62,0,1,12,1,2.00,10,8,+2,+0.56,+0.59,,,,,,Matches
33,Antonio Álvarez,mx MEX,"FW,MF",América,21-130,2003,4,113,28,3.7,1.3,2,51,0,2,6,2,1.75,1,0,+1,+0.80,-0.09,2.8,0.6,+2.2,+1.76,+0.94,Matches
34,Daniel Álvarez,mx MEX,"MF,FW",Puebla,30-287,1994,13,527,41,17.2,5.9,6,70,1,7,16,4,1.08,5,12,-7,-1.20,-0.48,7.0,8.4,-1.4,-0.23,+0.22,Matches
35,Efrain Alvarez,mx MEX,"FW,MF",Tijuana,22-320,2002,30,2239,75,73.2,24.9,26,80,16,4,38,0,1.41,32,46,-14,-0.56,-1.33,31.7,44.8,-13.1,-0.53,-0.54,Matches
36,Gael Álvarez,mx MEX,FW,Pachuca,19-057,2006,5,227,45,7.4,2.5,2,74,0,3,27,1,1.00,3,2,+1,+0.40,+0.52,3.0,1.6,+1.4,+0.56,+0.34,Matches
37,Jaime Alvarez,mx MEX,"FW,MF",FC Juárez,22-074,2003,2,41,21,1.3,0.5,0,,0,2,21,9,2.00,1,1,0,0.00,+0.57,0.6,0.6,0.0,-0.05,+0.48,Matches
38,Jaime Alvarez,mx MEX,"FW,MF",Tijuana,22-074,2003,11,339,31,11.1,3.8,2,52,0,9,26,6,1.69,6,5,+1,+0.27,+0.53,5.2,6.6,-1.4,-0.37,+0.02,Matches
39,Kevin Álvarez,mx MEX,DF,América,26-110,1999,21,1368,65,44.7,15.2,14,85,9,7,25,1,1.96,38,10,+28,+1.84,+1.74,28.8,12.9,+15.9,+1.05,+0.33,Matches
40,Luis Amarilla,py PAR,FW,Mazatlán,29-253,1995,19,1392,73,45.5,15.5,15,84,13,4,33,0,0.74,12,27,-15,-0.97,-0.75,15.5,23.1,-7.6,-0.49,-0.47,Matches
41,Frankie Amaya,us USA,MF,Toluca,24-221,2000,14,360,26,11.8,4.0,2,62,0,12,20,17,1.73,11,6,+5,+1.25,+0.05,7.2,5.2,+2.0,+0.50,+0.01,Matches
42,Fidel Ambríz,mx MEX,MF,Monterrey,22-045,2003,23,1194,52,39.0,13.3,12,82,7,11,19,5,1.68,21,16,+5,+0.38,-0.15,18.9,17.4,+1.5,+0.11,-0.48,Matches
43,Fidel Ambríz,mx MEX,MF,León,22-045,2003,5,421,84,13.8,4.7,5,84,4,0,,0,0.80,5,8,-3,-0.64,-0.78,5.0,6.6,-1.6,-0.35,-0.23,Matches
44,Bruno Amione,ar ARG,DF,Santos,23-122,2002,19,1523,80,49.8,16.9,17,84,14,2,46,2,0.53,12,31,-19,-1.12,+0.05,18.2,36.4,-18.2,-1.07,-0.55,Matches
45,Esteban Andrada,ar ARG,GK,Monterrey,34-099,1991,24,2160,90,70.6,24.0,24,90,24,0,,9,1.65,38,29,+9,+0.37,-0.32,32.8,27.5,+5.3,+0.22,-0.64,Matches
46,Alejandro Andrade,mx MEX,"DF,MF",Necaxa,23-262,2001,14,515,37,16.8,5.7,6,70,2,8,12,5,1.64,15,15,0,0.00,-0.04,9.4,8.5,+0.9,+0.16,+0.31,Matches
47,Luis Ángel Malagón,mx MEX,GK,América,28-064,1997,29,2565,88,83.8,28.5,29,88,28,0,,2,1.97,55,27,+28,+0.98,+0.62,47.4,23.8,+23.6,+0.83,-0.22,Matches
48,Brayan Angulo,co COL,"DF,MF",Puebla,35-184,1989,32,2530,79,82.7,28.1,29,84,22,3,27,0,0.72,25,41,-16,-0.57,+1.30,28.9,35.6,-6.8,-0.24,+0.97,Matches
49,Jesús Angulo,mx MEX,"MF,FW",Toluca,28-074,1997,32,1813,57,59.2,20.1,23,69,3,9,24,2,2.09,47,20,+27,+1.34,+0.33,34.8,21.1,+13.7,+0.68,+0.48,Matches
50,José Antonio Rodríguez,mx MEX,GK,Tijuana,32-305,1992,21,1880,90,61.4,20.9,21,90,20,0,,9,1.64,35,36,-1,-0.05,+0.41,26.5,33.1,-6.7,-0.32,+0.16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
51,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,27-257,1997,5,231,46,7.5,2.6,2,80,0,3,24,0,2.60,3,0,+3,+1.17,+0.09,4.6,0.9,+3.7,+1.44,+0.79,Matches
52,Uriel Antuna,mx MEX,"FW,MF",UANL,27-257,1997,26,785,30,25.7,8.7,7,67,0,19,17,3,1.79,8,11,-3,-0.34,-1.25,14.6,10.0,+4.6,+0.52,+0.17,Matches
53,Javier Aquino,mx MEX,DF,UANL,35-083,1990,30,2609,87,85.3,29.0,29,89,25,1,31,0,1.88,42,28,+14,+0.48,-0.71,41.8,31.5,+10.2,+0.35,-0.30,Matches
54,Pedro Aquino,pe PER,MF,Santos,30-022,1995,13,664,51,21.7,7.4,9,62,0,4,27,8,0.23,3,15,-12,-1.63,-0.61,6.5,14.3,-7.8,-1.06,-0.33,Matches
55,Diego Araujo,mx MEX,MF,Querétaro,22-076,2003,2,108,54,3.5,1.2,1,90,1,1,18,1,0.00,0,2,-2,-1.67,-0.97,0.2,1.9,-1.7,-1.38,-0.63,Matches
56,Maximiliano Araújo,uy URU,FW,Toluca,25-079,2000,2,103,52,3.4,1.1,1,74,0,1,29,0,2.00,2,0,+2,+1.75,+0.56,0.8,1.6,-0.8,-0.71,-1.23,Matches
57,Néstor Araujo,mx MEX,DF,América,33-249,1991,16,1209,76,39.5,13.4,14,84,9,2,14,13,1.84,13,18,-5,-0.37,-2.07,17.1,12.4,+4.7,+0.35,-0.85,Matches
58,Fernando Arce Jr.,us USA,"MF,FW",Puebla,28-159,1996,6,197,33,6.4,2.2,1,90,1,5,21,7,0.50,1,5,-4,-1.83,-1.10,2.6,4.0,-1.4,-0.64,-0.24,Matches
59,Fernando Arce Jr.,us USA,MF,Necaxa,28-159,1996,15,1036,69,33.9,11.5,12,81,6,3,21,1,0.93,12,16,-4,-0.35,-0.57,12.8,15.5,-2.8,-0.24,-0.23,Matches
60,Ramiro Árciga,mx MEX,"MF,FW",Tijuana,20-248,2004,9,296,33,9.7,3.3,2,75,0,7,21,7,1.33,8,8,0,0.00,+0.23,4.2,5.1,-0.9,-0.27,+0.12,Matches
61,Ramiro Árciga,mx MEX,"MF,FW",Mazatlán,20-248,2004,17,953,56,31.1,10.6,11,71,2,6,29,0,0.82,6,13,-7,-0.66,-0.15,13.8,14.3,-0.5,-0.05,+0.27,Matches
62,Eduardo Armenta,mx MEX,FW,Tijuana,23-140,2001,0,,,,,0,,0,0,,3,3.00,,,,,,,,,,,Matches
63,Eduardo Armenta,mx MEX,MF,Querétaro,23-140,2001,6,206,34,6.7,2.3,3,58,0,3,11,6,0.67,4,3,+1,+0.44,+1.26,1.3,3.0,-1.7,-0.76,+0.02,Matches
64,Kevin Armenta,mx MEX,FW,Necaxa,19-066,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
65,Aarón Arredondo,mx MEX,MF,América,22-065,2003,2,179,90,5.8,2.0,2,90,1,0,,6,2.00,2,1,+1,+0.50,-0.40,4.7,1.0,+3.6,+1.83,+1.02,Matches
66,Diego Arriaga,mx MEX,"FW,MF",América,21-005,2004,4,146,37,4.8,1.6,2,61,0,2,13,2,1.75,1,1,0,0.00,-0.93,2.7,1.2,+1.4,+0.88,+0.02,Matches
67,Gerardo Arteaga,mx MEX,DF,Monterrey,26-240,1998,30,2295,77,75.0,25.5,25,88,22,5,20,0,1.66,48,28,+20,+0.78,+1.25,40.6,25.8,+14.8,+0.58,+0.69,Matches
68,Víctor Arteaga,mx MEX,MF,Toluca,21-068,2004,21,825,39,27.0,9.2,8,75,2,13,18,4,2.24,17,10,+7,+0.76,-0.61,13.9,10.6,+3.3,+0.36,-0.18,Matches
69,Ali Ávila,mx MEX,"FW,MF",UNAM,21-224,2003,15,228,15,7.5,2.5,0,,0,15,15,17,1.24,7,0,+7,+2.76,+2.83,4.2,2.5,+1.8,+0.70,+0.34,Matches
70,David Ayala,mx MEX,FW,UANL,24-335,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
71,Ettson Ayon,mx MEX,FW,León,24-040,2001,16,519,32,17.0,5.8,6,62,0,10,15,8,1.88,6,7,-1,-0.17,-0.24,3.4,8.1,-4.7,-0.81,-0.80,Matches
72,Luis Ayon,mx MEX,MF,Monterrey,22-234,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
73,Angel Azuaje,ve VEN,DF,UNAM,20-222,2004,4,216,54,7.1,2.4,3,67,1,1,14,6,0.75,1,4,-3,-1.25,-1.50,1.7,3.3,-1.6,-0.67,-1.13,Matches
74,Tomás Badaloni,ar ARG,FW,Necaxa,25-003,2000,27,930,34,30.4,10.3,7,77,4,20,20,2,1.41,21,26,-5,-0.48,-0.74,14.5,18.1,-3.6,-0.35,-0.36,Matches
75,Claudio Baeza,cl CHI,"MF,DF",Toluca,31-133,1993,16,1016,64,33.2,11.3,12,77,6,4,22,1,1.94,24,13,+11,+0.97,-0.35,16.7,15.0,+1.7,+0.15,-0.50,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
76,Kevin Balanta,co COL,DF,Tijuana,28-007,1997,10,681,68,22.3,7.6,8,74,4,2,45,4,1.71,8,12,-4,-0.53,-0.42,9.1,14.2,-5.1,-0.68,-0.38,Matches
77,Fidel Barajas,mx MEX,"MF,FW",Guadalajara,19-030,2006,5,87,17,2.8,1.0,0,,0,5,17,9,1.40,2,1,+1,+1.03,+0.88,2.5,1.9,+0.6,+0.63,+0.42,Matches
78,Víctor Barajas,mx MEX,DF,León,22-053,2003,1,2,2,0.1,0.0,0,,0,1,2,1,1.00,0,0,0,0.00,-0.03,0.0,0.0,0.0,+1.25,+1.40,Matches
79,Diego Barbosa,mx MEX,DF,Toluca,28-222,1996,14,969,69,31.7,10.8,9,88,7,5,36,3,2.14,26,12,+14,+1.30,+0.14,17.5,10.1,+7.4,+0.69,+0.30,Matches
80,Diego Barbosa,mx MEX,DF,Tijuana,28-222,1996,6,239,40,7.8,2.7,3,57,0,3,23,7,1.71,4,4,0,0.00,+0.22,4.3,3.4,+0.9,+0.35,+0.79,Matches
81,Jaine Barreiro,co COL,DF,León,30-320,1994,34,3037,89,99.2,33.7,34,89,32,0,,0,1.41,45,44,+1,+0.03,+0.03,39.4,44.5,-5.1,-0.15,-0.40,Matches
82,Geonathan Barrera,mx MEX,GK,Tijuana,20-168,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
83,Pablo Barrera,mx MEX,"MF,FW",Querétaro,37-318,1987,31,2102,68,68.7,23.4,24,80,11,7,26,3,0.84,20,40,-20,-0.86,-0.39,19.1,35.7,-16.6,-0.71,+0.20,Matches
84,Sergio Barreto,ar ARG,DF,Pachuca,26-015,1999,19,1635,86,53.4,18.2,19,86,17,0,,1,1.16,26,26,0,0.00,+0.19,23.4,17.8,+5.6,+0.31,+0.12,Matches
85,Bruno Barticciotto,cl CHI,FW,Santos,23-363,2001,10,669,67,21.9,7.4,8,79,4,2,21,0,0.70,7,14,-7,-0.94,+0.26,8.1,12.5,-4.4,-0.58,+0.27,Matches
86,Abraham Bass,mx MEX,MF,Atlas,23-269,2001,1,10,10,0.3,0.1,0,,0,1,10,3,1.00,0,0,0,0.00,+0.38,0.1,0.3,-0.2,-1.74,-1.70,Matches
87,Borja Bastón,es ESP,FW,Pachuca,32-253,1992,7,352,50,11.5,3.9,5,65,1,2,14,9,1.14,4,5,-1,-0.26,-0.19,3.7,2.4,+1.3,+0.33,+0.09,Matches
88,Alán Bautista,mx MEX,"MF,FW",Pachuca,22-180,2002,22,895,41,29.2,9.9,10,73,2,12,14,10,1.52,14,12,+2,+0.20,+0.41,9.4,9.6,-0.1,-0.01,-0.37,Matches
89,Leonardo Becerra,mx MEX,MF,Necaxa,19-029,2006,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
90,Paul Bellón,mx MEX,DF,León,27-335,1997,31,2547,82,83.2,28.3,28,87,26,3,39,3,1.26,35,42,-7,-0.25,-1.65,31.4,39.4,-8.1,-0.28,-0.81,Matches
91,Fernando Beltrán,mx MEX,"MF,FW",Guadalajara,26-362,1998,30,1836,61,60.0,20.4,22,77,7,8,19,4,1.35,23,19,+4,+0.20,+0.05,22.5,20.9,+1.6,+0.08,-0.35,Matches
92,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,28-010,1997,19,1278,67,41.8,14.2,14,80,5,5,33,2,0.89,13,20,-7,-0.49,+0.11,12.7,21.4,-8.7,-0.61,-0.65,Matches
93,Darío Benedetto,ar ARG,FW,Querétaro,34-353,1990,8,427,53,14.0,4.7,4,77,1,4,30,0,1.00,4,7,-3,-0.63,+0.12,5.0,6.6,-1.6,-0.33,+0.51,Matches
94,Pablo Bennevendo Peña,mx MEX,DF,UNAM,25-122,2000,30,2432,81,79.5,27.0,28,85,21,2,25,3,1.35,36,36,0,0.00,-0.72,37.2,26.8,+10.4,+0.38,+0.02,Matches
95,Jorge Berlanga,mx MEX,DF,Pachuca,21-291,2003,16,1012,63,33.1,11.2,11,80,7,5,26,8,1.41,13,15,-2,-0.18,-0.13,13.6,11.7,+1.9,+0.17,-0.13,Matches
96,Germán Berterame,mx MEX,FW,Monterrey,26-173,1998,28,2336,83,76.3,26.0,28,83,12,0,,1,1.72,47,30,+17,+0.65,+0.78,47.5,30.2,+17.2,+0.66,+1.08,Matches
97,Unai Bilbao,es ESP,DF,Tijuana,31-090,1994,30,2355,79,77.0,26.2,27,85,23,3,20,2,1.59,44,39,+5,+0.19,+1.72,35.9,41.5,-5.6,-0.21,+0.73,Matches
98,Alfonso Blanco Antúnez,mx MEX,GK,León,37-278,1987,26,2340,90,76.5,26.0,26,90,26,0,,8,1.38,33,33,0,0.00,-0.12,30.2,35.2,-5.1,-0.19,-0.20,Matches
99,Domingo Blanco,ar ARG,"FW,MF",Tijuana,30-013,1995,26,1501,58,49.1,16.7,16,72,5,10,35,1,1.38,20,28,-8,-0.48,-0.54,20.3,29.1,-8.8,-0.53,-0.29,Matches
100,Rodrigo Bogarín,py PAR,"MF,FW",Querétaro,27-346,1997,14,711,51,23.2,7.9,8,72,2,6,23,1,1.43,9,5,+4,+0.51,+1.62,6.1,9.1,-3.0,-0.38,+0.51,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,Mateusz Bogusz,pl POL,"MF,FW",Cruz Azul,23-256,2001,11,722,66,23.6,8.0,9,76,2,2,20,1,2.00,8,5,+3,+0.37,-0.93,11.8,7.7,+4.1,+0.51,-0.26,Matches
102,Franck Boli,ci CIV,FW,Atlético,31-149,1993,14,813,58,26.6,9.0,9,79,1,5,20,0,1.71,12,14,-2,-0.22,-0.10,10.3,12.5,-2.2,-0.24,+0.09,Matches
103,Léo Bonatini,br BRA,FW,Atlético,31-038,1994,21,1058,50,34.6,11.8,12,71,1,9,23,5,1.33,13,17,-4,-0.34,-0.30,13.4,17.4,-4.0,-0.34,-0.06,Matches
104,Kevin Borges,mx MEX,DF,UNAM,19-233,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
105,Cristian Borja,co COL,DF,América,32-076,1993,22,1322,60,43.2,14.7,14,84,10,8,19,4,1.79,31,12,+19,+1.29,+0.72,23.0,11.5,+11.5,+0.79,-0.14,Matches
106,Frank Boya,cm CMR,MF,Tijuana,28-308,1996,10,740,74,24.2,8.2,10,74,4,0,,0,1.50,18,15,+3,+0.36,+0.75,9.6,13.1,-3.5,-0.43,-0.06,Matches
107,Juan Brigido,mx MEX,"FW,MF",Pachuca,23-218,2001,3,57,19,1.9,0.6,0,,0,3,19,6,2.33,1,2,-1,-1.58,-1.52,1.2,0.8,+0.4,+0.57,+0.33,Matches
108,Antonio Briseño,mx MEX,DF,Toluca,31-089,1994,5,288,58,9.4,3.2,3,90,3,2,9,6,3.00,14,2,+12,+3.75,+2.81,7.6,2.8,+4.8,+1.51,+1.13,Matches
109,Antonio Briseño,mx MEX,DF,Guadalajara,31-089,1994,7,541,77,17.7,6.0,6,90,6,1,1,4,1.00,9,4,+5,+0.83,+0.80,9.5,6.5,+3.0,+0.50,+0.34,Matches
110,Isaác Brizuela,mx MEX,"MF,DF",Guadalajara,34-250,1990,9,127,14,4.2,1.4,1,45,0,8,10,20,1.11,0,4,-4,-2.83,-3.14,1.6,1.3,+0.4,+0.26,+0.04,Matches
111,Juan Brunetta,ar ARG,MF,UANL,27-358,1997,32,2219,69,72.5,24.7,26,80,11,6,25,1,1.91,38,21,+17,+0.69,+0.37,35.9,27.6,+8.3,+0.34,-0.23,Matches
112,César Bustos,mx MEX,DF,Monterrey,19-251,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
113,Gustavo Cabral,ar ARG,DF,Pachuca,39-203,1985,14,1093,78,35.7,12.1,13,83,10,1,19,6,1.07,21,23,-2,-0.16,-0.12,16.0,14.4,+1.5,+0.13,-0.20,Matches
114,Luciano Cabral,cl CHI,"FW,MF",León,30-009,1995,15,1071,71,35.0,11.9,13,75,5,2,45,0,1.20,14,12,+2,+0.17,+0.21,12.9,14.2,-1.3,-0.11,+0.06,Matches
115,Sebastián Cáceres,uy URU,DF,América,25-260,1999,13,822,63,26.9,9.1,11,68,3,2,40,3,1.95,19,9,+10,+1.09,+0.29,16.6,7.2,+9.4,+1.02,+0.22,Matches
116,Jhonder Cádiz,ve VEN,FW,León,29-280,1995,32,2094,65,68.4,23.3,22,84,10,10,26,1,1.41,29,30,-1,-0.04,-0.23,30.5,30.9,-0.4,-0.02,+0.42,Matches
117,José Caicedo,co COL,MF,UNAM,22-347,2002,34,2873,85,93.9,31.9,34,85,28,0,,0,1.39,42,38,+4,+0.13,-0.36,41.8,31.2,+10.6,+0.33,-0.79,Matches
118,Cristian Calderón,mx MEX,DF,América,27-346,1997,25,1650,66,53.9,18.3,19,81,11,6,19,7,1.75,31,17,+14,+0.76,-0.26,30.7,16.2,+14.5,+0.79,-0.15,Matches
119,Francisco Calvo,cr CRC,DF,FC Juárez,32-301,1992,3,270,90,8.8,3.0,3,90,3,0,,1,0.00,4,7,-3,-1.00,-0.48,2.4,4.9,-2.5,-0.84,-0.35,Matches
120,Raúl Camacho,mx MEX,"FW,DF",Mazatlán,23-047,2002,12,341,28,11.1,3.8,4,62,0,8,12,14,1.25,2,2,0,0.00,+0.63,4.9,5.1,-0.2,-0.04,+0.22,Matches
121,Luis Camarena,mx MEX,DF,América,21-017,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
122,Hugo Camberos,mx MEX,"FW,MF",Guadalajara,18-288,2006,15,871,58,28.5,9.7,10,73,0,5,28,2,1.27,12,13,-1,-0.10,-0.39,11.9,7.9,+4.0,+0.42,+0.28,Matches
123,Diber Cambindo,co COL,FW,Necaxa,29-077,1996,30,2159,72,70.6,24.0,25,81,9,5,28,0,1.30,36,33,+3,+0.13,+0.32,32.3,31.5,+0.8,+0.03,+0.42,Matches
