Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
30,Antonio Álvarez,mx MEX,"FW,MF",América,21-130,2003,1.3,61,1,7,28,26,3,61,4,3,75.0,0,0.0,45,248,99,2,2,2,4,3,46,7,Matches
31,Daniel Álvarez,mx MEX,"MF,FW",Puebla,30-287,1994,5.9,244,8,26,91,136,18,244,31,17,54.8,13,41.9,138,1022,563,19,19,9,11,6,163,40,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",Tijuana,22-320,2002,24.9,1490,2,158,618,734,102,1490,94,41,43.6,52,55.3,989,5263,2048,72,40,53,65,43,1128,217,Matches
33,Gael Álvarez,mx MEX,FW,Pachuca,19-057,2006,2.5,129,2,19,48,63,9,129,14,4,28.6,9,64.3,78,520,253,12,4,6,11,4,83,22,Matches
34,Jaime Alvarez,mx MEX,"FW,MF",FC Juárez,22-074,2003,0.5,7,0,0,2,6,2,7,0,0,,0,,5,36,14,1,1,1,1,0,4,3,Matches
35,Jaime Alvarez,mx MEX,"FW,MF",Tijuana,22-074,2003,3.8,194,1,10,75,115,15,194,19,7,36.8,12,63.2,147,1147,579,22,16,10,18,6,155,44,Matches
36,Kevin Álvarez,mx MEX,DF,América,26-110,1999,15.2,841,28,215,355,278,25,841,49,21,42.9,28,57.1,435,2843,1566,60,33,12,13,15,488,76,Matches
37,Luis Amarilla,py PAR,FW,Mazatlán,29-253,1995,15.5,606,16,47,348,217,50,604,27,14,51.9,13,48.1,327,1594,685,15,19,5,41,20,434,63,Matches
38,Frankie Amaya,us USA,MF,Toluca,24-221,2000,4.0,245,8,52,150,48,4,245,3,0,0.0,3,100.0,136,812,424,8,7,1,4,2,161,12,Matches
39,Fidel Ambríz,mx MEX,MF,Monterrey,22-045,2003,13.3,738,39,196,486,61,7,738,11,5,45.5,6,54.5,384,1820,682,7,5,0,17,8,455,7,Matches
