Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
753,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-082,2001,10.0,20,11,12,8,0,14,19,73.7,5,9,6,3,8,28,51,1,Matches
754,Israel Domínguez,es ESP,FW,Sevilla,es La Liga,21-362,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
755,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,26-310,1998,18.5,75,40,35,29,11,29,64,45.3,35,34,11,23,27,102,44,1,Matches
756,Sergi Dominguez,es ESP,DF,Barcelona,es La Liga,20-033,2005,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0,Matches
757,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,26-068,1999,22.2,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,12,0,Matches
758,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20-190,2004,6.5,23,17,12,9,2,12,17,70.6,5,8,0,8,4,27,17,2,Matches
759,Patrick Dorgu,dk DEN,"DF,FW",Lecce,it Serie A,20-190,2004,20.4,45,27,21,19,5,23,45,51.1,22,24,6,18,18,63,42,2,Matches
760,Alfie Dorrington,eng ENG,DF,Tottenham,eng Premier League,20-014,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
761,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,27-109,1998,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
762,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-109,1998,13.5,25,14,11,14,0,12,20,60.0,8,14,1,13,15,40,17,2,Matches
763,Alberto Dossena,it ITA,DF,Como,it Serie A,26-203,1998,20.3,33,20,23,8,2,16,28,57.1,12,22,11,11,22,55,89,1,Matches
764,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,32-123,1993,26.9,45,27,20,18,7,13,39,33.3,26,30,6,24,9,54,19,1,Matches
765,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,25-116,2000,5.0,16,8,6,8,2,5,11,45.5,6,4,0,4,11,27,10,1,Matches
766,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,20-008,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
767,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,19-335,2005,18.2,43,26,14,19,10,21,44,47.7,23,20,0,20,13,56,7,0,Matches
768,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,22-199,2002,28.5,61,42,38,14,9,36,52,69.2,16,37,6,31,32,93,143,1,Matches
769,Douglas,br BRA,MF,Nantes,fr Ligue 1,28-111,1997,23.6,63,37,28,27,8,25,42,59.5,17,48,11,37,29,92,43,0,Matches
770,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,21-284,2003,27.3,37,19,18,16,3,16,24,66.7,8,31,14,17,24,61,100,3,Matches
771,Issa Doumbia,ci CIV,MF,Venezia,it Serie A,21-200,2003,9.3,13,8,5,7,1,7,15,46.7,8,15,4,11,7,20,13,0,Matches
772,Kamory Doumbia,ml MLI,"MF,FW",Brest,fr Ligue 1,22-075,2003,12.3,34,23,14,16,4,11,27,40.7,16,15,1,14,24,58,12,1,Matches
773,Amidou Doumbouya,fr FRA,DF,Nice,fr Ligue 1,17-272,2007,0.5,1,1,0,0,1,1,1,100.0,0,3,1,2,1,2,1,0,Matches
774,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,25-275,1999,4.5,3,2,0,3,0,1,3,33.3,2,3,0,3,1,4,2,0,Matches
775,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,25-275,1999,7.8,9,4,2,6,1,3,6,50.0,3,5,2,3,3,12,6,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
776,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27-317,1997,25.1,4,2,0,1,3,0,4,0.0,4,8,3,5,2,6,12,0,Matches
777,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,26-104,1999,20.9,44,24,19,20,5,14,32,43.8,18,24,6,18,30,74,38,4,Matches
778,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,23-199,2001,5.4,11,6,6,3,2,6,15,40.0,9,11,5,6,5,16,11,1,Matches
779,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,23-090,2002,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4,Matches
780,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,32-089,1993,21.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,11,1,Matches
781,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,20-059,2005,4.0,17,7,11,6,0,9,12,75.0,3,6,4,2,1,18,9,1,Matches
782,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-055,1995,17.0,23,11,18,4,1,13,17,76.5,4,24,14,10,13,36,124,1,Matches
783,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36-109,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
784,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,31-058,1994,24.9,10,7,3,5,2,3,14,21.4,11,7,1,6,8,18,24,2,Matches
785,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,30-150,1994,24.6,43,26,20,20,3,29,61,47.5,32,24,7,17,31,74,30,4,Matches
786,Duk,cv CPV,"MF,FW",Leganés,es La Liga,25-077,2000,0.9,4,3,1,2,1,1,2,50.0,1,2,0,2,0,4,0,0,Matches
787,Denzel Dumfries,nl NED,"DF,FW",Inter,it Serie A,29-016,1996,19.9,25,18,12,9,4,14,24,58.3,10,25,5,20,6,31,21,1,Matches
788,Alfred Duncan,gh GHA,MF,Venezia,it Serie A,32-055,1993,10.6,17,8,4,11,2,5,14,35.7,9,7,2,5,8,25,8,0,Matches
789,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-164,1991,22.1,17,10,8,7,2,11,19,57.9,8,26,17,9,12,29,74,2,Matches
790,Jáder Durán,co COL,FW,Aston Villa,eng Premier League,21-142,2003,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0,Matches
791,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23-344,2001,12.8,12,7,3,7,2,3,12,25.0,9,8,2,6,8,20,9,0,Matches
792,Julien Duranville,be BEL,"FW,MF",Dortmund,de Bundesliga,18-364,2006,3.1,3,0,0,3,0,1,1,100.0,0,1,0,1,0,3,3,0,Matches
793,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-175,1999,21.8,12,7,4,7,1,4,11,36.4,7,11,2,9,10,22,10,0,Matches
794,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27-296,1997,6.0,21,12,13,4,4,15,27,55.6,12,10,3,7,8,29,23,0,Matches
795,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,31-170,1993,15.7,17,7,3,9,5,8,19,42.1,11,12,1,11,2,19,2,0,Matches
796,Stefan Džodić,rs SRB,"DF,MF",Montpellier,fr Ligue 1,20-050,2005,2.1,6,3,3,3,0,4,6,66.7,2,5,4,1,4,10,8,0,Matches
797,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,de Bundesliga,29-221,1995,3.5,19,10,12,6,1,10,15,66.7,5,6,1,5,3,22,23,0,Matches
798,Aron Dønnum,no NOR,"DF,MF",Toulouse,fr Ligue 1,27-014,1998,28.9,55,34,24,24,7,31,55,56.4,24,29,4,25,28,83,37,1,Matches
799,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,26-054,1999,1.0,0,0,0,0,0,0,2,0.0,2,3,3,0,1,1,1,0,Matches
800,Tyronne Ebuehi,ng NGA,"DF,MF",Empoli,it Serie A,29-139,1995,0.7,2,1,0,2,0,1,1,100.0,0,1,0,1,2,4,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
801,Ederson,br BRA,GK,Manchester City,eng Premier League,31-260,1993,22.8,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,9,2,Matches
802,Éderson,br BRA,MF,Atalanta,it Serie A,25-301,1999,29.5,48,30,16,27,5,19,29,65.5,10,29,6,23,34,82,31,1,Matches
803,Noah Edjouma,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19-212,2005,1.9,2,2,0,1,1,1,2,50.0,1,1,1,0,2,4,2,0,Matches
804,George Edmundson,eng ENG,DF,Ipswich Town,eng Premier League,27-246,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
805,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,eng Premier League,27-108,1998,1.3,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0,Matches
806,Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,27-108,1998,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
807,Samuel Edozie,eng ENG,"DF,FW",Southampton,eng Premier League,22-096,2003,0.7,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0,Matches
808,Ronnie Edwards,eng ENG,DF,Southampton,eng Premier League,22-037,2003,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
809,Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26-361,1998,20.3,5,3,0,2,3,1,5,20.0,4,5,0,5,0,5,8,0,Matches
810,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-147,1996,28.6,50,26,17,25,8,22,41,53.7,19,31,10,21,34,84,46,1,Matches
811,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29-344,1995,25.8,52,33,30,18,4,25,39,64.1,14,36,11,25,21,73,62,5,Matches
812,Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,27-122,1998,10.5,19,13,8,9,2,9,19,47.4,10,12,0,12,5,24,7,0,Matches
813,Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,18-174,2006,8.2,6,3,3,1,2,4,8,50.0,4,10,1,9,2,8,5,0,Matches
814,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22-318,2002,25.5,15,11,3,7,5,4,11,36.4,7,13,1,12,7,22,23,0,Matches
815,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25-029,2000,18.9,35,24,10,21,4,17,32,53.1,15,25,4,21,12,47,22,0,Matches
816,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,21-258,2003,6.8,19,13,8,8,3,5,9,55.6,4,14,3,11,4,23,13,0,Matches
817,Emmanuel Ekong,se SWE,"MF,FW",Empoli,it Serie A,22-313,2002,2.1,4,3,0,2,2,3,3,100.0,0,2,1,1,1,5,1,0,Matches
818,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,31-042,1994,5.7,3,3,1,1,1,1,1,100.0,0,4,1,3,1,4,5,0,Matches
819,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,fr Ligue 1,23-109,2002,25.6,48,27,17,27,4,31,49,63.3,18,25,12,13,45,93,69,1,Matches
820,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,23-007,2002,23.8,17,12,7,8,2,4,16,25.0,12,11,1,10,5,22,25,0,Matches
821,Meschak Elia,cd COD,FW,Nantes,fr Ligue 1,27-271,1997,1.9,7,5,3,2,2,1,1,100.0,0,3,0,3,0,7,2,0,Matches
822,Mikael Ellertsson,is ISL,"DF,MF",Venezia,it Serie A,23-054,2002,24.7,51,24,33,11,7,29,54,53.7,25,39,4,35,13,64,71,0,Matches
823,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,22-030,2003,2.2,4,3,2,1,1,1,4,25.0,3,4,1,3,1,5,2,0,Matches
824,Elif Elmas,mk MKD,"FW,MF",Torino,it Serie A,25-222,1999,9.5,8,5,3,5,0,4,7,57.1,3,7,2,5,6,14,5,2,Matches
825,Elif Elmas,mk MKD,MF,RB Leipzig,de Bundesliga,25-222,1999,0.5,3,1,3,0,0,1,3,33.3,2,2,0,2,0,3,2,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
826,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-037,1994,13.2,17,9,12,3,2,9,17,52.9,8,16,12,4,9,26,81,0,Matches
827,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28-216,1996,22.2,36,23,26,6,4,17,23,73.9,6,35,27,8,29,65,153,0,Matches
828,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,es La Liga,32-362,1992,16.5,37,17,14,16,7,16,42,38.1,26,17,1,16,12,49,13,1,Matches
829,Breel Embolo,ch SUI,"FW,MF",Monaco,fr Ligue 1,28-079,1997,19.5,19,14,7,4,8,5,16,31.3,11,10,0,10,3,22,9,1,Matches
830,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-090,2003,25.5,6,6,1,2,3,2,6,33.3,4,18,5,13,1,7,30,0,Matches
831,Emerson,br BRA,DF,Milan,it Serie A,26-110,1999,15.3,45,28,24,16,5,16,34,47.1,18,13,2,11,14,59,56,0,Matches
832,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,eng Premier League,19-114,2006,0.5,4,4,0,4,0,1,2,50.0,1,2,0,2,0,4,0,0,Matches
833,Julio Enciso,py PAR,"FW,MF",Ipswich Town,eng Premier League,21-101,2004,7.9,11,8,2,6,3,4,9,44.4,5,3,0,3,1,12,4,0,Matches
834,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,21-101,2004,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0,Matches
835,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,32-084,1993,1.9,8,6,4,4,0,5,8,62.5,3,5,0,5,3,11,7,0,Matches
836,Endrick,br BRA,FW,Real Madrid,es La Liga,18-287,2006,2.5,1,1,1,0,0,1,3,33.3,2,0,0,0,3,4,1,0,Matches
837,Yannik Engelhardt,de GER,"MF,DF",Como,it Serie A,24-086,2001,12.2,28,11,12,13,3,15,26,57.7,11,10,5,5,10,38,26,0,Matches
838,Arne Engels,be BEL,"MF,FW",Augsburg,de Bundesliga,21-238,2003,0.9,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
839,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,33-079,1992,11.0,19,9,4,12,3,11,24,45.8,13,13,4,9,7,26,7,0,Matches
840,Martin Erlic,hr CRO,DF,Bologna,it Serie A,27-100,1998,3.4,2,0,0,2,0,1,2,50.0,1,5,4,1,2,4,9,0,Matches
841,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,30-103,1995,9.2,8,5,6,2,0,2,9,22.2,7,13,11,2,9,17,64,0,Matches
842,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,33-119,1992,8.2,37,20,29,6,2,23,42,54.8,19,14,6,8,10,47,28,1,Matches
843,Sebastiano Esposito,it ITA,"FW,MF",Empoli,it Serie A,22-306,2002,23.3,50,26,14,27,9,15,31,48.4,16,20,2,18,12,62,13,0,Matches
844,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,19-356,2005,0.4,2,2,2,0,0,2,2,100.0,0,1,0,1,1,3,0,0,Matches
845,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-101,1998,17.4,7,6,1,3,3,3,4,75.0,1,13,2,11,0,7,11,1,Matches
846,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,20-051,2005,18.9,54,42,27,22,5,26,43,60.5,17,24,9,15,41,95,43,7,Matches
847,Estanis,es ESP,FW,Bologna,it Serie A,21-253,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
848,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-171,1995,7.2,14,5,6,7,1,5,14,35.7,9,9,2,7,3,17,25,0,Matches
849,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,27-103,1998,23.7,54,36,29,18,7,29,44,65.9,15,16,2,14,30,84,53,2,Matches
850,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,es La Liga,22-259,2002,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
851,Karl Etta,cm CMR,MF,Villarreal,es La Liga,21-202,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
852,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25-210,1999,22.9,16,10,6,5,5,8,12,66.7,4,10,2,8,0,16,21,0,Matches
853,Jake Evans,,FW,Leicester City,eng Premier League,,,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
854,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,37-121,1988,3.2,7,5,4,3,0,2,4,50.0,2,2,1,1,4,11,13,0,Matches
855,Edu Expósito,es ESP,MF,Espanyol,es La Liga,28-276,1996,7.2,14,7,5,9,0,6,17,35.3,11,3,0,3,10,24,15,1,Matches
856,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,26-309,1998,26.0,37,22,13,15,9,17,35,48.6,18,26,0,26,11,48,9,3,Matches
857,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,es La Liga,23-138,2001,19.2,34,24,16,15,3,14,25,56.0,11,20,3,17,6,40,13,0,Matches
858,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-110,2003,10.6,10,6,1,3,6,7,13,53.8,6,7,2,5,2,12,4,0,Matches
859,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,40-016,1985,11.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
860,Alieu Fadera,gm GAM,"FW,DF",Como,it Serie A,23-182,2001,18.1,64,47,25,27,12,20,45,44.4,25,17,1,16,11,75,10,0,Matches
861,Wout Faes,be BEL,DF,Leicester City,eng Premier League,27-031,1998,28.3,39,23,25,12,2,23,43,53.5,20,45,33,12,26,65,160,4,Matches
862,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-081,2001,7.2,14,8,7,6,1,7,19,36.8,12,5,1,4,3,17,9,2,Matches
863,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,24-081,2001,6.3,14,10,7,6,1,6,9,66.7,3,4,0,4,2,16,5,0,Matches
864,Romain Faivre,fr FRA,"MF,FW",Brest,fr Ligue 1,26-294,1998,10.0,13,10,4,5,4,5,10,50.0,5,8,0,8,4,17,3,1,Matches
865,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-022,1995,35.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,28,3,Matches
866,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,33-191,1991,2.9,10,9,5,5,0,3,9,33.3,6,7,3,4,2,12,12,1,Matches
867,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,21-057,2004,6.4,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0,Matches
868,Ansu Fati,es ESP,FW,Barcelona,es La Liga,22-185,2002,2.6,4,1,0,2,2,1,2,50.0,1,1,0,1,1,5,0,1,Matches
869,Khalil Fayad,fr FRA,"MF,FW",Montpellier,fr Ligue 1,20-329,2004,9.4,30,15,12,16,2,14,24,58.3,10,16,1,15,8,38,15,1,Matches
870,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,22-049,2003,11.5,26,15,10,12,4,11,19,57.9,8,8,1,7,6,32,22,0,Matches
871,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31-290,1993,2.0,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,0,0,Matches
872,Mattia Felici,it ITA,"MF,FW",Cagliari,it Serie A,24-017,2001,9.9,17,12,8,7,2,4,11,36.4,7,10,0,10,7,24,7,0,Matches
873,Luiz Felipe,it ITA,DF,Marseille,fr Ligue 1,28-043,1997,0.8,2,1,2,0,0,0,1,0.0,1,2,2,0,1,3,1,0,Matches
874,João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,25-175,1999,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0,Matches
875,João Félix,pt POR,"MF,FW",Milan,it Serie A,25-175,1999,5.6,4,4,1,2,1,3,10,30.0,7,1,0,1,0,4,8,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
876,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,21-117,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
877,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,34-091,1991,24.7,50,34,34,14,2,33,57,57.9,24,21,10,11,40,90,62,3,Matches
878,Evan Ferguson,ie IRL,FW,West Ham,eng Premier League,20-197,2004,1.6,2,0,0,1,1,0,0,,0,2,1,1,1,3,1,0,Matches
879,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,20-197,2004,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0,Matches
880,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,25-253,1999,7.9,18,9,3,10,5,7,13,53.8,6,6,2,4,3,21,9,0,Matches
881,Zinedine Ferhat,dz ALG,"FW,MF",Angers,fr Ligue 1,32-064,1993,9.2,9,7,1,5,3,4,13,30.8,9,9,0,9,10,19,12,0,Matches
882,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,30-238,1994,30.6,76,47,24,37,15,29,75,38.7,46,32,4,28,25,101,34,2,Matches
883,Edimilson Fernandes,ch SUI,MF,Brest,fr Ligue 1,29-019,1996,10.3,8,6,2,6,0,6,10,60.0,4,13,5,8,17,25,27,1,Matches
884,Mateus Fernandes,pt POR,MF,Southampton,eng Premier League,20-298,2004,29.3,86,46,43,28,15,33,64,51.6,31,40,6,34,21,107,31,6,Matches
885,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,34-001,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
886,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,27-021,1998,7.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
887,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-107,2001,28.8,61,30,16,28,17,29,78,37.2,49,32,5,27,11,72,22,4,Matches
888,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22-005,2003,1.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,Matches
889,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22-305,2002,12.1,4,4,2,1,1,0,2,0.0,2,5,1,4,3,7,21,0,Matches
890,Valery Fernández,es ESP,"MF,FW",Mallorca,es La Liga,25-162,1999,3.3,8,7,3,2,3,5,7,71.4,2,3,1,2,0,8,1,0,Matches
891,Matias Fernandez-Pardo,be BEL,"FW,MF",Lille,fr Ligue 1,20-090,2005,9.1,10,7,3,4,3,6,11,54.5,5,8,0,8,2,12,4,0,Matches
892,André Ferreira,pt POR,GK,Valladolid,es La Liga,28-340,1996,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,Matches
893,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,33-053,1992,17.3,38,19,16,20,2,16,39,41.0,23,15,2,13,9,47,17,0,Matches
894,Daniel Fila,cz CZE,FW,Venezia,it Serie A,22-256,2002,4.7,2,0,0,1,1,0,2,0.0,2,5,0,5,0,2,5,0,Matches
895,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26-325,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
896,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,24-204,2000,24.9,63,43,47,12,4,46,88,52.3,42,39,8,31,19,82,96,2,Matches
897,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-325,1993,32.4,4,4,4,0,0,3,9,33.3,6,2,0,2,0,4,26,3,Matches
898,Mateo Flores,es ESP,MF,Betis,es La Liga,21-027,2004,1.7,3,1,3,0,0,1,1,100.0,0,1,0,1,2,5,3,0,Matches
899,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24-341,2000,18.8,12,5,5,4,3,7,17,41.2,10,12,1,11,9,21,7,1,Matches
900,Malick Fofana,be BEL,"FW,MF",Lyon,fr Ligue 1,20-034,2005,14.7,19,9,8,9,2,7,15,46.7,8,10,0,10,8,27,6,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
901,Rayan Fofana,fr FRA,"FW,MF",Lens,fr Ligue 1,19-081,2006,0.3,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,Matches
902,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,29-362,1995,8.9,10,7,3,6,1,2,7,28.6,5,7,1,6,6,16,7,0,Matches
903,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-138,2000,13.0,13,12,6,7,0,6,14,42.9,8,14,9,5,14,27,55,2,Matches
904,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-256,2000,31.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,23,2,Matches
905,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-114,1999,27.1,56,34,20,31,5,26,51,51.0,25,30,8,22,19,75,22,3,Matches
906,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-098,1996,20.2,44,23,24,15,5,22,35,62.9,13,29,3,26,16,60,57,0,Matches
907,Michael Folorunsho,it ITA,"FW,MF",Fiorentina,it Serie A,27-086,1998,6.9,19,12,9,6,4,8,20,40.0,12,9,1,8,4,23,10,0,Matches
908,Michael Folorunsho,it ITA,"FW,MF",Napoli,it Serie A,27-086,1998,0.4,3,2,0,3,0,2,4,50.0,2,0,0,0,1,4,1,1,Matches
909,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,27-098,1998,2.4,8,6,2,5,1,2,7,28.6,5,7,1,6,4,12,5,1,Matches
910,Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,21-046,2004,2.7,8,5,5,2,1,4,6,66.7,2,3,0,3,1,9,2,1,Matches
