Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
34,Adrián,es ESP,GK,Betis,es La Liga,38-121,1987,14.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,2,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,27-042,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-357,2006,0.3,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-118,1997,7.2,16,11,6,7,3,9,13,69.2,4,4,1,3,6,22,6,0,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-081,1998,16.9,16,8,4,8,4,6,18,33.3,12,16,1,15,8,24,18,0,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-321,1997,12.7,27,18,18,9,0,11,17,64.7,6,16,12,4,9,36,77,0,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-321,1997,14.0,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-218,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,19-192,2005,3.3,7,6,6,0,1,3,7,42.9,4,2,1,1,1,8,0,1,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-129,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-084,2002,18.5,51,22,16,28,7,20,27,74.1,7,22,9,13,30,81,31,0,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-219,1999,17.8,28,13,11,13,4,12,21,57.1,9,23,8,15,18,46,47,0,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,29-003,1996,4.8,4,2,2,2,0,2,8,25.0,6,6,1,5,4,8,5,1,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-227,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,29-035,1996,18.6,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,88,0,Matches
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,32-008,1993,11.6,34,18,17,12,5,24,38,63.2,14,23,3,20,13,47,22,0,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,23-036,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,17-070,2008,1.9,4,3,0,2,2,4,6,66.7,2,1,0,1,0,4,3,0,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-202,2001,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,31-045,1994,21.8,56,36,26,20,10,22,48,45.8,26,34,14,20,33,89,32,0,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,29-217,1995,6.0,5,5,3,2,0,2,3,66.7,1,6,3,3,4,9,22,1,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-217,1995,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-313,2005,1.4,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-208,1996,29.4,54,41,39,14,1,35,62,56.5,27,32,12,20,31,85,99,3,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-332,2001,31.8,82,52,50,25,7,41,67,61.2,26,40,6,34,24,106,67,1,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-205,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-017,1998,15.5,25,17,14,10,1,14,26,53.8,12,17,4,13,12,37,49,0,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-068,1994,25.0,23,16,3,10,10,7,29,24.1,22,19,5,14,6,29,21,0,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-289,1995,19.4,16,11,9,4,3,8,13,61.5,5,11,8,3,7,23,57,3,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-210,2003,5.5,8,4,3,4,1,5,12,41.7,7,10,8,2,11,19,19,0,Matches
