Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 30_level_0
213,Ander Astralaga,es ESP,GK,Barcelona,es La Liga,21-062,2004,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
214,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,19-252,2005,32,2677,84,93.0,29.7,31,85,19,1,45,0,1.03,30,40,-10,-0.34,+0.11,33.5,50.1,-16.6,-0.56,+0.62,Matches
215,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,22-110,2003,25,1101,44,35.0,12.2,10,78,4,15,21,3,1.24,7,17,-10,-0.82,-0.77,10.5,16.9,-6.4,-0.52,-0.28,Matches
216,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-344,2002,24,2127,89,76.2,23.6,24,89,23,0,,1,1.63,34,33,+1,+0.04,+0.59,30.8,29.2,+1.6,+0.07,+0.01,Matches
217,Emil Audero,id IDN,GK,Como,it Serie A,28-106,1997,8,720,90,22.9,8.0,8,90,8,0,,15,1.00,11,18,-7,-0.87,-1.02,9.7,11.3,-1.6,-0.20,-0.34,Matches
218,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,30-247,1994,35,2460,70,78.1,27.3,27,83,18,8,26,0,0.94,26,41,-15,-0.55,-0.55,29.7,38.2,-8.6,-0.31,-0.10,Matches
219,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-117,1999,26,1533,59,48.7,17.0,13,89,12,13,29,3,2.04,33,15,+18,+1.06,-0.17,30.2,13.8,+16.5,+0.97,+0.20,Matches
220,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-156,2000,24,1449,60,46.0,16.1,14,81,9,10,32,8,2.21,37,18,+19,+1.18,+0.07,29.4,15.5,+13.8,+0.86,-0.01,Matches
221,Henrijs Auseklis,lv LVA,GK,Cagliari,it Serie A,18-136,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
222,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-116,1999,1,90,90,2.9,1.0,1,90,1,0,,12,0.00,1,2,-1,-1.00,-1.21,0.9,2.5,-1.6,-1.57,-1.59,Matches
223,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,31-087,1994,19,677,36,22.8,7.5,6,62,1,13,23,5,1.63,9,7,+2,+0.27,-0.01,11.4,9.7,+1.7,+0.23,-0.07,Matches
