Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
85,Jean Carlos Vicente,br BRA,"MF,FW",Juventude,33-079,1992,1.2,0,3,1,33.3,2.48,0.83,0.00,0.00,28.8,2,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
86,André Carrillo,pe PER,MF,Corinthians,33-325,1991,4.8,0,3,1,33.3,0.62,0.21,0.00,0.00,17.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
87,Gabriel Carvalho,br BRA,FW,Internacional,17-261,2007,0.7,0,2,1,50.0,2.95,1.48,0.00,0.00,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
88,Cássio,br BRA,GK,Cruzeiro,37-333,1987,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
89,Iury de Castilho,br BRA,FW,Mirassol,29-241,1995,3.5,1,4,2,50.0,1.14,0.57,0.25,0.50,18.1,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
90,Murilo Cerqueira,br BRA,DF,Palmeiras,28-039,1997,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
91,Kayky Chagas,br BRA,"FW,DF",Bahia,21-328,2003,0.7,1,2,1,50.0,2.95,1.48,0.50,1.00,12.9,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
92,Chico,br BRA,MF,Mirassol,33-353,1991,0.8,0,1,1,100.0,1.18,1.18,0.00,0.00,11.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
93,Chico,br BRA,DF,Sport Recife,26-233,1998,7.0,0,5,1,20.0,0.71,0.14,0.00,0.00,18.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
94,Christian,br BRA,FW,Cruzeiro,24-137,2000,4.1,1,6,3,50.0,1.47,0.73,0.17,0.33,11.4,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
95,Claudinho,br BRA,DF,Vitória,24-223,2000,6.0,0,4,0,0.0,0.67,0.00,0.00,,17.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
96,Clayson,br BRA,FW,Mirassol,30-047,1995,2.6,0,4,2,50.0,1.53,0.76,0.00,0.00,23.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
97,Mateus Cocão,br BRA,MF,Vasco da Gama,23-048,2002,1.9,0,1,0,0.0,0.52,0.00,0.00,,25.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
98,Igor Coronado,br BRA,MF,Corinthians,32-260,1992,1.9,1,3,2,66.7,1.54,1.03,0.33,0.50,18.5,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches
99,Philippe Coutinho,br BRA,MF,Vasco da Gama,32-327,1992,3.3,0,10,3,30.0,3.00,0.90,0.00,0.00,26.2,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
100,Franco Cristaldo,ar ARG,"MF,FW",Grêmio,28-263,1996,3.3,0,5,0,0.0,1.53,0.00,0.00,,22.2,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Gustavo Cuellar,co COL,MF,Grêmio,32-203,1992,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
102,Tomás Cuello,ar ARG,"FW,MF",Atlético Mineiro,25-061,2000,5.5,1,17,5,29.4,3.10,0.91,0.06,0.20,15.1,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
103,Cuiabano,br BRA,DF,Botafogo (RJ),22-078,2003,4.5,0,4,1,25.0,0.89,0.22,0.00,0.00,15.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
104,Lucas Cunha,br BRA,DF,Sport Recife,28-102,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
105,Danielzinho,br BRA,"MF,FW",Mirassol,30-182,1994,6.0,0,8,1,12.5,1.33,0.17,0.00,0.00,24.5,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
106,Danilo,br BRA,DF,Flamengo,33-294,1991,1.0,1,1,1,100.0,1.00,1.00,1.00,1.00,4.1,0,0,0,0.6,0.6,0.55,+0.4,+0.4,Matches
107,Matheus Davó,br BRA,"FW,MF",Mirassol,25-262,1999,0.4,0,2,0,0.0,5.14,0.00,0.00,,10.9,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
108,Giorgian De Arrascaeta,uy URU,MF,Flamengo,30-338,1994,5.1,6,11,6,54.5,2.16,1.18,0.55,1.00,20.0,0,0,0,1.4,1.4,0.13,+4.6,+4.6,Matches
109,Nicolás De La Cruz,uy URU,MF,Flamengo,27-338,1997,5.5,0,3,2,66.7,0.54,0.36,0.00,0.00,23.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
110,Deyverson,br BRA,FW,Fortaleza,33-362,1991,3.5,1,12,3,25.0,3.44,0.86,0.08,0.33,14.3,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
