Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
448,Luca Plogmann,de GER,GK,Go Ahead Eag,25-056,2000,17,1530,90,54.8,17.0,17,90,17,0,,14,1.47,30,27,+3,+0.18,+0.18,29.4,20.3,+9.2,+0.54,+0.63,Matches
449,Jan Plug,nl NED,DF,Feyenoord,20-033,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
450,Suf Podgoreanu,il ISR,"FW,MF",Heracles Almelo,23-105,2002,29,2067,71,74.1,23.0,25,77,10,4,33,0,1.17,29,39,-10,-0.44,+0.56,28.5,40.0,-11.6,-0.50,+0.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
451,Emanuel Poku,nl NED,FW,Almere City,19-290,2005,3,123,41,4.4,1.4,0,,0,3,41,2,0.00,0,8,-8,-5.85,-4.84,0.8,5.0,-4.3,-3.11,-2.71,Matches
452,Ernest Poku,nl NED,FW,AZ Alkmaar,21-097,2004,20,1290,65,46.2,14.3,14,80,4,6,29,8,1.50,20,18,+2,+0.14,-0.76,19.6,14.0,+5.6,+0.39,-0.24,Matches
453,Romano Postema,nl NED,"FW,MF",Groningen,23-087,2002,26,1092,42,39.1,12.1,12,72,2,14,17,3,1.00,5,19,-14,-1.15,-1.47,9.5,19.6,-10.0,-0.83,-1.01,Matches
454,Wouter Prins,nl NED,DF,Groningen,21-088,2004,23,1490,65,53.4,16.6,17,79,7,6,23,5,1.04,14,26,-12,-0.72,-1.00,16.7,25.3,-8.6,-0.52,-0.66,Matches
455,Dirk Proper,nl NED,MF,NEC Nijmegen,23-070,2002,26,2159,83,77.4,24.0,25,85,21,1,28,0,0.96,29,39,-10,-0.42,-1.56,27.3,33.4,-6.1,-0.25,-1.27,Matches
456,Ruben Providence,ht HAI,"FW,MF",Almere City,23-302,2001,20,499,25,17.9,5.5,3,72,0,17,17,8,0.55,2,11,-9,-1.62,-0.48,4.7,9.6,-4.9,-0.89,-0.44,Matches
457,Jeffry Puriel,bq BOE,FW,Almere City,22-170,2002,1,25,25,0.9,0.3,0,,0,1,25,4,0.00,0,4,-4,-14.40,-13.29,0.1,1.6,-1.5,-5.44,-4.96,Matches
458,Teo Quintero,ve VEN,DF,Sparta R'dam,26-064,1999,12,573,48,20.5,6.4,6,74,3,6,22,10,1.17,5,9,-4,-0.63,-0.59,7.8,9.2,-1.4,-0.22,-0.29,Matches
459,Bojan Radulovic,rs SRB,FW,Fortuna Sittard,25-127,1999,8,310,39,11.1,3.4,2,64,0,6,31,1,1.25,5,6,-1,-0.29,+0.33,5.5,5.9,-0.3,-0.10,+0.21,Matches
460,Dimitris Rallis,nl NED,FW,Heerenveen,20-040,2005,22,863,39,30.9,9.6,12,60,1,10,15,8,1.23,10,17,-7,-0.73,-0.40,11.8,10.8,+1.0,+0.11,+0.37,Matches
461,Diant Ramaj,de GER,GK,Ajax,23-228,2001,1,90,90,3.2,1.0,1,90,1,0,,18,3.00,1,0,+1,+1.00,-0.17,1.9,0.5,+1.4,+1.40,+0.41,Matches
462,Christian Rasmussen,dk DEN,FW,Ajax,22-106,2003,10,219,22,7.8,2.4,1,55,0,9,18,13,2.50,8,2,+6,+2.47,+1.42,7.7,1.6,+6.1,+2.51,+1.64,Matches
463,Khaled Razak,nl NED,FW,Willem II,19-143,2005,1,5,5,0.2,0.1,0,,0,1,5,12,0.00,0,0,0,0.00,+0.65,0.0,0.0,0.0,+0.13,+1.02,Matches
464,Givairo Read,nl NED,DF,Feyenoord,18-337,2006,23,1710,74,61.3,19.0,19,84,13,4,31,7,2.22,46,18,+28,+1.47,+0.56,33.2,18.5,+14.7,+0.78,-0.01,Matches
465,Tim Receveur,nl NED,MF,Almere City,33-279,1991,2,86,43,3.1,1.0,1,74,0,1,12,16,0.50,0,5,-5,-5.23,-4.13,1.2,4.5,-3.3,-3.45,-3.02,Matches
466,Zepiqueno Redmond,nl NED,FW,Feyenoord,18-317,2006,4,158,40,5.7,1.8,2,61,0,2,18,12,2.50,3,2,+1,+0.57,-0.73,3.7,1.9,+1.9,+1.07,+0.30,Matches
467,Daan van Reeuwijk,,DF,NAC Breda,,,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
468,Youri Regeer,nl NED,MF,Ajax,21-260,2003,2,25,13,0.9,0.3,0,,0,2,13,1,2.00,2,1,+1,+3.60,+2.46,2.3,0.3,+2.0,+7.24,+6.29,Matches
469,Youri Regeer,nl NED,MF,Twente,21-260,2003,19,1342,71,48.1,14.9,16,79,9,3,25,0,1.79,32,21,+11,+0.74,+0.55,28.2,17.4,+10.8,+0.73,+0.63,Matches
470,Eliano Reijnders,id IDN,DF,Zwolle,24-194,2000,18,937,52,33.6,10.4,8,89,7,10,23,13,1.06,12,19,-7,-0.67,-0.48,11.4,17.3,-5.8,-0.56,+0.12,Matches
