Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
30,Afonso Assis,pt POR,MF,Moreirense,18-294,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Gustavo Assuncao,pt POR,MF,AVS Futebol,25-036,2000,15.2,28,1.84,24,0,0,2,2,0,1,0.07,0,0,0,0,1,0,Matches
32,Otavio Ataide,br BRA,DF,Porto,23-014,2002,18.1,25,1.38,20,1,0,4,0,0,1,0.06,1,0,0,0,0,0,Matches
33,João Aurélio,pt POR,"FW,DF",Nacional,36-261,1988,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Fredrik Aursnes,no NOR,"MF,FW",Benfica,29-146,1995,25.1,68,2.71,59,3,0,3,1,2,11,0.44,11,0,0,0,0,0,Matches
35,Felix Bacher,at AUT,DF,Estoril,24-192,2000,21.0,9,0.43,7,0,0,1,0,1,2,0.10,1,0,0,1,0,0,Matches
36,Miguel Baeza,es ESP,"MF,FW",Nacional,25-039,2000,2.3,4,1.77,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Alexander Bah,dk DEN,DF,Benfica,27-147,1997,15.7,35,2.23,26,3,0,2,1,3,2,0.13,2,0,0,0,0,0,Matches
38,Adrian Bajrami,al ALB,DF,Benfica,23-030,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Theofanis Bakoulas,gr GRE,MF,Rio Ave,20-121,2005,2.3,4,1.76,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Elves Baldé,gw GNB,"MF,FW",Farense,25-215,1999,11.6,36,3.10,20,5,6,4,0,1,4,0.34,3,0,1,0,0,0,Matches
41,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,20-209,2004,8.6,12,1.39,7,0,1,2,1,1,1,0.12,0,0,0,1,0,0,Matches
42,Robson Bambu,br BRA,DF,Braga,27-174,1997,11.2,5,0.45,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Chico Banza,ao ANG,FW,Estrela,26-139,1998,6.3,6,0.95,2,0,3,0,0,1,1,0.16,0,0,1,0,0,0,Matches
44,Simon Banza,cd COD,FW,Braga,28-265,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Rafael Barbosa,pt POR,"MF,FW",Farense,29-037,1996,4.0,20,5.00,15,3,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
46,Leandro Barreiro Martins,lu LUX,MF,Benfica,25-122,2000,12.5,38,3.05,24,1,1,3,8,1,6,0.48,2,0,0,1,3,0,Matches
47,Afonso Bastardo,pt POR,FW,Sporting CP,20-047,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Gil Bastião Dias,pt POR,"FW,MF",Famalicão,28-219,1996,14.5,42,2.90,27,1,4,6,4,0,3,0.21,3,0,0,0,0,0,Matches
