Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
28,Nordin Amrabat,ma MAR,"FW,MF",Hull City,38-034,1987,10,288,29,7.0,3.2,2,82,0,8,16,8,0.70,3,2,+1,+0.31,+0.57,4.1,2.1,+2.0,+0.63,+0.71,Matches
29,Lucas Andersen,dk DEN,"MF,FW",QPR,30-233,1994,33,1165,35,28.1,12.9,13,63,1,20,17,2,1.03,15,20,-5,-0.39,-0.24,10.7,16.4,-5.7,-0.44,-0.42,Matches
30,Freddie Anderson,eng ENG,DF,Stoke City,18-203,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
31,Joe Anderson,eng ENG,DF,Sunderland,24-087,2001,2,99,50,2.4,1.1,1,90,1,1,9,9,0.00,0,1,-1,-0.91,-1.24,0.9,0.4,+0.5,+0.49,+0.30,Matches
32,Kai Andrews,wls WAL,MF,Coventry City,18-271,2006,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
33,Ryan Andrews,eng ENG,"DF,MF",Watford,20-251,2004,38,2086,55,50.4,23.2,21,82,13,17,21,5,1.16,26,32,-6,-0.26,-0.17,24.4,37.4,-13.1,-0.56,-0.65,Matches
34,Michael Ani,,DF,Portsmouth,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
35,Jaidon Anthony,eng ENG,"FW,MF",Burnley,25-154,1999,43,3661,85,88.4,40.7,42,87,27,1,22,0,2.19,55,14,+41,+1.01,-1.25,51.7,35.3,+16.3,+0.40,+0.01,Matches
36,Alex Aoraha,iq IRQ,MF,QPR,22-107,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
37,Adil Aouchiche,fr FRA,"MF,FW",Portsmouth,22-293,2002,12,683,57,16.5,7.6,9,68,1,3,24,2,1.75,11,7,+4,+0.53,+0.97,10.5,8.3,+2.2,+0.29,+0.70,Matches
38,Adil Aouchiche,fr FRA,"FW,MF",Sunderland,22-293,2002,8,296,37,7.1,3.3,3,84,1,5,9,11,1.75,4,3,+1,+0.30,0.00,6.0,3.1,+2.9,+0.87,+0.73,Matches
39,Oliver Arblaster,eng ENG,MF,Sheffield Utd,20-364,2004,12,978,82,23.6,10.9,11,86,10,1,33,0,2.17,16,7,+9,+0.83,+0.32,13.0,9.9,+3.1,+0.29,-0.08,Matches
40,Jordan Archer,sct SCO,GK,Portsmouth,32-022,1993,2,150,75,3.6,1.7,1,90,1,1,60,36,0.00,1,2,-1,-0.60,-0.33,1.4,2.6,-1.2,-0.69,-0.41,Matches
41,Adam Armstrong,eng ENG,FW,West Brom,28-083,1997,16,1008,63,24.3,11.2,12,76,1,4,23,0,1.25,9,11,-2,-0.18,-0.52,12.2,9.0,+3.2,+0.28,+0.06,Matches
42,Harrison Armstrong,eng ENG,MF,Derby County,18-105,2007,15,1105,74,26.7,12.3,12,88,9,3,15,1,1.53,16,9,+7,+0.57,+1.01,13.4,9.8,+3.6,+0.29,+0.50,Matches
43,Sinclair Armstrong,ie IRL,FW,Bristol City,21-316,2003,36,1555,43,37.6,17.3,17,63,0,19,25,4,1.39,13,24,-11,-0.64,-1.16,20.7,23.4,-2.7,-0.15,-0.35,Matches
44,Stuart Armstrong,sct SCO,"MF,FW",Sheffield Weds,33-035,1992,11,536,49,12.9,6.0,6,64,0,5,31,0,0.82,5,8,-3,-0.50,-0.35,11.0,6.1,+5.0,+0.83,+0.95,Matches
45,Stanley Ashbee,ie IRL,DF,Hull City,18-157,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
46,Harrison Ashby,sct SCO,"DF,FW",QPR,23-171,2001,29,1583,55,38.2,17.6,17,78,8,12,22,11,1.31,18,20,-2,-0.11,+0.17,16.9,21.5,-4.6,-0.26,-0.20,Matches
47,Cian Ashford,wls WAL,"FW,MF",Cardiff City,20-222,2004,28,1522,54,36.8,16.9,17,78,3,11,18,9,0.93,24,23,+1,+0.06,+0.95,17.9,21.4,-3.5,-0.21,+0.27,Matches
48,Tom Atcheson,nir NIR,DF,Blackburn,18-224,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
49,Robert Atkinson,eng ENG,DF,Portsmouth,26-295,1998,14,1098,78,26.5,12.2,13,83,9,1,22,1,1.79,19,12,+7,+0.57,+1.17,20.0,14.9,+5.1,+0.41,+0.97,Matches
50,Robert Atkinson,eng ENG,DF,Bristol City,26-295,1998,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
