Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
126,João Costa,pt POR,FW,Santa Clara,25-059,2000,8.0,232,7,25,103,105,30,232,13,3,23.1,7,53.8,124,380,114,3,3,2,18,13,143,27,Matches
127,João Paulo Santos Costa,pt POR,GK,Estrela,29-092,1996,11.0,359,314,359,0,0,0,359,0,0,,0,,161,787,320,0,0,0,1,0,133,0,Matches
128,Michel Costa,br BRA,MF,Estoril,23-136,2001,6.6,311,9,67,201,46,1,311,11,4,36.4,5,45.5,162,705,226,3,3,0,7,7,211,8,Matches
129,Rui Costa,pt POR,"FW,MF",Farense,29-074,1996,5.9,152,0,9,47,97,29,152,15,7,46.7,8,53.3,99,448,141,5,0,3,10,8,106,40,Matches
130,Marco Cruz,pt POR,DF,Vitória,21-071,2004,0.1,18,1,3,9,6,0,18,1,0,0.0,0,0.0,9,37,22,0,0,0,0,0,9,2,Matches
131,Sandro Cruz,ao ANG,DF,Gil Vicente FC,23-358,2001,23.1,1379,68,545,607,242,24,1379,32,16,50.0,13,40.6,602,2997,1641,33,24,9,30,20,741,63,Matches
132,Augusto Dabo,gw GNB,DF,Boavista,21-053,2004,6.1,300,18,79,135,89,2,300,6,5,83.3,1,16.7,98,446,239,6,4,0,12,5,112,10,Matches
133,Samuel Dahl,se SWE,"DF,MF",Benfica,25-062,2000,6.5,417,9,58,165,199,23,417,16,6,37.5,8,50.0,230,1014,465,11,9,2,13,4,259,60,Matches
134,Amadou Dante,ml MLI,"DF,MF",Arouca,24-210,2000,11.6,695,41,258,301,138,8,695,16,8,50.0,8,50.0,307,1515,814,24,15,2,14,6,363,45,Matches
135,Mathias De Amorim,fr FRA,MF,Famalicão,20-146,2004,10.8,557,13,101,281,184,18,557,24,11,45.8,12,50.0,312,1379,487,9,10,3,32,14,364,55,Matches
136,Zeno Debast,be BEL,"DF,MF",Sporting CP,21-193,2003,22.0,1756,60,409,1130,227,8,1756,18,7,38.9,10,55.6,1150,4681,2592,21,21,0,17,4,1305,20,Matches
137,Depú,ao ANG,FW,Gil Vicente FC,25-117,2000,0.5,18,0,3,11,5,3,18,1,0,0.0,1,100.0,9,14,5,0,0,0,5,3,13,3,Matches
138,Derick,br BRA,"DF,MF",Farense,31-246,1993,15.7,698,42,218,292,204,14,698,30,11,36.7,19,63.3,230,1583,714,31,11,5,27,8,263,59,Matches
139,Ángel Di María,ar ARG,FW,Benfica,37-080,1988,17.4,1136,3,63,437,643,96,1131,74,25,33.8,47,63.5,747,4485,1998,66,48,26,36,16,850,182,Matches
140,Abdoulay Diaby,ml MLI,"FW,MF",Boavista,33-349,1991,7.0,211,4,22,104,87,25,211,15,6,40.0,9,60.0,117,664,186,4,3,4,14,9,143,30,Matches
141,Matheus Dias,br BRA,"MF,DF",Nacional,28-087,1997,18.1,908,81,345,493,80,9,908,22,14,63.6,7,31.8,399,2312,1266,17,6,0,23,7,500,8,Matches
142,Tiago Dias,pt POR,"DF,FW",Casa Pia,27-001,1998,0.6,54,0,3,15,37,1,54,5,1,20.0,3,60.0,29,276,108,8,3,0,4,1,30,15,Matches
143,Ousmane Diomande,ci CIV,DF,Sporting CP,21-152,2003,26.7,2282,166,907,1322,67,47,2282,4,2,50.0,2,50.0,1675,8161,4469,13,13,1,3,3,1788,4,Matches
144,Tiago Djaló,pt POR,DF,Porto,25-026,2000,6.6,552,60,250,264,43,8,552,6,1,16.7,4,66.7,361,2192,1156,13,9,0,2,2,398,5,Matches
145,Maxime Dominguez,ch SUI,MF,Gil Vicente FC,29-093,1996,2.8,144,2,26,75,45,6,144,3,3,100.0,0,0.0,72,379,220,5,2,0,7,1,90,9,Matches
146,Issiar Dramé,ml MLI,DF,Estrela,26-078,1999,14.7,567,110,353,190,29,19,567,14,8,57.1,5,35.7,243,1594,767,10,1,2,14,8,255,4,Matches
147,Dudu,br BRA,"FW,MF",Nacional,25-268,1999,14.9,426,5,66,162,203,55,424,41,11,26.8,28,68.3,220,1325,711,27,16,11,34,18,242,63,Matches
148,Carlos Eduardo,br BRA,"FW,MF",Gil Vicente FC,22-268,2002,2.7,59,1,4,28,29,5,59,1,0,0.0,1,100.0,32,149,77,3,3,1,7,1,45,17,Matches
149,Marcus Edwards,eng ENG,"MF,FW",Sporting CP,26-153,1998,1.2,80,2,3,24,54,18,80,9,7,77.8,2,22.2,58,438,278,15,4,8,7,4,63,16,Matches
150,Marvin Elimbi,fr FRA,DF,Gil Vicente FC,22-074,2003,3.5,162,23,100,55,7,4,162,2,2,100.0,0,0.0,61,412,267,2,0,0,3,1,88,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
