Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
10,Makan Aiko,fr FRA,FW,Fortuna Sittard,24-118,2001,13.1,22,1.68,13,0,0,2,7,0,2,0.15,0,0,0,1,1,0,Matches
11,Chuba Akpom,eng ENG,FW,Ajax,29-208,1995,9.2,22,2.38,12,0,3,4,3,0,2,0.22,2,0,0,0,0,0,Matches
12,Hamdi Akujobi,nl NED,DF,Almere City,25-105,2000,26.0,42,1.61,35,3,1,1,2,0,4,0.15,4,0,0,0,0,0,Matches
13,Gerald Alders,nl NED,DF,Twente,19-363,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Hussein Ali,iq IRQ,DF,Heerenveen,23-065,2002,2.4,1,0.42,1,0,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
15,Jaydon Amauri Banel,nl NED,FW,Ajax,20-198,2004,0.7,5,7.03,1,0,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches
16,Jamal Amofa,nl NED,DF,Go Ahead Eag,26-161,1998,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Silas Andersen,dk DEN,MF,Utrecht,20-326,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Oliver Antman,fi FIN,"FW,MF",Go Ahead Eag,23-263,2001,24.8,84,3.39,61,0,11,6,5,1,18,0.73,14,0,2,0,1,1,Matches
19,Anouar El Azzouzi,nl NED,"MF,DF",Zwolle,23-341,2001,30.0,52,1.74,50,1,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
20,Julian Baas,nl NED,MF,Sparta R'dam,23-019,2002,9.4,36,3.81,17,14,0,1,3,1,2,0.21,1,1,0,0,0,0,Matches
21,Youri Baas,nl NED,DF,Ajax,22-049,2003,22.7,19,0.84,17,0,0,0,1,1,2,0.09,2,0,0,0,0,0,Matches
22,Isaac Babadi,nl NED,MF,PSV Eindhoven,20-029,2005,1.9,9,4.63,7,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
23,Leandro Bacuna,cw CUW,"DF,MF",Groningen,33-257,1991,23.2,54,2.33,31,17,3,1,2,0,7,0.30,5,1,1,0,0,0,Matches
24,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22-335,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,20-056,2005,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Saïd Bakari,km COM,DF,Sparta R'dam,30-225,1994,20.8,32,1.54,26,1,2,1,1,1,2,0.10,1,0,1,0,0,0,Matches
27,Johan Bakayoko,be BEL,FW,PSV Eindhoven,22-015,2003,17.0,71,4.18,56,0,8,5,1,1,2,0.12,2,0,0,0,0,0,Matches
28,Nordin Bakker,nl NED,GK,Almere City,27-186,1997,31.0,12,0.39,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Max Balard,au AUS,MF,NAC Breda,24-166,2000,29.6,36,1.21,30,1,0,0,3,2,3,0.10,2,0,0,0,1,0,Matches
30,Alex Balboa,gq EQG,MF,Almere City,24-060,2001,4.5,5,1.11,2,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
31,Théo Barbet,fr FRA,DF,Almere City,24-060,2001,8.8,3,0.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Vasilios Barkas,gr GRE,GK,Utrecht,30-340,1994,29.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,28-221,1996,14.4,39,2.71,26,11,0,2,0,0,4,0.28,2,2,0,0,0,0,Matches
34,Riechedly Bazoer,nl NED,MF,AZ Alkmaar,28-205,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Guus Beaumont,nl NED,MF,Almere City,22-360,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Thomas Beelen,nl NED,DF,Feyenoord,23-328,2001,18.9,24,1.27,19,0,1,2,1,1,4,0.21,2,0,1,0,0,1,Matches
37,Raffael Behounek,at AUT,DF,Willem II,28-019,1997,29.9,28,0.94,27,0,0,1,0,0,3,0.10,3,0,0,0,0,0,Matches
38,Kristijan Belic,rs SRB,MF,AZ Alkmaar,24-041,2001,6.5,18,2.76,16,0,1,0,0,1,1,0.15,0,0,1,0,0,0,Matches
39,Mimeirhel Benita,nl NED,DF,Heracles Almelo,21-169,2003,19.7,31,1.58,17,6,3,3,1,1,2,0.10,2,0,0,0,0,0,Matches
40,Walter Benítez,ar ARG,GK,PSV Eindhoven,32-106,1993,30.5,8,0.26,6,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
41,Mitchell van Bergen,nl NED,FW,Sparta R'dam,25-251,1999,9.6,29,3.03,21,3,2,2,1,0,4,0.42,2,1,1,0,0,0,Matches
42,Mitchell van Bergen,nl NED,FW,Twente,25-251,1999,8.9,24,2.71,19,0,2,3,0,0,2,0.23,2,0,0,0,0,0,Matches
43,Thom van Bergen,nl NED,FW,Groningen,21-119,2004,24.7,52,2.11,39,0,7,2,3,1,3,0.12,2,0,0,1,0,0,Matches
44,Steven Berghuis,nl NED,"FW,MF",Ajax,33-137,1991,13.7,54,3.93,34,14,0,4,0,2,5,0.36,3,1,0,1,0,0,Matches
45,Steven Bergwijn,nl NED,FW,Ajax,27-209,1997,0.2,2,12.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Gijs Besselink,nl NED,MF,Twente,20-323,2004,3.6,3,0.84,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Daniel Bielica,pl POL,GK,NAC Breda,26-005,1999,30.0,6,0.20,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Justin Bijlow,nl NED,GK,Feyenoord,27-103,1998,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Adrian Blake,eng ENG,"FW,MF",Utrecht,19-294,2005,3.9,23,5.95,17,0,2,0,4,0,4,1.03,3,0,0,0,1,0,Matches
50,Thijmen Blokzijl,nl NED,DF,Groningen,20-069,2005,21.7,9,0.41,7,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Paweł Bochniewicz,pl POL,DF,Heerenveen,29-095,1996,12.3,10,0.81,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Jeremy Bokila,cd COD,FW,Willem II,36-172,1988,14.2,20,1.41,9,0,3,3,5,0,5,0.35,2,0,0,1,2,0,Matches
53,Ruben van Bommel,nl NED,FW,AZ Alkmaar,20-275,2004,14.1,50,3.55,33,2,4,8,2,1,4,0.28,3,0,0,1,0,0,Matches
54,Taylor Booth,us USA,"FW,MF",Utrecht,23-339,2001,2.9,4,1.39,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
55,Taylor Booth,us USA,FW,Twente,23-339,2001,3.0,5,1.66,2,0,0,0,3,0,1,0.33,0,0,0,0,1,0,Matches
56,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,27-168,1997,25.8,75,2.91,72,1,1,0,0,1,12,0.47,12,0,0,0,0,0,Matches
57,Jesse Bosch,nl NED,MF,Willem II,25-093,2000,27.9,50,1.79,41,1,3,1,2,2,3,0.11,1,0,1,0,1,0,Matches
58,Sven Bouland,nl NED,DF,Groningen,,,0.5,3,5.51,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Rayane Bounida,be BEL,FW,Ajax,19-063,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Can Bozdogan,de GER,MF,Utrecht,24-030,2001,4.5,5,1.13,5,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
61,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,31-125,1993,25.0,2,0.08,2,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
62,Oliver Braude,no NOR,DF,Heerenveen,21-073,2004,26.0,65,2.50,47,6,2,2,4,4,8,0.31,7,0,0,0,1,0,Matches
63,Myron van Brederode,nl NED,FW,AZ Alkmaar,21-303,2003,1.9,4,2.09,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Michael Bresser,nl NED,DF,PSV Eindhoven,18-011,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,21-169,2003,21.8,95,4.36,58,21,3,8,4,1,10,0.46,8,1,1,0,0,0,Matches
66,Brian Brobbey,nl NED,FW,Ajax,23-093,2002,16.1,52,3.24,32,0,4,3,13,0,7,0.44,3,0,0,2,2,0,Matches
67,Michael Brouwer,nl NED,GK,Utrecht,32-104,1993,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
68,Luuk Brouwers,nl NED,"MF,FW",Heerenveen,27-002,1998,19.4,50,2.58,39,0,1,6,3,1,8,0.41,6,0,0,1,1,0,Matches
69,Jordy Bruijn,nl NED,MF,Heracles Almelo,28-286,1996,3.4,8,2.35,6,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Max Bruns,nl NED,DF,Twente,22-180,2002,17.2,12,0.70,12,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
71,Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,33-118,1992,10.2,47,4.62,24,17,2,1,2,1,3,0.30,2,0,0,1,0,0,Matches
72,Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,26-270,1998,3.4,13,3.79,4,0,1,4,4,0,1,0.29,1,0,0,0,0,0,Matches
73,Charles-Andréas Brym,ca CAN,FW,Almere City,26-270,1998,11.4,32,2.80,24,0,2,0,5,1,1,0.09,1,0,0,0,0,0,Matches
74,Hugo Bueno,es ESP,DF,Feyenoord,22-229,2002,13.1,34,2.59,30,0,2,1,0,1,4,0.30,3,0,0,1,0,0,Matches
75,Thomas Buitink,nl NED,"FW,MF",Zwolle,24-325,2000,2.6,2,0.78,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Ezequiel Bullaude,ar ARG,"MF,FW",Fortuna Sittard,24-191,2000,20.4,31,1.52,19,0,0,6,3,3,3,0.15,3,0,0,0,0,0,Matches
77,Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,0.0,1,22.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Maxime Busi,be BEL,DF,NAC Breda,25-203,1999,8.6,21,2.45,19,0,0,1,0,1,2,0.23,1,0,0,1,0,0,Matches
79,Zico Buurmeester,nl NED,"MF,FW",AZ Alkmaar,22-332,2002,12.2,41,3.36,30,6,4,1,0,0,4,0.33,1,3,0,0,0,0,Matches
80,Àlex Carbonell,es ESP,MF,Almere City,27-232,1997,2.6,19,7.18,16,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
81,Julián Carranza,ar ARG,FW,Feyenoord,24-348,2000,8.8,16,1.83,12,0,0,2,1,1,3,0.34,2,0,0,1,0,0,Matches
82,Stephano Carrillo,mx MEX,FW,Feyenoord,19-059,2006,0.6,1,1.73,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Yoann Cathline,fr FRA,FW,Utrecht,22-287,2002,20.2,70,3.46,49,0,9,7,3,2,10,0.49,9,0,1,0,0,0,Matches
84,Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21-328,2003,1.3,6,4.50,2,1,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Jordy Clasie,nl NED,MF,AZ Alkmaar,33-312,1991,20.2,58,2.87,55,2,0,0,0,1,6,0.30,6,0,0,0,0,0,Matches
86,Pelle Clement,nl NED,"MF,FW",Sparta R'dam,28-351,1996,17.5,50,2.86,33,13,1,0,0,3,6,0.34,3,3,0,0,0,0,Matches
87,Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,23-148,2001,12.1,35,2.90,26,2,0,4,2,1,3,0.25,3,0,0,0,0,0,Matches
88,Amara Conde,de GER,MF,Heerenveen,28-119,1997,7.2,13,1.80,12,0,0,0,0,1,2,0.28,2,0,0,0,0,0,Matches
