Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
440,Andy Najar,hn HON,DF,Nashville SC,32-050,1993,9.1,32,3.50,31,0,1,0,0,0,4,0.44,4,0,0,0,0,0,Matches
441,Matheus Nascimento,br BRA,"FW,MF",LA Galaxy,21-063,2004,1.1,3,2.76,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
442,Rafael Navarro,br BRA,FW,Colorado Rapids,25-021,2000,11.0,39,3.55,25,0,2,5,5,2,7,0.64,4,0,0,1,2,0,Matches
443,Logan Ndenbe,be BEL,DF,Sporting KC,25-085,2000,9.1,11,1.21,9,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
444,Jalen Neal,us USA,DF,CF Montréal,21-254,2003,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
445,Dylan Nealis,us USA,DF,NY Red Bulls,26-279,1998,6.7,13,1.93,8,0,1,0,4,0,1,0.15,0,0,0,0,1,0,Matches
446,Sean Nealis,us USA,DF,NY Red Bulls,28-112,1997,8.0,4,0.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
447,Franco Negri,ar ARG,DF,San Diego FC,30-074,1995,4.5,7,1.56,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
448,Jayden Nelson,ca CAN,FW,Vancouver W'caps,22-221,2002,4.4,25,5.73,10,0,6,4,5,0,6,1.37,5,0,1,0,0,0,Matches
449,John Nelson,us USA,DF,LA Galaxy,26-298,1998,6.3,7,1.11,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
450,Jean-Claude Ngando,cm CMR,"MF,FW",Vancouver W'caps,25-166,1999,6.7,30,4.50,24,1,1,3,0,1,5,0.75,4,0,0,0,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
451,Serge Ngoma,us USA,"FW,DF",NY Red Bulls,19-300,2005,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
452,Joakim Nilsson,se SWE,"DF,MF",St. Louis,31-088,1994,1.5,3,2.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
453,Nolan Norris,us USA,DF,FC Dallas,20-077,2005,4.3,3,0.70,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
454,Tsiki Ntsabeleng,za RSA,MF,FC Dallas,27-085,1998,2.1,3,1.45,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
455,Obinna Nwobodo,ng NGA,MF,FC Cincinnati,28-157,1996,4.9,8,1.63,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
456,Kevin O'Toole,us USA,DF,NYCFC,26-142,1998,8.2,11,1.34,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
457,Allen Obando,ec ECU,FW,Inter Miami,18-326,2006,1.3,1,0.79,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
458,Jáder Obrian,co COL,"MF,FW",Austin,29-352,1995,4.3,12,2.77,9,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
459,Édier Ocampo,co COL,DF,Vancouver W'caps,21-214,2003,6.6,15,2.29,9,1,1,1,3,0,1,0.15,1,0,0,0,0,0,Matches
460,Agustin Ojeda,ar ARG,FW,NYCFC,20-320,2004,4.7,10,2.15,6,0,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
461,Braian Ojeda,py PAR,MF,Real Salt Lake,24-312,2000,9.8,25,2.55,19,0,1,2,2,1,1,0.10,0,0,0,1,0,0,Matches
462,Martín Ojeda,ar ARG,"MF,FW",Orlando City,26-159,1998,8.9,55,6.20,38,11,2,3,0,1,5,0.56,3,1,1,0,0,0,Matches
463,Tani Oluwaseyi,ca CAN,FW,Minnesota Utd,24-355,2000,9.1,21,2.30,15,0,0,3,2,1,3,0.33,3,0,0,0,0,0,Matches
464,Wyatt Omsberg,us USA,DF,NE Revolution,29-226,1995,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
465,Kwadwo Opoku,gh GHA,"FW,MF",CF Montréal,23-296,2001,1.6,1,0.64,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
466,Nathan Ordaz,sv SLV,FW,LAFC,21-113,2004,6.1,15,2.45,13,0,0,1,1,0,2,0.33,1,0,0,1,0,0,Matches
467,Sergio Oregel,us USA,MF,Chicago Fire,19-354,2005,9.2,22,2.40,21,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
468,Luca Orellano,ar ARG,"FW,MF",FC Cincinnati,25-044,2000,7.9,34,4.30,18,7,4,4,1,0,3,0.38,2,0,1,0,0,0,Matches
469,Prince Osei Owusu,de GER,FW,CF Montréal,28-118,1997,10.3,17,1.65,13,0,2,1,0,1,2,0.19,1,0,1,0,0,0,Matches
