Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
480,Tiago Volpi,br BRA,GK,Grêmio,34-137,1990,7.0,157,228,68.9,5019,3432,16,16,100.0,65,66,98.5,75,144,52.1,0,0.0,0.0,0.0,0,7,0,0,0,Matches
481,Wagner,br BRA,DF,Grêmio,25-286,1999,6.3,296,326,90.8,6090,2010,83,85,97.6,167,176,94.9,41,57,71.9,1,0.7,0.4,+0.3,2,21,0,0,24,Matches
482,Walace,br BRA,MF,Cruzeiro,30-031,1995,0.9,37,46,80.4,593,164,20,22,90.9,13,14,92.9,3,8,37.5,0,0.0,0.0,0.0,0,6,0,0,7,Matches
483,Wallace,br BRA,MF,Flamengo,20-086,2005,0.2,1,1,100.0,20,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
484,Wanderson,br BRA,"FW,MF",Cruzeiro,30-210,1994,6.1,109,149,73.2,1485,589,74,82,90.2,22,34,64.7,8,21,38.1,0,1.0,1.9,-1.0,12,5,11,6,11,Matches
485,Deivid Washington,br BRA,FW,Santos,19-334,2005,2.0,28,35,80.0,445,60,8,11,72.7,15,16,93.8,2,4,50.0,0,0.0,0.1,0.0,1,5,1,0,6,Matches
486,José Welison,br BRA,MF,Fortaleza,30-055,1995,1.9,71,88,80.7,1243,369,27,28,96.4,33,40,82.5,5,14,35.7,0,0.0,0.1,0.0,2,11,2,1,10,Matches
487,Wendell,br BRA,DF,São Paulo,31-289,1993,3.1,158,191,82.7,2652,784,77,85,90.6,64,79,81.0,13,21,61.9,0,0.0,0.1,0.0,1,9,1,0,12,Matches
488,Wesley,br BRA,DF,Flamengo,21-241,2003,6.9,325,382,85.1,5186,1094,173,191,90.6,116,134,86.6,26,37,70.3,1,0.9,0.9,+0.1,9,23,10,5,28,Matches
489,Wesley,br BRA,"FW,MF",Internacional,26-036,1999,5.0,93,130,71.5,1484,394,45,57,78.9,36,49,73.5,8,14,57.1,2,0.5,1.2,+1.5,3,7,5,2,13,Matches
490,Wéverton,br BRA,GK,Palmeiras,37-143,1987,7.0,111,200,55.5,3205,2246,16,16,100.0,58,59,98.3,37,125,29.6,0,0.0,0.0,0.0,0,4,0,0,0,Matches
491,William,br BRA,DF,Cruzeiro,30-032,1995,2.5,93,122,76.2,1647,652,45,52,86.5,31,40,77.5,16,27,59.3,2,0.9,0.4,+1.1,2,4,4,3,5,Matches
492,Willian,br BRA,MF,Vitória,31-354,1993,1.5,60,66,90.9,913,198,35,36,97.2,20,23,87.0,3,4,75.0,0,0.1,0.0,-0.1,2,6,0,0,4,Matches
493,Estêvão Willian,br BRA,"FW,MF",Palmeiras,18-011,2007,5.4,128,158,81.0,2257,590,66,73,90.4,45,51,88.2,15,28,53.6,2,1.5,1.1,+0.5,15,11,6,1,21,Matches
494,Mateus Xavier,br BRA,"MF,FW",Santos,17-310,2007,0.2,2,4,50.0,29,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
495,Samuel Xavier,br BRA,DF,Fluminense,34-333,1990,5.4,335,387,86.6,5253,2048,201,213,94.4,110,129,85.3,23,37,62.2,0,0.1,0.5,-0.1,5,33,10,3,36,Matches
496,Yago,br BRA,MF,Mirassol,30-091,1995,2.1,50,70,71.4,806,238,27,33,81.8,20,25,80.0,3,7,42.9,0,0.1,0.1,-0.1,1,6,3,0,14,Matches
497,Lukas Zuccarello,br BRA,FW,Vasco da Gama,18-154,2006,0.2,2,3,66.7,28,20,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
