Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
385,Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,23-086,2002,1.3,75,2,18,49,8,1,75,2,2,100.0,0,0.0,44,174,67,1,0,0,3,2,47,1,Matches
386,Gleison Bremer,br BRA,DF,Juventus,it Serie A,28-047,1997,6.0,569,63,286,268,15,3,569,4,3,75.0,1,25.0,352,1760,985,2,1,0,4,2,445,0,Matches
387,Brenner,br BRA,"MF,FW",Udinese,it Serie A,25-108,2000,4.3,151,5,28,74,53,6,151,5,3,60.0,2,40.0,94,502,210,5,4,1,5,9,107,16,Matches
388,Ben Brereton,cl CHI,FW,Southampton,eng Premier League,26-016,1999,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,Matches
389,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,25-104,2000,9.4,454,4,45,216,199,32,454,22,7,31.8,13,59.1,303,2039,1036,42,26,11,24,19,353,65,Matches
390,Maximilian Breunig,de GER,"FW,MF",Heidenheim,de Bundesliga,24-263,2000,3.9,140,5,17,77,51,17,139,7,3,42.9,3,42.9,78,304,138,5,4,2,15,6,96,13,Matches
391,Anthony Briançon,fr FRA,DF,Saint-Étienne,fr Ligue 1,30-157,1994,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
392,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,eng Premier League,27-029,1998,6.7,276,7,38,139,109,19,276,32,16,50.0,14,43.8,152,1079,502,17,14,4,18,11,191,27,Matches
393,Armando Broja,al ALB,FW,Everton,eng Premier League,23-236,2001,3.7,127,4,14,47,72,18,127,16,8,50.0,7,43.8,64,577,281,12,8,3,16,13,94,26,Matches
394,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,27-300,1997,9.2,451,13,54,164,241,32,451,31,8,25.8,20,64.5,278,1853,812,25,22,8,27,11,306,75,Matches
395,Arvid Brorsson,se SWE,DF,Monza,it Serie A,25-361,1999,1.2,87,17,56,31,0,0,87,0,0,,0,,41,138,62,0,0,0,0,0,54,0,Matches
396,Moritz Broschinski,de GER,"FW,MF",Bochum,de Bundesliga,24-223,2000,15.3,546,19,54,210,292,67,546,53,14,26.4,38,71.7,317,1870,808,37,21,13,69,33,381,129,Matches
397,Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21-322,2003,18.7,1071,43,300,433,352,47,1071,30,10,33.3,17,56.7,553,2996,1571,40,25,6,25,9,601,104,Matches
398,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,26-227,1998,4.4,226,3,17,82,133,30,226,21,7,33.3,13,61.9,147,896,471,16,13,8,9,9,167,41,Matches
399,Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,de Bundesliga,26-227,1998,4.5,212,2,21,78,114,26,212,22,10,45.5,10,45.5,127,881,425,19,5,10,11,3,148,40,Matches
400,Tajon Buchanan,ca CAN,"DF,FW",Inter,it Serie A,26-085,1999,1.1,64,3,18,29,19,2,64,9,3,33.3,4,44.4,42,403,259,6,3,0,2,2,44,8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
401,Tajon Buchanan,ca CAN,MF,Villarreal,es La Liga,26-085,1999,3.3,169,2,35,50,90,20,169,19,10,52.6,6,31.6,105,788,399,16,8,5,13,6,103,32,Matches
402,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,33-286,1991,29.1,714,23,42,310,368,151,706,39,10,25.6,26,66.7,344,1466,500,22,15,8,77,40,486,120,Matches
403,Emi Buendía,ar ARG,"MF,FW",Aston Villa,eng Premier League,28-130,1996,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,Matches
404,Emi Buendía,ar ARG,MF,Leverkusen,de Bundesliga,28-130,1996,2.2,165,0,18,89,59,11,165,10,5,50.0,2,20.0,97,306,107,2,2,1,9,7,131,22,Matches
405,Manu Bueno,es ESP,"MF,FW",Sevilla,es La Liga,20-281,2004,1.3,74,2,12,37,25,2,74,2,1,50.0,1,50.0,42,217,94,2,3,0,2,2,58,4,Matches
406,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,26-176,1998,18.7,1023,169,520,485,21,6,1023,4,0,0.0,4,100.0,555,2727,1430,1,2,0,2,2,660,1,Matches
407,Endika Buján,es ESP,FW,Athletic Club,es La Liga,22-108,2003,0.1,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0,Matches
408,Marius Bülter,de GER,"FW,DF",Hoffenheim,de Bundesliga,32-036,1993,17.7,683,19,86,263,344,76,683,41,22,53.7,19,46.3,454,2623,1294,50,23,21,38,20,521,140,Matches
409,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,eng Premier League,20-132,2004,16.4,850,26,127,436,300,36,850,79,26,32.9,49,62.0,465,2928,1321,38,26,8,53,39,515,69,Matches
410,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,25-332,1999,21.4,1489,125,655,788,55,15,1489,7,1,14.3,3,42.9,902,4549,2741,27,7,1,13,8,1059,8,Matches
411,Cameron Burgess,au AUS,DF,Ipswich Town,eng Premier League,29-195,1995,16.1,919,221,562,312,47,23,919,0,0,,0,,416,1911,990,2,4,0,3,0,539,4,Matches
412,Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,24-297,2000,20.5,692,18,46,326,323,102,691,34,14,41.2,20,58.8,392,1686,667,27,25,11,66,30,496,137,Matches
413,Oliver Burke,sct SCO,FW,Werder Bremen,de Bundesliga,28-027,1997,9.2,393,5,37,154,208,67,393,10,5,50.0,5,50.0,220,1213,413,17,10,12,34,13,294,75,Matches
414,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,32-360,1992,33.0,2104,335,1183,823,103,46,2104,4,3,75.0,1,25.0,1203,5487,2383,9,5,1,21,3,1417,10,Matches
415,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,21-093,2004,0.3,16,0,0,10,6,2,16,0,0,,0,,8,16,2,0,0,0,4,2,10,4,Matches
416,Wes Burns,wls WAL,"FW,DF",Ipswich Town,eng Premier League,30-162,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches
417,Marnon Busch,de GER,"DF,MF",Heidenheim,de Bundesliga,30-147,1994,15.4,1023,79,376,467,186,9,1023,8,3,37.5,4,50.0,493,2285,1216,22,20,1,13,1,551,43,Matches
418,Gianluca Busio,us USA,MF,Venezia,it Serie A,22-341,2002,26.0,1163,56,206,588,387,49,1163,46,14,30.4,27,58.7,707,4130,2151,57,51,5,48,30,788,126,Matches
419,Aurélio Buta,pt POR,DF,Reims,fr Ligue 1,28-083,1997,21.2,1178,66,339,554,296,14,1178,22,9,40.9,11,50.0,539,2549,1231,28,21,4,27,7,665,63,Matches
420,Jean Butez,fr FRA,GK,Como,it Serie A,29-330,1995,17.0,733,590,726,8,0,0,733,0,0,,0,,496,2541,1415,0,0,0,1,0,413,0,Matches
421,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,eng Premier League,22-120,2003,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
422,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,25-212,1999,32.0,1136,912,1127,9,1,1,1136,1,0,0.0,1,100.0,665,3209,2087,0,0,0,2,0,574,0,Matches
423,Pau Cabanes,es ESP,"MF,FW",Villarreal,es La Liga,20-076,2005,1.8,122,2,17,35,71,11,122,12,5,41.7,6,50.0,74,467,245,10,9,5,8,3,89,33,Matches
424,Pau Cabanes,es ESP,"MF,FW",Alavés,es La Liga,20-076,2005,2.0,118,1,15,43,63,7,118,12,4,33.3,6,50.0,81,489,309,15,9,3,10,3,80,15,Matches
425,Rémy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,35-057,1990,10.0,798,6,68,327,417,44,798,35,19,54.3,15,42.9,477,2627,1421,41,31,10,14,9,587,114,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
426,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,33-321,1991,28.0,1609,291,928,629,59,29,1609,1,1,100.0,0,0.0,752,3317,2038,8,7,0,8,1,902,4,Matches
427,Liberato Cacace,nz NZL,"DF,MF",Empoli,it Serie A,24-219,2000,21.3,1045,78,329,433,299,46,1045,42,13,31.0,28,66.7,473,3095,1689,45,26,7,30,15,556,83,Matches
428,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,27-307,1997,27.2,1804,66,365,814,643,54,1804,62,29,46.8,29,46.8,883,3472,1539,44,22,12,37,22,1063,136,Matches
429,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,28-040,1997,8.1,324,5,61,112,153,27,324,17,7,41.2,9,52.9,169,1138,529,19,8,7,16,10,225,51,Matches
430,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,23-183,2001,33.2,2340,85,502,1442,421,12,2340,54,23,42.6,19,35.2,1308,6161,2919,38,28,2,35,23,1642,33,Matches
431,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,34-104,1991,5.5,576,6,83,305,196,12,576,12,4,33.3,4,33.3,385,1848,884,14,15,4,5,4,468,29,Matches
432,Jens Cajuste,se SWE,MF,Ipswich Town,eng Premier League,25-267,1999,19.8,911,59,263,477,185,11,911,46,25,54.3,15,32.6,421,2280,1182,23,21,3,21,14,522,16,Matches
433,Davide Calabria,it ITA,DF,Bologna,it Serie A,28-149,1996,5.9,431,9,123,215,98,3,431,3,0,0.0,3,100.0,247,1106,544,5,6,0,9,3,250,18,Matches
434,Davide Calabria,it ITA,DF,Milan,it Serie A,28-149,1996,3.5,258,9,56,137,69,4,258,5,3,60.0,1,20.0,159,727,358,8,5,0,1,1,174,31,Matches
435,Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,22-350,2002,10.3,628,30,161,249,222,29,628,13,9,69.2,3,23.1,291,1572,839,21,12,3,11,5,377,29,Matches
436,Luca Caldirola,it ITA,DF,Monza,it Serie A,34-092,1991,8.3,577,68,292,265,21,4,577,1,1,100.0,0,0.0,369,1669,857,4,4,0,2,1,404,4,Matches
437,Fernando Calero,es ESP,"DF,MF",Espanyol,es La Liga,29-232,1995,5.1,269,41,167,91,12,2,269,0,0,,0,,112,459,243,0,2,0,4,0,144,1,Matches
438,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,28-229,1996,15.9,1080,187,554,497,32,19,1080,2,1,50.0,1,50.0,607,2620,1295,3,1,0,7,1,720,0,Matches
439,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,31-085,1994,19.7,1738,42,344,939,462,22,1734,6,3,50.0,3,50.0,1067,5630,2937,49,50,6,19,8,1249,47,Matches
440,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,28-049,1997,17.6,499,22,39,208,257,83,499,25,10,40.0,13,52.0,272,1400,444,22,8,16,73,33,407,107,Matches
441,Drissa Camara,ci CIV,"MF,FW",Parma,it Serie A,23-075,2002,4.6,241,1,28,116,109,24,241,27,17,63.0,10,37.0,170,1198,644,18,10,10,12,3,166,32,Matches
442,Issiaga Camara,gn GUI,MF,Nice,fr Ligue 1,20-091,2005,0.2,23,0,4,19,2,0,23,1,0,0.0,1,100.0,11,63,28,1,0,0,1,0,13,1,Matches
443,Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,21-123,2004,21.0,1605,29,240,989,389,15,1605,24,12,50.0,7,29.2,890,4192,1726,25,27,3,39,19,1068,45,Matches
444,Mahdi Camara,fr FRA,"MF,FW",Brest,fr Ligue 1,26-308,1998,26.6,1363,36,243,747,390,70,1363,59,26,44.1,25,42.4,712,4019,2151,50,32,13,35,27,868,95,Matches
445,Francesco Camarda,it ITA,"FW,MF",Milan,it Serie A,17-055,2008,1.8,61,5,10,26,26,11,61,7,2,28.6,4,57.1,24,143,55,2,1,0,6,3,34,9,Matches
446,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,22-175,2002,12.2,957,49,272,494,207,15,957,31,15,48.4,10,32.3,565,3051,1699,26,27,7,7,11,643,31,Matches
447,Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,24-127,2000,4.6,234,1,28,78,132,25,234,18,8,44.4,5,27.8,166,1214,619,32,7,13,9,5,175,37,Matches
448,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,25-073,2000,22.3,1752,47,427,880,463,34,1752,45,25,55.6,16,35.6,1113,6866,3638,73,61,10,42,19,1267,112,Matches
449,Axel Camblan,fr FRA,"MF,FW",Brest,fr Ligue 1,21-247,2003,0.3,10,0,0,3,7,3,10,0,0,,0,,5,68,50,2,0,2,0,0,8,1,Matches
450,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,24-083,2001,12.6,398,17,39,173,196,46,398,23,13,56.5,8,34.8,222,1128,554,20,16,8,38,23,308,68,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
451,José Campaña,es ESP,MF,Las Palmas,es La Liga,31-338,1993,12.2,861,36,201,527,140,5,861,18,8,44.4,8,44.4,432,1942,863,8,11,1,15,12,558,15,Matches
452,Thomas Campaniello,it ITA,FW,Empoli,it Serie A,17-064,2008,0.3,16,0,1,6,9,1,16,0,0,,0,,5,20,2,0,0,0,1,0,12,5,Matches
453,Cole Campbell,us USA,"MF,FW",Dortmund,de Bundesliga,19-073,2006,0.2,21,2,4,9,8,0,21,1,0,0.0,1,100.0,10,57,34,1,0,0,3,0,13,1,Matches
454,Emre Can,de GER,"DF,MF",Dortmund,de Bundesliga,31-112,1994,23.1,2120,148,782,1184,166,11,2118,25,15,60.0,8,32.0,1381,6537,3542,19,31,2,18,10,1554,11,Matches
455,Peio Canales,es ESP,"MF,FW",Athletic Club,es La Liga,20-107,2005,2.1,99,2,10,47,42,3,99,7,3,42.9,3,42.9,60,357,158,5,3,2,2,3,64,10,Matches
456,Matteo Cancellieri,it ITA,"FW,MF",Parma,it Serie A,23-081,2002,15.8,530,20,103,210,229,39,530,70,28,40.0,33,47.1,314,2108,1025,40,20,16,34,24,348,79,Matches
457,Fali Candé,gw GNB,DF,Venezia,it Serie A,27-100,1998,14.0,940,144,507,405,37,7,940,8,7,87.5,0,0.0,460,2136,921,4,7,0,6,7,469,1,Matches
458,Antonio Candela,it ITA,DF,Venezia,it Serie A,25-007,2000,11.2,505,38,198,201,112,13,505,12,6,50.0,5,41.7,250,1430,700,12,5,2,17,10,285,25,Matches
459,Antonio Candela,it ITA,DF,Valladolid,es La Liga,25-007,2000,8.0,440,27,192,181,74,6,440,12,6,50.0,6,50.0,223,1373,700,13,7,1,6,5,284,25,Matches
460,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,28-091,1997,4.0,224,6,33,72,120,20,224,13,1,7.7,12,92.3,122,524,279,7,6,4,12,5,160,45,Matches
461,Jaydee Canvot,fr FRA,"DF,MF",Toulouse,fr Ligue 1,18-279,2006,10.3,555,55,223,274,61,6,555,8,5,62.5,3,37.5,303,1445,670,7,4,1,6,8,354,0,Matches
462,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,38-019,1987,5.4,299,6,47,186,73,7,299,13,8,61.5,5,38.5,138,747,331,10,4,0,15,6,173,17,Matches
463,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,31-278,1993,15.1,765,2,62,358,350,30,763,34,7,20.6,20,58.8,520,2745,1237,34,30,11,37,27,566,91,Matches
464,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23-252,2001,16.0,679,556,677,2,0,0,679,0,0,,0,,373,1795,1013,0,0,0,0,0,298,0,Matches
465,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-252,2001,3.6,105,79,105,0,0,0,105,0,0,,0,,44,234,161,0,0,0,0,0,62,0,Matches
466,Gabin Capuano,fr FRA,FW,Lens,fr Ligue 1,19-008,2006,0.1,4,0,0,2,2,0,4,0,0,,0,,3,21,1,0,0,0,1,0,4,1,Matches
467,Francesco Caputo,it ITA,FW,Empoli,it Serie A,37-271,1987,0.1,2,0,0,1,1,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,1,Matches
468,Maxence Caqueret,fr FRA,MF,Como,it Serie A,25-078,2000,10.2,597,7,122,321,162,18,597,29,12,41.4,13,44.8,383,1712,772,13,12,1,23,13,432,33,Matches
469,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,25-078,2000,6.4,419,5,66,241,116,11,419,18,7,38.9,9,50.0,211,1191,537,14,10,2,15,10,304,15,Matches
470,Simon Cara,fr FRA,"MF,FW",Montpellier,fr Ligue 1,19-338,2005,0.1,7,0,0,2,5,1,7,1,0,0.0,1,100.0,5,17,5,0,0,0,0,0,5,1,Matches
471,Andrea Carboni,it ITA,DF,Monza,it Serie A,24-089,2001,21.3,1216,126,571,537,111,17,1216,7,4,57.1,3,42.9,695,2649,1327,8,12,0,13,5,792,28,Matches
472,Franco Carboni,it ITA,DF,Venezia,it Serie A,22-030,2003,2.5,128,11,62,39,29,2,128,6,2,33.3,3,50.0,70,303,184,2,1,0,4,3,68,11,Matches
473,Valentin Carboni,ar ARG,"MF,FW",Marseille,fr Ligue 1,20-060,2005,1.1,81,1,6,35,40,2,81,3,0,0.0,3,100.0,51,304,100,4,4,0,2,0,69,8,Matches
474,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,28-037,1997,6.0,190,165,189,1,0,0,190,0,0,,0,,95,468,246,0,0,0,0,0,71,0,Matches
475,Irvin Cardona,fr FRA,"FW,MF",Espanyol,es La Liga,27-269,1997,6.7,246,7,27,98,123,23,246,13,3,23.1,8,61.5,114,874,460,14,14,6,22,4,167,43,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
476,Irvin Cardona,fr FRA,FW,Saint-Étienne,fr Ligue 1,27-269,1997,9.1,409,11,36,132,245,46,408,18,5,27.8,11,61.1,240,1246,586,26,21,9,31,9,326,115,Matches
477,Marc Cardona,es ESP,"FW,DF",Las Palmas,es La Liga,29-300,1995,1.2,64,0,12,29,23,6,64,6,1,16.7,5,83.3,38,131,50,2,0,0,2,2,47,10,Matches
478,Sergi Cardona,es ESP,DF,Villarreal,es La Liga,25-300,1999,30.7,1721,117,662,591,475,59,1721,29,10,34.5,15,51.7,762,3532,1945,49,33,9,21,11,888,183,Matches
479,Johnny Cardoso,us USA,MF,Betis,es La Liga,23-226,2001,21.7,1291,82,350,771,187,25,1291,40,24,60.0,15,37.5,670,2932,1311,18,14,1,35,22,794,27,Matches
480,Tiago Cardoso,lu LUX,GK,Gladbach,de Bundesliga,19-027,2006,4.2,189,175,189,0,0,0,189,0,0,,0,,101,568,365,0,0,0,0,0,94,0,Matches
481,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-116,1992,4.6,144,124,144,0,0,0,144,0,0,,0,,75,502,319,0,0,0,0,0,50,0,Matches
482,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,32-050,1993,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0,Matches
483,Carmona,es ESP,DF,Sevilla,es La Liga,23-095,2002,29.5,2018,101,664,1078,305,15,2018,44,16,36.4,23,52.3,818,4545,2503,36,24,6,33,17,1038,46,Matches
484,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-307,2000,31.0,1070,940,1067,3,0,0,1070,0,0,,0,,632,3226,1795,0,0,0,0,0,541,0,Matches
485,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,es La Liga,24-203,2000,15.8,900,31,219,349,339,45,900,28,12,42.9,13,46.4,480,2603,1263,34,20,14,15,13,561,125,Matches
486,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,33-113,1992,6.8,532,26,126,232,176,12,532,5,2,40.0,3,60.0,278,1288,513,13,5,0,8,6,376,48,Matches
487,Fabio Carvalho,pt POR,"FW,MF",Brentford,eng Premier League,22-247,2002,5.1,247,4,44,91,113,22,247,14,2,14.3,10,71.4,137,698,356,9,3,0,13,8,145,23,Matches
488,William Carvalho,pt POR,MF,Betis,es La Liga,33-027,1992,3.7,271,8,72,154,49,1,271,4,3,75.0,1,25.0,183,769,352,2,7,0,3,6,207,4,Matches
489,Cesare Casadei,it ITA,"MF,FW",Torino,it Serie A,22-114,2003,9.3,424,27,89,254,85,18,424,10,7,70.0,2,20.0,225,1393,569,13,7,0,17,8,294,12,Matches
490,Marc Casado,es ESP,MF,Barcelona,es La Liga,21-232,2003,17.9,1536,25,223,1040,276,9,1536,9,4,44.4,4,44.4,870,3523,1540,12,22,0,17,9,1172,24,Matches
491,Nicolò Casale,it ITA,DF,Bologna,it Serie A,27-079,1998,8.0,493,54,241,243,14,6,493,2,2,100.0,0,0.0,262,1248,533,2,1,0,6,0,276,1,Matches
492,Nicolò Casale,it ITA,DF,Lazio,it Serie A,27-079,1998,1.5,124,9,39,83,2,2,124,0,0,,0,,83,375,211,0,1,1,1,0,99,0,Matches
493,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,33-070,1992,14.8,1091,69,327,555,217,38,1091,6,3,50.0,3,50.0,575,1774,823,4,10,0,10,10,697,26,Matches
494,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,20-188,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
495,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,27-270,1997,20.0,1012,73,365,401,257,37,1012,36,15,41.7,16,44.4,507,3156,1618,46,34,4,17,9,575,75,Matches
496,Eiran Cashin,ie IRL,DF,Brighton,eng Premier League,23-176,2001,0.2,32,2,10,20,2,0,32,1,0,0.0,1,100.0,21,133,99,0,0,0,0,0,25,1,Matches
497,Josué Casimir,fr FRA,"FW,MF",Le Havre,fr Ligue 1,23-222,2001,19.2,697,22,144,255,313,67,697,42,19,45.2,18,42.9,392,2915,1526,65,31,26,43,28,438,127,Matches
498,Federico Cassa,it ITA,"MF,FW",Atalanta,it Serie A,19-092,2006,0.2,9,0,1,2,6,0,9,1,0,0.0,1,100.0,9,61,41,1,2,1,0,0,8,2,Matches
499,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25-104,2000,28.0,1603,70,413,923,298,16,1603,34,19,55.9,12,35.3,814,3914,1885,30,27,4,35,11,945,43,Matches
500,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,29-150,1995,18.3,1164,92,449,462,259,32,1164,12,5,41.7,5,41.7,547,2191,1044,17,15,2,15,5,665,67,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
501,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,26-213,1998,22.5,709,16,43,304,370,136,706,33,14,42.4,17,51.5,357,1674,757,25,20,15,45,26,532,130,Matches
502,Jean-Charles Castelletto,cm CMR,"DF,MF",Nantes,fr Ligue 1,30-098,1995,26.1,1471,163,649,737,89,17,1471,2,2,100.0,0,0.0,831,3602,1794,19,14,2,15,4,965,17,Matches
503,Santiago Castro,ar ARG,FW,Bologna,it Serie A,20-217,2004,23.9,675,22,54,294,335,94,674,41,17,41.5,22,53.7,402,1772,548,15,22,7,66,61,484,126,Matches
504,Gaetano Castrovilli,it ITA,MF,Monza,it Serie A,28-076,1997,5.2,250,11,52,123,78,9,250,10,4,40.0,5,50.0,148,772,427,9,6,0,9,6,153,24,Matches
505,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,it Serie A,28-076,1997,1.6,99,2,18,57,24,6,99,2,1,50.0,1,50.0,58,333,176,5,1,1,2,4,68,6,Matches
506,Danilo Cataldi,it ITA,MF,Fiorentina,it Serie A,30-271,1994,19.2,1147,55,284,720,151,7,1147,10,3,30.0,4,40.0,657,3018,1172,18,22,1,13,7,764,16,Matches
507,Catena,es ESP,DF,Osasuna,es La Liga,30-188,1994,30.2,1693,245,876,783,46,31,1693,9,8,88.9,1,11.1,867,4133,2332,9,3,0,9,1,967,2,Matches
508,Maximiliano Caufriez,be BEL,DF,Valencia,es La Liga,28-077,1997,1.0,23,6,17,6,0,0,23,0,0,,0,,8,68,3,0,0,0,0,0,10,0,Matches
509,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,28-270,1996,10.0,1119,22,197,737,193,6,1119,13,8,61.5,2,15.4,747,3936,2247,34,21,2,9,5,911,12,Matches
510,Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,21-119,2004,0.7,26,0,2,13,11,2,26,0,0,,0,,12,32,3,0,0,0,4,3,18,8,Matches
511,Zeki Çelik,tr TUR,DF,Roma,it Serie A,28-076,1997,21.2,1354,74,380,693,292,31,1354,12,7,58.3,3,25.0,667,3023,1489,25,20,1,17,6,836,78,Matches
512,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,29-108,1996,1.1,88,9,18,25,45,1,88,4,1,25.0,2,50.0,45,275,144,5,3,0,1,0,50,20,Matches
513,Alberto Cerri,it ITA,FW,Como,it Serie A,29-018,1996,1.0,36,1,4,12,21,9,36,0,0,,0,,20,54,10,0,0,1,2,3,29,11,Matches
514,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,es La Liga,30-343,1994,2.9,157,3,36,77,44,1,157,1,1,100.0,0,0.0,81,404,173,3,2,0,3,2,94,21,Matches
515,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,27-081,1998,23.2,2045,247,922,1056,74,29,2045,5,3,60.0,2,40.0,1214,5805,2874,6,9,2,11,2,1390,3,Matches
516,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19-353,2005,10.6,897,114,378,478,45,11,897,3,2,66.7,1,33.3,433,1833,921,4,3,1,10,1,573,2,Matches
